Page ID,Page Name,Disclaimer,Amount Spent (RON)
1592660281028385,USR Bihor,Uniunea Salvati Romania,115217
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,66580
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,65435
291177524360702,Partidul Social Democrat,Partidul Social Democrat,59108
795022763862618,Viorel Cataramă,Handyman SRL,56289
178362315106,European Parliament,European Parliament,43264
1557836147771248,Pavel Emilian,WeCreate Ads,26697
321896004518929,Ioan Mang,Tild Consulting,25439
1427831627527824,RMDSZ Bihar Megye,Heus Media Service,24626
102601499822802,RMDSZ,RMDSZ,24442
1738339926491503,Silviu Dehelean,Uniunea Salvați România - USR,23767
788779771236776,PNL Bihor,PNL Bihor,23625
321896004518929,Ioan Mang,WeCreate Ads,22697
1755021091444902,Florin Birta,Globencer SRL,21828
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,19049
107898832590939,European Commission,European Commission,18282
1592660281028385,USR Bihor,Uniunea Salvați România Filiala Bihor,16979
304085190083197,PNL Oradea,PNL Oradea,16530
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,16325
434556163372261,Claudiu Pop,Adsome SRL,16163
505785196105852,Florian Bodog,Tild Consulting SRL,16145
207255636351408,Dan Barna,Uniunea Salvați România - USR,14485
149371012371397,Newsweek Romania,Newsweek Romania,14478
530774800380326,PRO Romania Bihor,Adsome SRL,14308
175293925828191,Kelemen Hunor,RMDSZ,13386
1557836147771248,Pavel Emilian,Tild Consulting,13058
444983296035846,PLUS Bihor,PLUS Bihor,12696
505785196105852,Florian Bodog,Partidul Social Democrat,12255
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,11867
770704223323599,Dezvoltăm România,Future Innovation,11755
176989973158138,Guvernare.net,Guvernare.net,11465
239851326403693,Zatykó Gyula,TT Research,11175
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,10862
321896004518929,Ioan Mang,Ioan Mang,10777
1504323906337545,Litere.net,litere.net,9538
2546711162025064,Politice.net,politice.net,9339
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,9325
181375448581167,Partidul Naţional Liberal,Future Innovation,8420
1773261759600203,Ciprian Blejan,Ciprian-Mircea Blejan,8175
788779771236776,PNL Bihor,Partidul Naţional Liberal,7291
1427831627527824,RMDSZ Bihar Megye,RMDSZ Bihar Megye,7201
112664490103704,Salvăm România,Salvăm România,7168
257989000971097,Ilie Bolojan,TrueZone Media,7000
