Page ID,Page Name,Disclaimer,Amount Spent (RON)
336513669713770,PSD Brasov,PSD Brasov,125388
1723480164579572,USR Brașov,Uniunea Salvați România,72484
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,72103
291177524360702,Partidul Social Democrat,Partidul Social Democrat,63526
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,61738
288202044934655,Rasaliu Marian,PSD Brasov,58535
178362315106,European Parliament,European Parliament,46779
1255037557904732,Florin Orțan,PSD Brasov,45366
1255037557904732,Florin Orțan,Ovidiu-Florin Ortan,34263
767582706713570,Allen Coliban,Uniunea Salvați România,28005
1801899166702042,PNL Brasov,PNL Brasov,27850
858367900895256,Alexandru Marius Dunca,PSD Brașov,25349
288202044934655,Rasaliu Marian,Rasaliu Marian-Iulian,23359
1723480164579572,USR Brașov,USR Brașov,22926
546021442088116,Erwin Albu,Albu Erwin-Vlad,21191
767582706713570,Allen Coliban,USR Brașov,20944
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,20526
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,19759
107898832590939,European Commission,European Commission,19744
1728821047350437,Adrian Ioan Veştea,PNL Brasov,19186
1206596972739709,Mihai Popa,ProRomânia Filiala Brașov,18105
281251892236770,BrasovTV.com,Alternativa pentru Demnitate Nationala,16734
207255636351408,Dan Barna,Uniunea Salvați România - USR,15929
1530271987100122,Tudor Benga,Uniunea Salvati Romania,15859
149371012371397,Newsweek Romania,Newsweek Romania,13898
842560849222998,Mihai Costel,Partidul Miscarea Populara - Organizatia Judeteana Brasov,13617
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,12953
176989973158138,Guvernare.net,Guvernare.net,12012
1504323906337545,Litere.net,litere.net,11616
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,11409
1512454475497915,ALDE Brasov,ALDE Filiala Judeteana Brasov,11408
1530271987100122,Tudor Benga,Tudor Benga,10941
106690714562345,George Catean,PLUS Brasov,10383
123526378261795,Stiri Locale,Stiri Locale,10354
