Page ID,Page Name,Disclaimer,Amount Spent (RON)
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,391536
291177524360702,Partidul Social Democrat,Partidul Social Democrat,326792
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,298026
178362315106,European Parliament,European Parliament,207896
1537065229900944,Daniel Florea,Daniel Florea,158834
230785173665770,Nicușor Dan,Nicușor Dan,137970
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,122979
1055101664610946,PSD Bucuresti,PSD București,122341
686190454826244,Declic,Declic,100203
427656597297153,Gabriela Firea,PSD București,99988
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,89832
678840505584990,PNL Bucuresti,PNL Filiala București,88826
678840505584990,PNL Bucuresti,Partidul Naţional Liberal,85019
149371012371397,Newsweek Romania,Newsweek Romania,84973
230785173665770,Nicușor Dan,Partidul Național Liberal,80074
107898832590939,European Commission,European Commission,79283
291871461655780,PLUS Bucureşti,PLUS Bucureşti,77865
2546711162025064,Politice.net,politice.net,74217
1504323906337545,Litere.net,litere.net,72156
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,71958
697032654017634,Voicu Ion Valentin,ALDE Sector 5 - Alianta Liberalilor si Democratilor,69857
176989973158138,Guvernare.net,Guvernare.net,69287
291132089193,Greenpeace Romania,Greenpeace Romania,66662
1657273667820719,USR București,USR București,66502
207255636351408,Dan Barna,Uniunea Salvați România - USR,66160
180205302758780,Cristian Băcanu,PNL Sector 5,63796
106620659474852,Tanase Stamule,Tănase Stamule,63447
150967671609795,Victor Ponta,Partidul PRO România București,59145
428870461343120,Ioan Sîrbu,Partidul Pro Romania,56607
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,52817
1549073781993174,PNL Sector 5,PNL Sector 5,51618
112664490103704,Salvăm România,Salvăm România,49994
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,49710
545080748992528,Ciprian Ciucu,PNL Sector 6,49350
123526378261795,Stiri Locale,Stiri Locale,48458
678840505584990,PNL Bucuresti,PNL Bucuresti,46652
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,44865
