Page ID,Page Name,Disclaimer,Amount Spent (RON)
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,43544
291177524360702,Partidul Social Democrat,Partidul Social Democrat,33999
106305774176332,Andrei Plujar,USR Caraș-Severin,27324
1612373492325952,PNL Caras Severin,PNL Caras Severin,21062
178362315106,European Parliament,European Parliament,20977
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,19188
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,9081
426022860882731,Andra Plesa,PNL Caransebeș,8907
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,8276
107898832590939,European Commission,European Commission,8166
791399554276251,PER Caras-Severin,PARTIDUL ECOLOGIST ROMÂN - FILIALA CARAȘ-SEVERIN,7002
207255636351408,Dan Barna,Uniunea Salvați România - USR,6982
149371012371397,Newsweek Romania,Newsweek Romania,6800
1556903897946498,USR Caraș-Severin,USR Caraș-Severin,6239
176989973158138,Guvernare.net,Guvernare.net,5756
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,5730
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,5723
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,5721
1598125227140091,Eugen Cismăneanţu,SAINO DIGITAL MARKETING SRL,5277
2546711162025064,Politice.net,politice.net,5107
1500365966960427,Ionuţ Mihai Popovici,Ionut Mihai Popovici,4589
1504323906337545,Litere.net,litere.net,4394
181375448581167,Partidul Naţional Liberal,Future Innovation,4386
1556903897946498,USR Caraș-Severin,Uniunea Salvați România,4349
123526378261795,Stiri Locale,Stiri Locale,4182
989041434464870,Deschide Resita,Deschide Resita,3819
112664490103704,Salvăm România,Salvăm România,3681
426022860882731,Andra Plesa,PNL Caras Severin,3601
445242878916307,Readlog,Readlog News,3515
1612373492325952,PNL Caras Severin,Partidul Naţional Liberal,3369
1492855294179701,PLUS Caraș-Severin,PLUS Caraș-Severin,3311
1020911631368143,Luminița Dolângă,Uniunea Salvați România - USR,3114
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,3072
618984848617430,Ioan Popa,Ioan Popa,2787
1612373492325952,PNL Caras Severin,Partenie Florin Dragu,2701
949310328493328,E5 News,E5News,2501
243027859216579,Alfred Simonis,Partidul Social Democrat,2434
2177244962290894,PRO România,Networld IT&C SRL,2416
1581576412090090,PNL Resita,PNL Resita,2406
195998093812663,Express de Banat,Express de Banat,2346
291132089193,Greenpeace Romania,Greenpeace Romania,2317
505785196105852,Florian Bodog,Partidul Social Democrat,2315
101543625010552,Doru Novăcescu,Doru Novăcescu,2301
1737421783162136,Miroslav Tașcu-Stavre,USR Caraș-Severin,2292
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,2285
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,2219
795022763862618,Viorel Cataramă,Dreapta Liberala,2121
115223543730170,Ludovic Orban,Partidul Naţional Liberal,2106
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,1837
105371064626304,Romeo Dunca,Romeo Dunca,1834
770704223323599,Dezvoltăm România,Future Innovation,1810
1100459663338217,News.ro,News.ro,1810
618984848617430,Ioan Popa,PNL Caraș-Severin,1806
178362315106,European Parliament,These ads ran without a disclaimer,1740
113809070389037,Felician Bebe Pasere,Felician (Bebe) Pasere,1721
1039226352935616,USR Reșița,USR Caraș-Severin,1657
340826660041237,USR Caransebeș,USR- Caras-Severin,1654
105051917996675,Paul Valentin Armașu,Ragnarok Media,1633
105051917996675,Paul Valentin Armașu,PER Caraș-Severin,1603
989041434464870,Deschide Resita,PNL Caraș-Severin,1588
1769713886444816,Râsu Plânsu,Râsu Plânsu,1554
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,1505
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,1490
227922987222524,Calin Popescu Tariceanu,ALDE,1418
102025778125741,Robert Cazanciuc,Partidul Social Democrat,1384
