Page ID,Page Name,Disclaimer,Amount Spent (RON)
167669676772029,Vasile Cristian Lungu - Senator PMP,Partidul Mișcarea Populară,214073
252950101538687,PNL Cluj,TMK Research Services,184747
1424043861019646,Partidul Mișcarea Populară Cluj,Partidul Mișcarea Populară,122175
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,103480
111755087129437,Știri din Cluj,Știri din Cluj,103004
100121064913116,Alianța USR PLUS Cluj,"Partidul Libertate, Unitate și Solidaritate",93194
291177524360702,Partidul Social Democrat,Partidul Social Democrat,77342
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,73167
100121064913116,Alianța USR PLUS Cluj,Partidul Uniunea Salvati Romania,69751
178362315106,European Parliament,European Parliament,67845
101021281285384,Info360,Info360.ro,48247
111105537419564,Oana Murariu,"Partidul Libertate, Unitate și Solidaritate",28816
165467823513147,Alin Tișe,TMK Research Services,27090
107898832590939,European Commission,European Commission,26311
2134781426800107,PRO România Cluj,Megasoft Systems,23049
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,22569
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,20649
207255636351408,Dan Barna,Uniunea Salvați România - USR,20330
2081882595470333,Partidul Mișcarea Populară Cluj-Napoca,Partidul Mișcarea Populară,19325
2081882595470333,Partidul Mișcarea Populară Cluj-Napoca,Partidul Miscarea Populara,18316
149371012371397,Newsweek Romania,Newsweek Romania,17592
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,16180
102601499822802,RMDSZ,RMDSZ,15666
1523715901251595,Ovidiu Cîmpean,TMK Research Services,15643
770704223323599,Dezvoltăm România,Future Innovation,15298
291132089193,Greenpeace Romania,Greenpeace Romania,14818
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,14613
1305418182809740,Csoma Botond,RMDSZ Kolozs Megye,14265
103707388082823,Sorin Naș,Forța Națională Cluj,13966
376882935758661,Consiliul Judetean Cluj,Consiliul Judetean Cluj,13519
176989973158138,Guvernare.net,Guvernare.net,13226
2546711162025064,Politice.net,politice.net,11937
971907786352729,PLUS Cluj,"Partidul Libertate, Unitate şi Solidaritate",11784
1854493691430908,Dan Ștefan Tarcea,Dan Tarcea,10990
287761518247055,USR Cluj-Napoca,Partidul Uniunea Salvati România,10690
100735511723149,Alianța USR PLUS Cluj-Napoca,"Partidul Libertate, Unitate și Solidaritate",10173
1504323906337545,Litere.net,litere.net,9994
1601334153417885,RMDSZ Kolozs Megye,RMDSZ Kolozs Megye,9952
181375448581167,Partidul Naţional Liberal,Future Innovation,9904
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,9783
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,9510
110823160847501,Dragoș Rusu,PPU SL,9339
175293925828191,Kelemen Hunor,RMDSZ,9185
101801151737136,Radu Moisin,TMK Research Services,9175
100878245060836,Călin Valentin Cozma - independent,Călin Cozma,8871
112664490103704,Salvăm România,Salvăm România,8743
100752674708453,PSD Turda,Geflo Media SRL,8699
686190454826244,Declic,Declic,8616
108148250529618,USR Cluj,Partidul Uniunea Salvati Romania,8299
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,8286
165467823513147,Alin Tișe,Alin Tișe,8066
113795383753850,Viorel Băltărețu,"Partidul Libertate, Unitate și Solidaritate",8040
1100459663338217,News.ro,News.ro,7643
399833723423474,László AttiIa,RMDSZ Kolozs Megye,7630
101729168091150,Sabin Sărmaș,TMK Research Services,7609
105073884388516,Mircea Moroșan,TMK Research Services,7480
2093436807582434,Partidul Mișcarea Populară Florești,Partidul Mișcarea Populară,7466
178362315106,European Parliament,These ads ran without a disclaimer,7118
106107464631160,Cristian Bordei,"Partidul Libertate, Unitate și Solidaritate",7115
131694680334259,Sorin Moldovan,TMK Research Services,7002
356582831057941,Cristian Matei,Cristian Matei,6921
220579784732993,Daniel Buda,Buda Daniel,6890
1707460365989111,Organizația de Tineret - PMP Cluj,Partidul Miscarea Populara,6837
165467823513147,Alin Tișe,These ads ran without a disclaimer,6760
107543802616247,Dacian Cioloş,PLUS,6735
445242878916307,Readlog,Readlog News,6696
136902520189642,Talpas Botond,RMDSZ Kolozs Megye,6596
100912055089802,Dorinel Munteanu,Partidul Mișcarea Populară,6328
108055370763048,Alianța USR PLUS Florești,"Partidul Libertate, Unitate și Solidaritate",6163
170623543081668,Adrian Oros,TMK Research Services,6129
309748249443745,Oláh Emese,RMDSZ Kolozs Megye,6001
1667054373538354,Vasile Dîncu,Zbabing,5896
106526574509254,PSD-Cluj,Zbabing,5829
100634388253140,Știri de Florești,Știri de Florești,5812
111190480252428,Radu Molnar,"Partidul Libertate, Unitate și Solidaritate",5809
270123713114441,Cluj Manifest,Cluj Manifest,5614
1213299995450587,Emanuel Ungureanu,Uniunea Salvati Romania,5577
114054327105900,ARCA Împreună salvăm roadele Clujului,TOMIS IT STUDIO SRL,5324
123526378261795,Stiri Locale,Stiri Locale,5156
982404801775897,Paul E. Siserman,TOMIS IT STUDIO SRL,5109
356582831057941,Cristian Matei,Asociatia for Turda,5096
356582831057941,Cristian Matei,TMK Research Services,4746
795022763862618,Viorel Cataramă,Dreapta Liberala,4728
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,4715
670786806650339,Cătălin Sălăgean,Partidul Uniunea Salvati Romania,4621
110976275594963,TurdaNews,Geflo Media SRL,4615
2005406436395609,Vákár István,RMDSZ Kolozs Megye,4577
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,4409
115223543730170,Ludovic Orban,Partidul Naţional Liberal,4401
167669676772029,Vasile Cristian Lungu - Senator PMP,These ads ran without a disclaimer,4368
109483660891665,Dănuț Canta,ARTLOG SOFTWARE ZONE,4333
100147535153375,Elena Ciubucă,"Partidul Libertate, Unitate și Solidaritate",4220
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,4148
112460626989588,Antal Géza,RMDSZ Kolozs Megye,4031
505785196105852,Florian Bodog,Partidul Social Democrat,3973
180167272027251,B1.ro,B1.ro,3924
102025778125741,Robert Cazanciuc,Partidul Social Democrat,3922
104461411124740,Radu Fărcaș România Cluj Floresti,Radu Farcas,3873
102378434687208,Radu Lupas,BLUZZ VERSION,3842
2081882595470333,Partidul Mișcarea Populară Cluj-Napoca,These ads ran without a disclaimer,3759
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,3710
108148250529618,USR Cluj,Partidul Uniunea Salvați România,3533
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,3334
108967857582757,Teodor Cristinel Popa,TMK Research Services,3325
1424043861019646,Partidul Mișcarea Populară Cluj,Partidul Miscarea Populara,3307
729627343834501,Kialo,These ads ran without a disclaimer,3286
2177244962290894,PRO România,Networld IT&C SRL,3181
170623543081668,Adrian Oros,Nechita-Adrian Oros,3180
112571523480822,Un Om Presedinte,Deep Knowledge,3116
104339127576831,Ziareazi.ro,ziareazi.ro,3026
309461116236478,USR Florești,Partidul Uniunea Salvati Romania,2928
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,2919
109732613997298,Borca Nicolae,"Partidul Libertate, Unitate și Solidaritate",2899
104984241302835,Balázs János,RMDSZ Kolozs megye,2886
1609233339370553,Cristina Burciu,TMK Research Services,2884
1153758948042333,Cârcu Ioan Caius,Carcu Caius,2866
602280189818804,Mihai Goţiu,Partidul Uniunea Salvati Romania,2803
1655717947795065,Bogdan Pivariu,Bogdan Nicolae Pivariu,2763
252950101538687,PNL Cluj,PNL Cluj,2711
1769713886444816,Râsu Plânsu,Râsu Plânsu,2671
1590115447947153,Partidul Social Democrat Cluj,These ads ran without a disclaimer,2584
1933828876850844,Sondaje România,Sondaje.net,2581
597141930423425,Zbor Socratic,ALDE Turda,2507
1556099721299915,Daniel Meze,Meze Daniel-Aron,2489
279454772645662,Nicu Ștefănuță,Nicu Ștefănuță,2468
232937900984571,Partidul Mișcarea Populară Gherla,Partidul Miscarea Populara,2405
1655717947795065,Bogdan Pivariu,Bogdan Pivariu,2359
1655717947795065,Bogdan Pivariu,TMK Research Services,2357
447704011932385,Hegedüs Csilla,RMDSZ,2333
108537754068711,Sergiu Hossu,"Partidul Libertate, Unitate și Solidaritate",2258
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Néppárt,2248
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,2226
115038180188842,Sebastian-Iacob Moga,TMK Research Services,2148
654183651296677,Mircea Diaconu,Alianta UN OM,2120
28312410177,World Food Programme,These ads ran without a disclaimer,2101
106660291163685,Maier Cosmin,TMK Research Services,2100
109219267650851,Patriciu Achimaș-Cadariu,Zbabing SRL,2042
101054351474814,PRO România Florești,Megasoft Systems,2025
