Page ID,Page Name,Disclaimer,Amount Spent (RON)
291177524360702,Partidul Social Democrat,Partidul Social Democrat,82279
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,75685
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,69612
528408150903547,Stelian Ion,USR Constanța,60655
412473149183859,PSD Judetul Constanta,PSD Filiala Constanța - 11200020,60438
178362315106,European Parliament,European Parliament,52865
324424001419299,Horia Constantinescu,eTrezirea,50640
422079857963680,PNL Constanţa,Partidul Național Liberal Filiala Constanța,50321
324424001419299,Horia Constantinescu,Horia Constantinescu,44526
698760586929790,USR Constanța,USR Constanța,42471
242547063081884,Constanța în schimbare,Constanta in schimbare,40342
698760586929790,USR Constanța,Uniunea Salvați România filiala Constanta,38816
2198387057107816,Nicoleta Ploscaru,Nicoleta Ploscaru,36026
1616689388623828,George Muhscina,George Muhscina,33282
960310370664830,Primăria Constanța,Evonomix,31485
430856153670593,Elena Basescu,Partidul Mișcarea Populară,31474
406827252696664,Claudiu-Iorga Palaz,Partidul Mișcarea Populară - Organizația Județeană Constanța,29587
104537314785431,Lucian Lungoci,Partidul Social Democrat Filiala Constanța - 11200020,27639
110335290887293,Tit-Liviu Brăiloiu,Partidul Social Democrat Filiala Constanța - 11200020,27345
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,25192
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,23433
207255636351408,Dan Barna,Uniunea Salvați România - USR,23203
107898832590939,European Commission,European Commission,21753
422079857963680,PNL Constanţa,Partidul Național Liberal filiala Constanța,21098
668319153280411,Corina Martin,Admin Tools SRL,20157
1569314583329364,Vergil Chițac,PNL - Filiala Constanta,20111
149371012371397,Newsweek Romania,Newsweek Romania,19842
1623630114537710,eTrezirea,eTrezirea,19478
338416500146655,USR PLUS Agigea,USR Constanța,19412
106110347886087,Stroe Felix,PSD Filiala Constanta - 21200019,19099
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,18244
322809508100115,George Gabriel Vișan,Partidul Social Democrat Filiala Constanța - 11200020,17663
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,16989
344458106051842,Mircea Titus Dobre,Mircea Titus Dobre,16780
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,16771
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,16370
1120604481413016,Dobrogea TV,Dobrogea TV,16174
719601528138635,Partidul Mișcarea Populară Constanța,Partidul Miscarea Populara,16064
106189049563646,Constanta INFO,Dorian Hapurnea,14679
176989973158138,Guvernare.net,Guvernare.net,13757
422079857963680,PNL Constanţa,PNL Constanţa,13453
1569314583329364,Vergil Chițac,Vergil Chițac,13392
445242878916307,Readlog,Readlog News,11739
123526378261795,Stiri Locale,Stiri Locale,10932
1504323906337545,Litere.net,litere.net,10876
283727512100172,USR Mangalia,Uniunea Salvați România filiala Constanța,10772
2546711162025064,Politice.net,politice.net,10752
291132089193,Greenpeace Romania,Greenpeace Romania,10710
406827252696664,Claudiu-Iorga Palaz,Claudiu Palaz,10655
789145404449958,Constanţa Altfel,Constanţa Altfel,10145
100505771772996,Daniel Constantin Moraru,Admin Tools SRL,10136
103930971527960,Nicoleta Florea,Admin Tools SRL,9970
142667656411528,Constanta de Azi,Constanta de Azi,9631
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,9578
108009863962194,Menabit Ozghiun,Admin Tools SRL,9459
473363713188731,PLUS Constanța,PLUS Constanta,9371
293705614001972,Ileana Cristina Dumitrache,PSD Constanta CMF 11200020,9164
100503175170735,Valentin Olivian Trofin,Evonomix,9126
112664490103704,Salvăm România,Salvăm România,8818
102991004591819,Razvan Filipescu,Evonomix,8796
344458106051842,Mircea Titus Dobre,Evonomix,8746
100505771772996,Daniel Constantin Moraru,Admin Tools,8416
108812143884188,ACS Metalul Constanța,Asociația Club Sportiv Metalul Constanța,8349
238823196246393,Andrei Popescu,Andrei Popescu,8315
181375448581167,Partidul Naţional Liberal,Future Innovation,8300
475729409194986,Marian Vasiliev,Marian Vasiliev,8270
945290092249958,Marius Horia Țuțuianu,Marius Horia Tutuianu,7894
179534978911984,ZIUA de Constanţa,ZIUA de Constanţa,7598
106110347886087,Stroe Felix,Partidul Social Democrat Filiala Constanța - 11200020,7573
224159275610904,"Navodari, oras fara penali",Navodari oras fara penali,7557
101920081415195,Partidul Puterii Umaniste - Social Liberal Constanța,PPU-SL Constanta,7332
104423064312546,Horia Țuțuianu - Împreună Dezvoltăm Județul Constanța,Partidul Social Democrat filiala Constanta,6499
105892884555978,Mihai Șurghie,Mihai Șurghie,6282
103670978192991,Fildis Reșit,Admin Tools SRL,6245
311695959686140,USR Ovidiu,USR Constanța,6211
1859195804406999,USR Năvodari,Uniunea Salvați România filiala Constanța,6192
770704223323599,Dezvoltăm România,Future Innovation,5999
178362315106,European Parliament,These ads ran without a disclaimer,5796
344458106051842,Mircea Titus Dobre,PRO Romania Constanța,5674
1876727935882404,Bogdan Bola,BOLA BOGDAN-ALEXANDRU,5407
108134810667090,Partidul Verde Constanta,Partidul Verde,5179
668319153280411,Corina Martin,Taleria Marketing,5155
945290092249958,Marius Horia Țuțuianu,Partidul Social Democrat filiala Constanta,5139
108322830963806,Bogdan Moșescu,USR Constanta,4867
106687767764220,Onur Asan,Paul Ceara,4800
320970901369233,Lensa,These ads ran without a disclaimer,4773
