Page ID,Page Name,Disclaimer,Amount Spent (RON)
102601499822802,RMDSZ,RMDSZ,28143
291177524360702,Partidul Social Democrat,Partidul Social Democrat,19299
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,15956
178362315106,European Parliament,European Parliament,15793
175293925828191,Kelemen Hunor,RMDSZ,14604
1568247196820750,Partidul Social Democrat Covasna,Partidul Social Democrat Covasna,14292
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,12222
177420272382489,Antal Árpád,Antal Árpád,6574
177420272382489,Antal Árpád,Háromszéki RMDSZ,5577
107898832590939,European Commission,European Commission,5446
207255636351408,Dan Barna,Uniunea Salvați România - USR,5220
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,4742
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Néppárt,4299
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Szövetség,3947
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,3879
103864108123267,ALDE Județul Covasna,DIGITAL TRANSILVANIA LIFESTYLE,3827
215328865181171,Borboly Csaba,Borboly Csaba,3795
176989973158138,Guvernare.net,Guvernare.net,3504
800313180074922,Bokor Tibor,RMDSZ Háromszék,3287
149371012371397,Newsweek Romania,Newsweek Romania,3132
2546711162025064,Politice.net,politice.net,2977
1427696890866002,PNL Covasna,PNL Covasna,2948
1504323906337545,Litere.net,litere.net,2916
675042232534141,Vincze Loránt,Vincze Loránt,2907
182222208937599,Asociaţia Identitate și Dialog,Asociaţia Identitate şi Dialog,2804
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,2632
1004811666340032,"1000 év Erdélyben, 100 év Romániában","1000 év Erdélyben, 100 év Romániában",2625
270735699659179,RMDSZ - Háromszéki Területi Szervezet,Háromszéki RMDSZ,2358
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,2317
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,2287
445242878916307,Readlog,Readlog News,2041
112140994018934,Miklós Zoltán,Háromszéki RMDSZ,1931
181375448581167,Partidul Naţional Liberal,Future Innovation,1890
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,1633
142221692606336,Sepsiszentgyörgy Tanácsának RMDSZ frakciója,Háromszéki RMDSZ,1499
115223543730170,Ludovic Orban,Partidul Naţional Liberal,1499
112664490103704,Salvăm România,Salvăm România,1495
770704223323599,Dezvoltăm România,Future Innovation,1492
110993310798113,Könczei Csaba,Háromszéki RMDSZ,1439
1512454475497915,ALDE Brasov,ALDE Filiala Judeteana Brasov,1389
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,1377
1612503615709884,Dr. Vass Levente,Dr. Vass Levente,1326
392084620862998,Fejér László Ödön,Háromszéki RMDSZ,1301
100173025117282,Erdélyi Magyar Szövetség Háromszék,DIGITAL TRANSILVANIA LIFESTYLE,1237
293215748279337,România fără PSD,Future Innovation,1224
188113901227053,Maszol.ro,Maszol.ro,1219
149374912345963,Constantin-Laurenţiu Teacă,Partidul Social Democrat Covasna,1218
364457997442201,Iskola Alapítvány,Iskola Alapítvány,1147
505785196105852,Florian Bodog,Partidul Social Democrat,1132
291132089193,Greenpeace Romania,Greenpeace Romania,1129
1682907338653630,Erdélyi Magyar Szövetség Sepsiszentgyörgy,DIGITAL TRANSILVANIA LIFESTYLE,1112
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,1103
1100459663338217,News.ro,News.ro,1101
1824177847795177,Benkő Erika,Benkő Erika,1100
102025778125741,Robert Cazanciuc,Partidul Social Democrat,1079
795022763862618,Viorel Cataramă,Dreapta Liberala,1040
