Page ID,Page Name,Disclaimer,Amount Spent (RON)
236992636715917,Simona Maria Vlădica,Partidul Mișcarea Populară Călărași,67930
291177524360702,Partidul Social Democrat,Partidul Social Democrat,20545
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,20080
228503903923137,Catalin Lucian Iliescu,Partidul Mișcarea Populară,19318
149070878549352,Adrian Marius Dobre,Carrot Media SRL la comanda PRO Romania Calarasi-CMF 11200008,18730
1477795509184760,PNL Călăraşi,PNL Călărași,16845
1477795509184760,PNL Călăraşi,Partidul Național Liberal Călărași,14511
120115111981057,Partidul Mișcarea Populară Călărași Oficial,Partidul Mișcarea Populară Călărași,13082
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,12935
178362315106,European Parliament,European Parliament,12476
102381444684119,Alianța USR PLUS Călărași,Alianța USR PLUS Călărași,12092
518963091822073,Meseseanu Razvan-Ilie,Carrot Media SRL la comanda PRO Romania Calarasi-CMF 11200008,10611
236992636715917,Simona Maria Vlădica,Partidul Mișcarea Populară,9391
102345291691767,Nicușor Cionoiu,ROGER GRAPHIC DESIGN SRL,8083
182783535702641,PRO România Călărași,Carrot Media SRL la comanda PRO Romania Calarasi-CMF 11200008,5672
207255636351408,Dan Barna,Uniunea Salvați România - USR,5336
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,5329
110293604073935,Petre Leonard Florin,DAN PRESS SRL,5065
107898832590939,European Commission,European Commission,5061
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,4531
1930703783625250,Sorin Vrajitoru,Sorinel-Marian Vrajitoru,4101
110293604073935,Petre Leonard Florin,Florin Leonard  Petre,4031
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,3912
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,3900
113474187071180,Liviu Coman,Partidul Mișcarea Populară,3892
1477795509184760,PNL Călăraşi,Partidul Naţional Liberal,3714
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,3315
176989973158138,Guvernare.net,Guvernare.net,3275
104681087698732,Mădălina Obadă - PNL Fundulea,Madalina Obada,2978
2546711162025064,Politice.net,politice.net,2861
100164175123388,Partidul Național Liberal - Oltenița,PNL Călărași,2752
107048977882137,Liviu Mușat,ROGER GRAPHIC DESIGN SRL,2709
100685685193711,Dumitru Coarnă,ROGER GRAPHIC DESIGN,2705
1504323906337545,Litere.net,litere.net,2627
1813682738881657,Ciprian Pandea,Partidul National Liberal Filiala Calarasi,2541
100170125230813,Constantin Bîrcă,ROGER GRAPHIC DESIGN SRL,2518
508572592666785,Alin Drăgulin,Alin-Bogdan Drăgulin,2405
