Page ID,Page Name,Disclaimer,Amount Spent (RON)
109556372802910,USR Dolj,Uniunea Salvați România,96433
108331397335412,Eduard Ciceu,Eduard Ciceu,76669
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,71961
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,65413
291177524360702,Partidul Social Democrat,Partidul Social Democrat,64752
252218321561994,Lia Olguta Vasilescu,PSD Dolj,60296
543681502428738,PSD Dolj,PSD Dolj,52279
213456325928364,Cosmin Vasile,PSD Dolj,47909
178362315106,European Parliament,European Parliament,40420
269839123444413,Lucian Bernd Săuleanu,Lucian Săuleanu - USR PLUS,37627
299447630500100,Antonie Solomon,Antonie Solomon,31536
808773709245245,Nicolae Giugea,Oltenia STAR,23477
108331397335412,Eduard Ciceu,Pro Romania Dolj,22932
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,20718
107898832590939,European Commission,European Commission,19579
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,19070
122230079287624,Alexandru Gîdăr,Oltenia STAR,18410
2237102673235835,PLUS Dolj,PLUS Dolj,16917
735350019910389,PNL DOLJ,OLTENIA STAR,16251
207255636351408,Dan Barna,Uniunea Salvați România - USR,16096
103963427630090,Florinel Stancu,Finedrefined la comanda Pro Romania Dolj,15539
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,15474
808773709245245,Nicolae Giugea,Nicolae Giugea,14692
176989973158138,Guvernare.net,Guvernare.net,13669
1665056826841975,Anisoara Stanculescu,PMP Dolj,13548
149371012371397,Newsweek Romania,Newsweek Romania,13342
108331397335412,Eduard Ciceu,Finedrefined pentru Pro Romania Dolj,13155
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,12817
100642061848378,Cosmin Poteraș,Cosmin Poteraș - USR PLUS,11815
111450667287518,Iustin Dumitrescu,Iustin Dumitrescu USR PLUS,11476
2546711162025064,Politice.net,politice.net,9943
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,9674
1504323906337545,Litere.net,litere.net,8978
701812826650904,Isidor Raducea,Raducea Isidor,8441
123526378261795,Stiri Locale,Stiri Locale,8258
112664490103704,Salvăm România,Salvăm România,8243
104649844473306,Silviu Bratu,USR - Uniunea Salvați România,7924
104884291103227,Cristian Deaconu,Cristian Deaconu,7702
181375448581167,Partidul Naţional Liberal,Future Innovation,7596
103963427630090,Florinel Stancu,"PRO ROMANIA DOLJ, executata de OLTENIA STAR SRL",7362
445242878916307,Readlog,Readlog News,7191
113210497133808,Inovatia PNL,Laura Claudia Hăinaru,7172
770704223323599,Dezvoltăm România,Future Innovation,7020
104484254797326,Deputat Laura Vicol,PSD Dolj,6566
269839123444413,Lucian Bernd Săuleanu,Lucian Săuleanu,6463
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,6277
259183120809403,Ion Prioteasa,PSD Dolj,5954
291132089193,Greenpeace Romania,Greenpeace Romania,5847
241935362900357,Badea Iulian,PSD Dolj,5659
1100459663338217,News.ro,News.ro,5639
815353305476713,Eliza Peța-Ștefănescu,PSD Dolj,5594
434904053541193,Mihail Genoiu,PSD Dolj,5582
105813218000409,Cosmin Durle,PSD Dolj,5463
259825811088447,Adrian-Claudiu Prisnel,Uniunea Salvați Romania,5443
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,5040
105717551215355,Marin Costache,Marin Costache,4822
178362315106,European Parliament,These ads ran without a disclaimer,4817
175087382840296,Alexandra Presura,PSD Dolj,4794
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,4656
115223543730170,Ludovic Orban,Partidul Naţional Liberal,4481
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,4475
208455526258094,Radu Preda,Partidul Social Democrat,4420
103963427630090,Florinel Stancu,OLTENIA STAR,4406
106363661265043,Daniel Gheba,USR - Uniunea Salvați România,4166
795022763862618,Viorel Cataramă,Dreapta Liberala,4127
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,3853
105717551215355,Marin Costache,Promovare Craiova,3825
1769713886444816,Râsu Plânsu,Râsu Plânsu,3767
2126985230917022,PRO România Dolj,"PRO ROMANIA DOLJ, executata de OLTENIA STAR SRL",3544
109556372802910,USR Dolj,Dincă Laurențiu Marian,3494
434904053541193,Mihail Genoiu,Mihail Genoiu Primarul Craiovei,3470
100171518179384,Adrian Oprică,Adrian Oprică USR PLUS,3450
2177244962290894,PRO România,Networld IT&C SRL,3304
