Page ID,Page Name,Disclaimer,Amount Spent (RON)
1585170161775563,PSD Galati,Partidul Social Democrat Galati,150957
932511363436611,Cristian Dima,OPYUM ADVERTISING CA SRLD,70442
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,58103
291177524360702,Partidul Social Democrat,Partidul Social Democrat,55123
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,52349
159850657881928,Costel Fotea,Costel Fotea,40828
178362315106,European Parliament,European Parliament,39926
102944558153946,Marius Mărgărit,Mitica-Marius Margarit,32078
979547832069760,PNL Galati,Branding Digital Strategy,29761
545470752223362,George Stângă,PNL Galati,29186
979547832069760,PNL Galati,PNL Galati,27150
174434106304018,USR Galați,Uniunea Salvați România,27058
518360088519274,Cristache Cătălin,MUNTEANU MARIUS-CATALIN,25291
624378404873325,Bogdan Dumitrescu,"Partidul Libertate, Unitate și Solidaritate",20604
518360088519274,Cristache Cătălin,Cristache Catalin,20160
701874166872918,PLUS Galați,"Partidul Libertate, Unitate și Solidaritate",18612
340770676112984,PMP Galați,MUNTEANU MARIUS-CATALIN,17877
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,17265
107898832590939,European Commission,European Commission,17136
207255636351408,Dan Barna,Uniunea Salvați România - USR,15866
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,15122
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,12335
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,12239
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,12233
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,11863
1039043416229694,Nicolae Marin,Win Media,11794
176989973158138,Guvernare.net,Guvernare.net,11784
560000794151524,Gavril Claudiu Sorin,Claudiu Sorin Gavril,10290
149371012371397,Newsweek Romania,Newsweek Romania,9525
2546711162025064,Politice.net,politice.net,8698
932511363436611,Cristian Dima,ALDE- PARTIDUL ALIANȚA LIBERALILOR ȘI DEMOCRAȚILOR,8466
1504323906337545,Litere.net,litere.net,7329
112664490103704,Salvăm România,Salvăm România,7322
181375448581167,Partidul Naţional Liberal,Future Innovation,7049
1751648681794322,PACT pentru Galati,Asociația Civică PACT pentru Galați,6099
291132089193,Greenpeace Romania,Greenpeace Romania,5683
979547832069760,PNL Galati,Partidul Naţional Liberal,5631
106823474084256,Iulian Mircea,Iulian Mircea,5536
932511363436611,Cristian Dima,Cristian Dima,5419
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,5418
770704223323599,Dezvoltăm România,Future Innovation,5409
1100459663338217,News.ro,News.ro,5253
445242878916307,Readlog,Readlog News,4959
545470752223362,George Stângă,Stanga George-Catalin,4918
136440113400763,Bogdan Rodeanu,USR Galați,4798
178362315106,European Parliament,These ads ran without a disclaimer,4470
123526378261795,Stiri Locale,Stiri Locale,4335
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,4133
1039043416229694,Nicolae Marin,Nicolae Marin,4068
1929407947378937,Reperul TV,Elena Vrabie,3707
389963941046410,Marius Stan,Win Media : WMD SRL,3700
1769713886444816,Râsu Plânsu,Râsu Plânsu,3646
115223543730170,Ludovic Orban,Partidul Naţional Liberal,3543
136440113400763,Bogdan Rodeanu,Bogdan Rodeanu,3506
795022763862618,Viorel Cataramă,Dreapta Liberala,3382
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,3253
161168401169183,Lucian Costin,Branding Digital Strategy,3239
2177244962290894,PRO România,Networld IT&C SRL,3099
107908053983502,PLUS Tecuci,"Partidul Libertate, Unitate și Solidaritate",3065
102025778125741,Robert Cazanciuc,Partidul Social Democrat,2998
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,2989
112571523480822,Un Om Presedinte,Deep Knowledge,2963
101368055112353,Tiberiu Mihai Antoniu Jalbă,Tiberiu Mihai Antoniu Jalbă,2803
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,2593
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,2448
686190454826244,Declic,Declic,2428
654183651296677,Mircea Diaconu,Alianta UN OM,2378
932511363436611,Cristian Dima,ALDE Galati,2282
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,2217
107250480822963,Cristian Duca,Cristian Duca,2183
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,2170
227922987222524,Calin Popescu Tariceanu,ALDE,2049
505785196105852,Florian Bodog,Partidul Social Democrat,1939
180167272027251,B1.ro,B1.ro,1799
1057955567584624,Ionut Pucheanu,These ads ran without a disclaimer,1798
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,1791
150967671609795,Victor Ponta,PRO România,1726
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,1713
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,1710
1933828876850844,Sondaje România,Sondaje.net,1699
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,1661
731035500293728,Siegfried Muresan,Siegfried Muresan,1654
456896101176500,Daniela Simona Vreme,Vreme Daniela Simona,1607
304735519648377,Guvernul României,Crucea Rosie Romana,1580
949310328493328,E5 News,E5News,1556
1241088042614083,Serban Alexandru-Gabriel,Alexandru Serban Gabriel,1523
108993054194031,Andrei Postică,USR Galați,1501
100359098453366,Partidul Puterii Umaniste social-liberal Galati,Roxana Marosy,1424
744028202367270,USR Tulcea,USR Tulcea,1408
442721279504718,Elena Grosu,Elena Grosu,1367
104339127576831,Ziareazi.ro,ziareazi.ro,1338
117682741602835,Online Report,Online Report,1323
220579784732993,Daniel Buda,Buda Daniel,1313
101322554583643,Ciuma Roșie,Ciuma Roșie,1285
103445844473825,Alianța pentru Unirea Românilor - AUR,DGI Multimedia Design SRL,1244
518360088519274,Cristache Cătălin,These ads ran without a disclaimer,1213
789998757706140,PNL Brăila,Partidul National Liberal Braila,1187
121811062957175,Daniel Zinica,USR Galați,1174
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,1141
182546041796641,Costel Alexe,Partidul Naţional Liberal,1133
243027859216579,Alfred Simonis,Partidul Social Democrat,1097
293215748279337,România fără PSD,Future Innovation,1071
1039043416229694,Nicolae Marin,These ads ran without a disclaimer,1008
235213506662952,Târgu Bujor,Laurentiu Viorel Gîdei,991
1094773083945512,Claudiu Nasui,NASUI CLAUDIU-IULIUS-GAVRIL,972
108821710734046,Mihai Isvoranu,"Partidul Libertate, Unitate și Solidaritate",960
100727171487090,Andra Costache,Branding Digital Strategy,930
2177244962290894,PRO România,PRO România,927
362877977521642,Partidul Neamul Romanesc,Peia Ninel,917
1875528839348774,Dragoș Pîslaru,Dragoș Pîslaru,898
105740474673919,Dragan Oliwer Claudiu,Partidul Social Democrat Galati,898
107543802616247,Dacian Cioloş,PLUS,859
181375448581167,Partidul Naţional Liberal,Future Innovation,855
272370502030,Comisia Europeană în România,Reprezentanța Comisiei Europene în România,853
591077984699308,Cazinouri Legale,These ads ran without a disclaimer,841
170623543081668,Adrian Oros,Nechita-Adrian Oros,819
161168401169183,Lucian Costin,Lucian-Grigore Costin,816
799949990211564,Ramona Ioana Bruynseels,These ads ran without a disclaimer,816
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,795
163943696987223,Ziarul Puterea,Ziarul Puterea,790
433179246802682,Consiliul Investitorilor Străini - FIC,Consiliul Investitorilor Străini - FIC,785
581911828514783,Partidul Mișcarea Populară,Partidul Mișcarea Populară,782
107898832590939,European Commission,These ads ran without a disclaimer,780
535445976897124,ALDE BACĂU - Partidul Alianța Liberalilor și Democraților,Partidul Alianța Liberalilor și Democraților - ALDE,769
1140001842686665,Petre Florin Manole,Partidul Social Democrat,759
136440113400763,Bogdan Rodeanu,These ads ran without a disclaimer,752
118156068240867,CEL.ro,CEL.ro,751
488333077924354,Expresspress,ExpressPress.ro,729
112664490103704,Salvăm România,These ads ran without a disclaimer,725
116045020295882,Marius Humelnicu,Partidul Social Democrat Galati,723
138896782840976,Biroul Parlamentului European în România,"Parlamentul European, Biroul de Informare în Romania",720
163950740830769,Gaz De Romania,Gaz De Romania,694
103445844473825,Alianța pentru Unirea Românilor - AUR,Simion George-Nicolae,688
114685395289559,Andreea Talmazan,Andreea-Cristina Talmazan,672
729627343834501,Kialo,These ads ran without a disclaimer,657
1317563728271610,Ioana Constantin,Partidul Mișcarea Populară,653
1094773083945512,Claudiu Nasui,Uniunea Salvati Romania,641
227922987222524,Calin Popescu Tariceanu,EvolveDreamSoft,639
100120528576717,Aurel Nechita,Partidul Social Democrat Galati,637
1653726584879481,Mihai Fifor,Partidul Social Democrat,632
574372066308729,Basism,Grupul de Investigatii Politice,626
147547541961576,Council of the European Union,Council of the European Union,615
1769713886444816,Râsu Plânsu,These ads ran without a disclaimer,613
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,610
2212856535602171,George Simion,George Simion,608
364446500390294,Ilan Laufer,Ilan Laufer,601
112651657181398,Zi de zi,Zidezi,597
1903580739951981,PLUS,PLUS,579
979547832069760,PNL Galati,Costache Andra-Mihaela,578
339365506708219,Departamentul pentru Agricultură și Dezvoltare Rurală al PSD,Partidul Social Democrat,566
325398644877268,Dedicații,Adrian-Liviu Butunoi,562
143378845861681,PNL Mures,PNL Mures,558
1772039399702006,Alternativa Dreapta Galati,Alternativa Dreapta Galati,552
1128229287275038,Silvia Dinică,Silvia Dinică,549
501922796520976,Recolamp,Recolamp,547
101813971731083,Laurentiu-Adrian Feodorov,TGU Group SRL pentru P. E. R. Filiala Tulcea CUI 11200031,539
340770676112984,PMP Galați,These ads ran without a disclaimer,535
621574984950400,Alianța USR PLUS,These ads ran without a disclaimer,533
114571252212164,ALDE Galați,ALDE Galați,531
360184320712594,Raluca Turcan,PNL Sibiu,526
165452684079944,Sătui,IOANITA MARIN-IOANA,525
770704223323599,Dezvoltăm România,These ads ran without a disclaimer,524
1585170161775563,PSD Galati,These ads ran without a disclaimer,501
1531103237142501,Sorin Lacatusu,Lacatusu Sorin,500
279280712669378,Alianța Anticorupție din România,These ads ran without a disclaimer,498
792908570826773,Stiri de Galati,These ads ran without a disclaimer,498
624376714433486,Trezirea Spirituala,These ads ran without a disclaimer,497
356331945441602,Nu te lăsa dusă,Andra Anastasia Alexa,495
602280189818804,Mihai Goţiu,These ads ran without a disclaimer,495
1772039399702006,Alternativa Dreapta Galati,Naltabar Ionut,485
361235817223309,Traian Băsescu,Partidul Miscarea Populara Bucureşti,483
2443020582586584,Romania Eficienta,Romania Eficienta,481
168243139877442,BZI,BZI,478
428923027871330,Consiliul Național PSD,Partidul Social Democrat,473
111049194090703,Prea mult si niciodata destul,Books Lead SRL,470
292847028010932,Aresel,Tudor Adrian,469
104755957723388,PLUS Târgu Bujor,"Partidul Libertate, Unitate și Solidaritate",459
141366725876424,European Greens,European Greens,458
