Page ID,Page Name,Disclaimer,Amount Spent (RON)
238161130013060,PNL Giurgiu,PNL Giurgiu,23303
238161130013060,PNL Giurgiu,Partidul Naţional Liberal,21213
1164341813627057,Maria Gabriela Horga,Partidul Național Liberal Giurgiu,17457
1406775682961139,PSD Giurgiu,PSD Giurgiu,13629
309477135842532,Marian Mina,PSD Giurgiu,13365
668129379887378,Dan Motreanu,PNL Giurgiu,13174
1527295450904777,Dumitru Beianu,Partidul National Liberal,13166
291177524360702,Partidul Social Democrat,Partidul Social Democrat,12350
188960694893155,Cristina Elena Dinu,PSD Giurgiu,12185
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,11413
104559291347737,Adrian Anghelescu,Partidul Național Liberal Giurgiu,11369
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,7644
1527295450904777,Dumitru Beianu,Partidul Național Liberal Giurgiu,7064
178362315106,European Parliament,European Parliament,6248
179933162500602,Toma Petcu,PNL Giurgiu,6046
100102245180752,Basangiac Constantin,EVENT DESIGN CRISTINA ART SRL,4431
102025778125741,Robert Cazanciuc,Partidul Social Democrat,4216
1164341813627057,Maria Gabriela Horga,Partidul Naţional Liberal,4073
238161130013060,PNL Giurgiu,Truezone Media,4006
306758270008946,Valentin Ștefan,PNL Giurgiu,3916
1765287270375766,USR Giurgiu,Alianța USR PLUS Giurgiu,3278
1785666108373699,Calota Samuel,lpv media pro srl,3207
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,3196
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,3041
426360857775285,PRO România Giurgiu,PRO ROMÂNIA Giurgiu,2928
462842741190399,Alexandru Andrei,PNL Giurgiu,2924
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,2594
107898832590939,European Commission,European Commission,2589
207255636351408,Dan Barna,Uniunea Salvați România - USR,2469
1164341813627057,Maria Gabriela Horga,PNL Giurgiu,2466
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,2408
357607374285799,Nicolae Barbu,LU Agency,2249
106151787820873,Alexandru Vladu Oficial,EVENT DESIGN CRISTINA ART SRL,2247
100102245180752,Basangiac Constantin,PSD Giurgiu,2202
105191554703712,George Voicilă,Alianța USR PLUS Giurgiu,1879
176989973158138,Guvernare.net,Guvernare.net,1853
149371012371397,Newsweek Romania,Newsweek Romania,1742
102610444914583,Marian Măroiu,PSD Giurgiu,1682
2546711162025064,Politice.net,politice.net,1489
1504323906337545,Litere.net,litere.net,1460
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,1434
829456037164932,Adrian Gabriel Pintilie,Partidul National Liberal - Filiala Giurgiu,1422
554865607867049,Visinel Balan,"Vișinel Bălan, Mandatar CUI:24200102",1347
128010884505077,Partidul Mișcarea Populară Giurgiu Oficial,PMP Giurgiu,1345
445242878916307,Readlog,Readlog News,1236
181375448581167,Partidul Naţional Liberal,Future Innovation,1230
111352214018894,Constantin VOICU,VOICU CONSTANTIN,1058
1100459663338217,News.ro,News.ro,1051
111557897298537,Ciprian Alexandru,Alianța USR PLUS Giurgiu,1038
462842741190399,Alexandru Andrei,These ads ran without a disclaimer,935
1765287270375766,USR Giurgiu,These ads ran without a disclaimer,930
128010884505077,Partidul Mișcarea Populară Giurgiu Oficial,Partidul Mișcarea Populară Giurgiu,900
115223543730170,Ludovic Orban,Partidul Naţional Liberal,885
112664490103704,Salvăm România,Salvăm România,883
111352214018894,Constantin VOICU,PMP Giurgiu,878
770704223323599,Dezvoltăm România,Future Innovation,874
178362315106,European Parliament,These ads ran without a disclaimer,873
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,818
678840505584990,PNL Bucuresti,PNL Filiala București,787
2021287728125919,Stiri de Azi,Stiri de Azi,783
554865607867049,Visinel Balan,Visinel Balan,773
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,772
291132089193,Greenpeace Romania,Greenpeace Romania,761
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,700
2177244962290894,PRO România,Networld IT&C SRL,687
309477135842532,Marian Mina,LoveAds,653
795022763862618,Viorel Cataramă,Dreapta Liberala,620
686190454826244,Declic,Declic,617
698764386930112,Adrian IONUȚ GÂDEA,FX NET MEDIA GRUP SRL,594
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,577
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,569
112571523480822,Un Om Presedinte,Deep Knowledge,539
1769713886444816,Râsu Plânsu,Râsu Plânsu,538
196347590385196,NewsGroup.biz,News-Group.biz,516
127470942102252,PRO România Budești,"RMT Performance Media pentru Pro România, filiala Călărași, COD MFC 21200010",511
123526378261795,Stiri Locale,Stiri Locale,505
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,485
227922987222524,Calin Popescu Tariceanu,ALDE,476
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,457
109767767495169,Răducu Valentin,Raducu Valentin,445
110322730625736,Alianța pentru Unirea Românilor Giurgiu,Simion George-Nicolae,435
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,401
111557897298537,Ciprian Alexandru,USR PLUS Giurgiu,400
150967671609795,Victor Ponta,PRO România,397
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,385
229018111820643,Pana Gabriel,These ads ran without a disclaimer,381
1981456161950491,PSD ILFOV,Partidul Social Democrat - Organizatia Ilfov,381
1933828876850844,Sondaje România,Sondaje.net,377
180167272027251,B1.ro,B1.ro,368
226332902126540,NewsSpot,News Spot,351
104339127576831,Ziareazi.ro,ziareazi.ro,346
163943696987223,Ziarul Puterea,Ziarul Puterea,345
188960694893155,Cristina Elena Dinu,Partidul Social Democrat,344
1566276376993897,Sebastian Moise,Partidul Mișcarea Populară,339
949310328493328,E5 News,E5News,336
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,333
126989852236726,PSD Crevedia Mare,LoveAds,332
127470942102252,PRO România Budești,Pro Budești,319
306758270008946,Valentin Ștefan,Valentin Ștefan,317
102610444914583,Marian Măroiu,LoveAds,314
1140001842686665,Petre Florin Manole,Partidul Social Democrat,309
1406775682961139,PSD Giurgiu,LoveAds,303
105542597610956,Maroiu Marian,Marian Maroiu,300
304735519648377,Guvernul României,Crucea Rosie Romana,298
220579784732993,Daniel Buda,Buda Daniel,294
731035500293728,Siegfried Muresan,Siegfried Muresan,290
654183651296677,Mircea Diaconu,Alianta UN OM,277
309477135842532,Marian Mina,Partidul Social Democrat Giurgiu,258
318417928527284,Lucian N. Romascanu,Partidul Social Democrat,252
1067345076777717,GazetaRomana,Gazeta Romana,252
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,246
554865607867049,Visinel Balan,Visinel Costel Balan,244
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,240
117682741602835,Online Report,Online Report,236
1765287270375766,USR Giurgiu,USR PLUS Giurgiu,236
243027859216579,Alfred Simonis,Partidul Social Democrat,235
505785196105852,Florian Bodog,Partidul Social Democrat,235
100697461888718,Nicolae Ivășchescu,Market Foto,233
109926607089436,"Ciocoii noi, tot vechi",Ciocoii vechi tot noi,233
591077984699308,Cazinouri Legale,These ads ran without a disclaimer,226
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,225
362877977521642,Partidul Neamul Romanesc,Peia Ninel,216
1903580739951981,PLUS,PLUS,209
861298414218171,PNL Bolintin Vale,Florin-Valentin Ștefan,207
293215748279337,România fără PSD,Future Innovation,206
799949990211564,Ramona Ioana Bruynseels,These ads ran without a disclaimer,203
238161130013060,PNL Giurgiu,Dana Andreea Danciu,200
399782660185699,OK Medical,OK Medical,199
2177244962290894,PRO România,PRO România,196
182546041796641,Costel Alexe,Partidul Naţional Liberal,196
605193680138383,Marius Cristache,Mihaela Petrache,184
356331945441602,Nu te lăsa dusă,Andra Anastasia Alexa,182
1124969754204182,Jurnal365.ro,Dan Negrescu,181
1653726584879481,Mihai Fifor,Partidul Social Democrat,181
101571144752188,Ștefan Gica,These ads ran without a disclaimer,180
104554531446339,Alina Meclea,PNL Giurgiu,179
101322554583643,Ciuma Roșie,Ciuma Roșie,178
181375448581167,Partidul Naţional Liberal,Future Innovation,175
1124969754204182,Jurnal365.ro,These ads ran without a disclaimer,173
170623543081668,Adrian Oros,Nechita-Adrian Oros,171
309477135842532,Marian Mina,Partidul Social Democrat,171
107543802616247,Dacian Cioloş,PLUS,169
554865607867049,Visinel Balan,susținătorii lui Vișinel,167
272370502030,Comisia Europeană în România,Reprezentanța Comisiei Europene în România,166
103901018050302,Badea Marius Rivera - Primar,Badea Marius Rivera,163
581911828514783,Partidul Mișcarea Populară,Partidul Mișcarea Populară,158
364446500390294,Ilan Laufer,Ilan Laufer,156
306758270008946,Valentin Ștefan,Florin-Valentin Ștefan,156
138896782840976,Biroul Parlamentului European în România,"Parlamentul European, Biroul de Informare în Romania",154
1094773083945512,Claudiu Nasui,NASUI CLAUDIU-IULIUS-GAVRIL,153
1128229287275038,Silvia Dinică,Silvia Dinică,152
1875528839348774,Dragoș Pîslaru,Dragoș Pîslaru,151
501922796520976,Recolamp,Recolamp,151
331684627269316,Danciu Dana Andreea,Dana Andreea Danciu,149
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,148
163950740830769,Gaz De Romania,Gaz De Romania,145
227922987222524,Calin Popescu Tariceanu,EvolveDreamSoft,144
574372066308729,Basism,Grupul de Investigatii Politice,144
222499971192446,VictorDragusin,SC FX NET MEDIA GRUP SRL,143
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,139
106567494534328,Constantin Carapanceanu,Adrian Stoian,138
114685395289559,Andreea Talmazan,Andreea-Cristina Talmazan,136
1469610256621123,PNL Dambovita,Advertising AD Connect,136
150967671609795,Victor Ponta,Partidul PRO România București,135
1317563728271610,Ioana Constantin,Partidul Mișcarea Populară,135
339365506708219,Departamentul pentru Agricultură și Dezvoltare Rurală al PSD,Partidul Social Democrat,134
292847028010932,Aresel,Tudor Adrian,128
829456037164932,Adrian Gabriel Pintilie,Florin-Valentin Ștefan,127
107898832590939,European Commission,These ads ran without a disclaimer,122
118156068240867,CEL.ro,CEL.ro,121
433179246802682,Consiliul Investitorilor Străini - FIC,Consiliul Investitorilor Străini - FIC,120
1769713886444816,Râsu Plânsu,These ads ran without a disclaimer,120
547015548766551,PNL Teleorman,Partidul Național Liberal Teleorman,120
621574984950400,Alianța USR PLUS,These ads ran without a disclaimer,118
126989852236726,PSD Crevedia Mare,PSD Giurgiu,117
360184320712594,Raluca Turcan,PNL Sibiu,117
144830532755824,PRO România București,PRO Romania Bucuresti,116
144439666313596,Știri 365,Știri 365,114
208455526258094,Radu Preda,Partidul Social Democrat,110
1572019133014738,Gabriel Toncean,Gabriel Toncean,109
261202277284497,Theodor Paleologu,Partidul Mișcarea Populară,109
143378845861681,PNL Mures,PNL Mures,109
1653726584879481,Mihai Fifor,These ads ran without a disclaimer,109
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,107
428923027871330,Consiliul Național PSD,Partidul Social Democrat,107
527020927771683,USR Joita,USR PLUS Joița,106
1938045996436420,Giurgiu-acid.ro,These ads ran without a disclaimer,105
230785173665770,Nicușor Dan,Partidul Național Liberal,104
1430960217162185,Alfred Laurentiu Mihai,Partidul Social Democrat - Organizatia Ilfov,≤100
111557897298537,Ciprian Alexandru,USR Giurgiu,≤100
2449445505071289,SanoPass,Ovidiu Tănase,≤100
1094773083945512,Claudiu Nasui,Uniunea Salvati Romania,≤100
111049194090703,Prea mult si niciodata destul,Books Lead SRL,≤100
165452684079944,Sătui,IOANITA MARIN-IOANA,≤100
199635566715473,Claudiu Manda,Partidul Social Democrat,≤100
138896782840976,Biroul Parlamentului European în România,Biroul Parlamentului European în România,≤100
1469610256621123,PNL Dambovita,PNL Dambovita,≤100
2443020582586584,Romania Eficienta,Romania Eficienta,≤100
602280189818804,Mihai Goţiu,These ads ran without a disclaimer,≤100
256383721668316,Fonduri Europene,These ads ran without a disclaimer,≤100
188485217832992,NewsFalcon,NewsFalcon,≤100
112332998808842,Cristian Bușoi,Rus Alexandra,≤100
103445844473825,Alianța pentru Unirea Românilor - AUR,Simion George-Nicolae,≤100
597665030407862,Demos,Demos,≤100
360184320712594,Raluca Turcan,Partidul Naţional Liberal,≤100
118745168285753,Marian Pavel,Marian Pavel,≤100
104089527810808,Giurgiu 2020,These ads ran without a disclaimer,≤100
547015548766551,PNL Teleorman,K-Soft,≤100
296173713739483,Partidul Ecologist Roman,Silviu Rus,≤100
1572019133014738,Gabriel Toncean,PNL Mures,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
1156150484398630,MozaiQ,MozaiQ,≤100
201920416986321,EM360 Studio,EM360 cu Adi Maniutiu,≤100
291177524360702,Partidul Social Democrat,These ads ran without a disclaimer,≤100
125895557433232,evz.ro,evz.ro,≤100
103445844473825,Alianța pentru Unirea Românilor - AUR,DGI Multimedia Design SRL,≤100
230785173665770,Nicușor Dan,Nicușor Dan,≤100
361235817223309,Traian Băsescu,Partidul Miscarea Populara Bucureşti,≤100
770704223323599,Dezvoltăm România,These ads ran without a disclaimer,≤100
624376714433486,Trezirea Spirituala,These ads ran without a disclaimer,≤100
112651657181398,Zi de zi,Zidezi,≤100
1877390129210103,Demis Rusu,Rusu Demis,≤100
102352978338289,Refinanteaza.ro,REFINANTEAZA RO,≤100
112100560704412,Alexandru David Burghiu,Partidul Social Democrat - Organizatia Ilfov,≤100
1272603089536010,Compatibilitate.ro,These ads ran without a disclaimer,≤100
2212856535602171,George Simion,George Simion,≤100
939093039450192,PS News,PS News,≤100
310237936506449,PNL Ogrezeni,These ads ran without a disclaimer,≤100
1641765056062575,Virgil Popescu,POPESCU VIRGIL-DANIEL,≤100
1723168864595732,Gabriel Oprea,Gabriel Oprea,≤100
281341562263123,Cristina Prună,PRUNA CRISTINA-MADALINA,≤100
1393858224186762,Novahouse.ro,These ads ran without a disclaimer,≤100
1572019133014738,Gabriel Toncean,These ads ran without a disclaimer,≤100
602280189818804,Mihai Goţiu,Partidul Uniunea Salvati Romania,≤100
840140639407583,Eugen Pîrvulescu,Eugen Pîrvulescu,≤100
364996840328403,Asociația Liga Albanezilor din România,ALAR,≤100
168243139877442,BZI,BZI,≤100
164390367008767,PNL Sibiu,PNL Sibiu,≤100
522518014611632,Andrei Pop,Andrei Pop,≤100
1058116737612843,Uniunea Salvați România - USR,These ads ran without a disclaimer,≤100
227922987222524,Calin Popescu Tariceanu,These ads ran without a disclaimer,≤100
153410991395492,Dr Adina Alberts,Cristiana-Gabriela Telea,≤100
795022763862618,Viorel Cataramă,Viorel Catarama,≤100
488333077924354,Expresspress,ExpressPress.ro,≤100
1852364238326923,Laura-Iuliana Scântei,PNL IASI,≤100
181375448581167,Partidul Naţional Liberal,These ads ran without a disclaimer,≤100
179933162500602,Toma Petcu,These ads ran without a disclaimer,≤100
1765287270375766,USR Giurgiu,USR Giurgiu,≤100
123745931793119,Informează-te,These ads ran without a disclaimer,≤100
1719567741620517,România Politică,These ads ran without a disclaimer,≤100
113801786691411,Finantarea Ideilor de Afaceri Romanesti,These ads ran without a disclaimer,≤100
735622696818349,PSD Dâmbovița,Teinet Agency SRL,≤100
339365506708219,Departamentul pentru Agricultură și Dezvoltare Rurală al PSD,These ads ran without a disclaimer,≤100
965141730341598,Alternativa pentru Demnitate Națională  - ADN,Alternativa pentru Demnitate Nationala - ADN,≤100
1698496200468482,Constantin Codreanu,These ads ran without a disclaimer,≤100
1852364238326923,Laura-Iuliana Scântei,Laura-Iuliana Scântei,≤100
148993498505135,PNL Prahova,PNL Prahova,≤100
505785196105852,Florian Bodog,Tild Consulting SRL,≤100
108435500528263,Robert Sirbu,These ads ran without a disclaimer,≤100
293705614001972,Ileana Cristina Dumitrache,PSD Constanta CMF 11200020,≤100
236992636715917,Simona Maria Vlădica,Amerisoft,≤100
129099573815915,TeamDeals,These ads ran without a disclaimer,≤100
919353428122457,Noua Românie - PNR,Noua Românie - PNR,≤100
418397358314460,Dosar de Politician,Silviu Mănăstire,≤100
2365342553558020,Daniel Ionașcu,Partidul Puterii Umaniste - Social Liberal,≤100
104339127576831,Ziareazi.ro,These ads ran without a disclaimer,≤100
1785666108373699,Calota Samuel,ALDE Teleorman,≤100
418397358314460,Dosar de Politician,Popescu Cristian,≤100
1477795509184760,PNL Călăraşi,Partidul Național Liberal Călărași,≤100
168916269806778,ING Romania,These ads ran without a disclaimer,≤100
175293925828191,Kelemen Hunor,RMDSZ,≤100
102381444684119,Alianța USR PLUS Călărași,Alianța USR PLUS Călărași,≤100
227578001357165,Ionel Dancă,Partidul Naţional Liberal,≤100
377838292845619,Cherish Humanity,Cherish Humanity,≤100
279454772645662,Nicu Ștefănuță,Uniunea Salvați România - USR,≤100
329619180721358,Cosette Chichirău,Chichirau Cosette-Paula,≤100
106302366059916,Salvati Copiii Romania,Salvati Copiii Romania,≤100
128462147222633,Radio Fx Net,Radio Fx Net,≤100
103165374637864,USR Săbăreni,USR PLUS Săbăreni,≤100
701269053385884,Stiri Romania,These ads ran without a disclaimer,≤100
974813549393219,USR Ulmi,USR Giurgiu,≤100
1698496200468482,Constantin Codreanu,Constantin Codreanu,≤100
440713319814525,Petre Anghel,Adrian Frasineanu,≤100
501241386727395,Radu Nicolescu,Radu Nicolescu,≤100
1818721128360253,Enel Group,These ads ran without a disclaimer,≤100
412473149183859,PSD Judetul Constanta,PSD Judetul Constanta,≤100
108171930863714,Razvan Cuc,Razvan Cuc,≤100
389526374826372,Cadouri de hartie veche,These ads ran without a disclaimer,≤100
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,≤100
111683990314101,Aleph News,Aleph News,≤100
293059364228212,TEMI News,These ads ran without a disclaimer,≤100
293215748279337,România fără PSD,These ads ran without a disclaimer,≤100
678840505584990,PNL Bucuresti,Partidul Naţional Liberal,≤100
302902656782475,Cristian Ghica,Cristian Ghica,≤100
131027970242795,Capital România,Capital România,≤100
509479962851716,Alexandru Kocsis,Romanii trebuie sa stie,≤100
246710742436892,Oana Stanciulescu,Oana Stanciulescu,≤100
227922987222524,Calin Popescu Tariceanu,ALDE - Partidul Alianta Liberalilor si Democratilor,≤100
581911828514783,Partidul Mișcarea Populară,Amerisoft,≤100
246448218839873,Senary,These ads ran without a disclaimer,≤100
1377112229231597,PSD Sector 3,PSD Sector 3,≤100
183087692172986,Raluca Amariei,USR Sibiu,≤100
101050491593899,Mihai Birsan,Mihai Birsan,≤100
104975117567190,Toma Corunt,These ads ran without a disclaimer,≤100
192365285011395,Si eu reusesc,A.L.E.G.,≤100
109849657256655,60m.RO,60m.RO,≤100
131803574328367,MedLife România,These ads ran without a disclaimer,≤100
1881461575305499,Dreapta Liberală - DL,Dreapta Liberala,≤100
207255636351408,Dan Barna,These ads ran without a disclaimer,≤100
1551100608459864,Cristina Traila,Cristina Traila,≤100
108723169291363,Daniel Suciu,PSD BN,≤100
376808162779895,Marius Tudor,Marius Tudor,≤100
1794842367460623,Super Cazino,These ads ran without a disclaimer,≤100
400988753344239,Europolitics,Vlad Epurescu,≤100
1641186165993507,USR Ogrezeni,USR PLUS Ogrezeni,≤100
101653435035099,Cristian Chirnogeanu,PSD Giurgiu,≤100
2374762896143780,H2O srl reducere carburant,These ads ran without a disclaimer,≤100
108818130851166,Andrei Lupu,PLUS Prahova,≤100
282004838539253,JUST Ideas SRL,JUST Ideas SRL,≤100
644108472676492,Violeta Alexandru,PNL Filiala București,≤100
121265151226126,Norica Nicolai,Increase Digital,≤100
104287204865240,Ionut Popescu,Cristiana-Gabriela Telea,≤100
141366725876424,European Greens,European Greens,≤100
1140001842686665,Petre Florin Manole,Petre Florin Manole,≤100
1668078800161073,Alexandru Gâdiuță,Uniunea Salvati Romania Sector 6,≤100
415165838654554,Dan Tudorache,Dan Tudorache,≤100
1498149113813076,Florin Cîţu,PNL Filiala București,≤100
421280451283707,PNL Sector 3,PNL Sector 3,≤100
418397358314460,Dosar de Politician,These ads ran without a disclaimer,≤100
106999577535559,Pentru o Dunare cu apele curate,Cismart Engines,≤100
612708488926063,PNT Maniu-Mihalache,Partidul Naţional Ţărănesc - Maniu Mihalache,≤100
257393234343076,Adrian Țuțuianu,Adrian Țuțuianu by Pro România Dâmbovița,≤100
107472810795416,Partidul Verde București-Ilfov,Partidul Verde,≤100
131238253608762,ROM Autentic,ROM Autentic,≤100
