Page ID,Page Name,Disclaimer,Amount Spent (RON)
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,43195
291177524360702,Partidul Social Democrat,Partidul Social Democrat,36134
100388498419647,Iulian Popescu,Iulian-Vasile Popescu,29673
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,26131
100580925140105,Ion Iordache,PNL Gorj,25038
108304090952938,Mihai Weber,PSD Gorj,22600
178362315106,European Parliament,European Parliament,22020
715786165255092,Dan Vîlceanu,PNL Gorj,20380
348610102203573,Radu Miruţă,Partidul Uniunea Salvati Romania,13363
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,11485
107898832590939,European Commission,European Commission,10365
107142924262559,Ciprian Adrian Florescu,Partidul Social Democrat,10312
390641151143176,Partidul Național Liberal Gorj,PNL Gorj,10156
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,9846
104004391416791,Partidul Verde Targu Jiu,Partidul Verde,9829
104289124691945,Cosmin Mihai Popescu,PSD,9590
207255636351408,Dan Barna,Uniunea Salvați România - USR,8814
208847039653490,Marcel Laurentiu Romanescu,PNL Gorj,8674
390641151143176,Partidul Național Liberal Gorj,Partidul Naţional Liberal,8614
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,8609
102073575020303,Corneliu Răducan-Morega,Uniunea Salvați România - USR,8402
113059893868435,Adrian Tudor - Primar Târgu Jiu,Partidul Verde,7900
176989973158138,Guvernare.net,Guvernare.net,7388
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,7264
2546711162025064,Politice.net,politice.net,6344
149371012371397,Newsweek Romania,Newsweek Romania,6090
1504323906337545,Litere.net,litere.net,5528
979274598853221,USR Gorj,Uniunea Salvați România,5399
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,4987
407771285929025,PSD Gorj,PSD Gorj,4962
100643244745397,Adrian Zorlescu,Adrian Zorlescu,4771
112664490103704,Salvăm România,Salvăm România,4646
1100459663338217,News.ro,News.ro,4355
181375448581167,Partidul Naţional Liberal,Future Innovation,4257
426258891454996,Gheorghe Pecingina,PNL Gorj,4100
445242878916307,Readlog,Readlog News,3941
106579500780864,Alexandru Baicu Ciudin,Alexandru Baicu-Ciudin,3722
1514001565566589,Robert Dorin Filip,Robert Dorin Filip,3638
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,3175
108304090952938,Mihai Weber,PSD GORJ,2908
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,2855
2177244962290894,PRO România,Networld IT&C SRL,2837
115223543730170,Ludovic Orban,Partidul Naţional Liberal,2810
110339030715952,Marian Rotaru,Cruceru Bogdan Adrian,2791
346815952186277,PNL Targu Jiu,Partidul Național Liberal Gorj,2760
123526378261795,Stiri Locale,Stiri Locale,2753
291132089193,Greenpeace Romania,Greenpeace Romania,2496
770704223323599,Dezvoltăm România,Future Innovation,2461
178362315106,European Parliament,These ads ran without a disclaimer,2457
102073575020303,Corneliu Răducan-Morega,Partidul Uniunea Salvati Romania,2449
795022763862618,Viorel Cataramă,Dreapta Liberala,2431
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,2268
208455526258094,Radu Preda,Partidul Social Democrat,2249
101772281433779,ADN Târgu-Jiu,Ivanisi Nicolae,2227
101751808348352,Verzii - Partidul Verde Gorj,Partidul Verde,2129
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,2117
321224935125065,ADN Gorj,Ivanisi Nicolae,2116
1769713886444816,Râsu Plânsu,Râsu Plânsu,2097
112033797250129,Tinerii Verzi Gorj,Partidul Verde,2091
1103784383043460,Şarapatin Silviu Florin,PLUS Gorj,1961
100497618476273,Adrian Tudor - Renașterea Orașului,Partidul Verde,1863
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,1830
100388498419647,Iulian Popescu,PNL Gorj,1785
106475591205777,Nicolae Muja,ALDE,1781
1748542902045851,Nicolae Davitoiu,Cruceru Bogdan Adrian,1712
227922987222524,Calin Popescu Tariceanu,ALDE,1667
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,1663
112571523480822,Un Om Presedinte,Deep Knowledge,1627
348610102203573,Radu Miruţă,MIRUTA RADU-DINEL,1549
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,1529
1482659418718823,Kaufland Romania Cariere,These ads ran without a disclaimer,1492
949310328493328,E5 News,E5News,1491
102025778125741,Robert Cazanciuc,Partidul Social Democrat,1422
293215748279337,România fără PSD,Future Innovation,1411
1933828876850844,Sondaje România,Sondaje.net,1345
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,1318
252218321561994,Lia Olguta Vasilescu,PSD Dolj,1306
631072250420945,Gheorghe Caralicea,Alin-Alexandru Caralicea,1255
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1250
101634208371624,Cătălin Stolojanu,Partidul Ecologist Roman,1224
180167272027251,B1.ro,B1.ro,1215
1748542902045851,Nicolae Davitoiu,Nicu Davitoiu,1200
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,1146
686190454826244,Declic,Declic,1128
206739243020505,Aladin Georgescu,MEHEDINTIUL MEU,1127
150967671609795,Victor Ponta,PRO România,1117
220579784732993,Daniel Buda,Buda Daniel,1081
108912420833522,Eduard Koler,Partidul Mișcarea Populară - Filiala Mehedinți,1060
654183651296677,Mircea Diaconu,Alianta UN OM,1059
105064871263914,Prunariu Mihai-Octavian,Mihai Prunariu,1030
100580925140105,Ion Iordache,Partidul National Liberal,1020
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,1012
731035500293728,Siegfried Muresan,Siegfried Muresan,996
104339127576831,Ziareazi.ro,ziareazi.ro,989
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,967
117682741602835,Online Report,Online Report,938
304735519648377,Guvernul României,Crucea Rosie Romana,935
103445844473825,Alianța pentru Unirea Românilor - AUR,DGI Multimedia Design SRL,887
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,870
108304090952938,Mihai Weber,Mihai Weber,821
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,820
2177244962290894,PRO România,PRO România,820
505785196105852,Florian Bodog,Partidul Social Democrat,817
362877977521642,Partidul Neamul Romanesc,Peia Ninel,808
108522567553088,Ivăniși Nicolae - Ivan,Ivanisi Nicolae,798
530758214079542,PLUS Gorj,"Partidul Libertate, Unitate și Solidaritate",793
151853698991090,Partidul Gorjenilor,These ads ran without a disclaimer,791
101322554583643,Ciuma Roșie,Ciuma Roșie,785
243027859216579,Alfred Simonis,Partidul Social Democrat,773
108493927636128,Ioana Radescu,PLUS,755
182546041796641,Costel Alexe,Partidul Naţional Liberal,728
799949990211564,Ramona Ioana Bruynseels,These ads ran without a disclaimer,662
1514001565566589,Robert Dorin Filip,Partidul Național Liberal Gorj,658
