Page ID,Page Name,Disclaimer,Amount Spent (RON)
102601499822802,RMDSZ,RMDSZ,49502
215328865181171,Borboly Csaba,Borboly Csaba,29270
291177524360702,Partidul Social Democrat,Partidul Social Democrat,28801
175293925828191,Kelemen Hunor,RMDSZ,28566
178362315106,European Parliament,European Parliament,25127
215328865181171,Borboly Csaba,RMDSZ Csíki Területi Szervezet,23067
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,21663
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,18488
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Néppárt,8299
107898832590939,European Commission,European Commission,8239
490181697757865,Antal Lóránt,Antal Lóránt,7992
1393479774271495,PNL Harghita,PNL Harghita,7383
207255636351408,Dan Barna,Uniunea Salvați România - USR,7205
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,7016
1146730505350543,Korodi Attila,Korodi Attila,6741
2229168487164126,Csíkország,Csíkország,6088
1015419501819793,Rmdsz Csíki Területi Szervezet,Rmdsz Csíki Területi Szervezet,6013
101115688160491,Derzsi László,Székelyudvarhelyi RMDSZ,5600
914844108622470,Tánczos Barna,RMDSZ Csíki Területi Szervezet,5567
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,5482
675042232534141,Vincze Loránt,Vincze Loránt,5377
176989973158138,Guvernare.net,Guvernare.net,5154
278318719032543,Barti Tihamér,Barti Tihamér,4968
1061565310537770,Székelyudvarhelyi RMDSZ,Székelyudvarhelyi RMDSZ,4925
1004811666340032,"1000 év Erdélyben, 100 év Romániában","1000 év Erdélyben, 100 év Romániában",4910
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Szövetség,4901
143378845861681,PNL Mures,PNL Mures,4869
2546711162025064,Politice.net,politice.net,4307
1504323906337545,Litere.net,litere.net,4300
149371012371397,Newsweek Romania,Newsweek Romania,4220
111281564109712,Zakariás Zoltán,TT Research & Communications,4123
102220615037058,Hajdu Gábor,RMDSZ Csíki Területi Szervezet,4075
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,4011
1146730505350543,Korodi Attila,Rmdsz Csíki Területi Szervezet,3657
533320340351600,Nagy Zoltán,Erdélyi Magyar Szövetség,3510
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,3434
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,3238
490181697757865,Antal Lóránt,Diversity Advertising,3181
410019949163904,Mezei János,Erdélyi Magyar Szövetség,3153
326662724063884,Erdélyi Magyar Szövetség Csíkszereda,Erdélyi Magyar Szövetség,3102
445242878916307,Readlog,Readlog News,3037
100673161765591,Rafai Emil,Rafai Emil,2975
105512354552549,Tőke Ervin,Erdélyi Magyar Szövetség,2973
161680180638083,"PMP Harghita, România",Partidul Mișcarea Populară Harghita,2900
106978424226695,Előválasztás Csíkszereda 2020,Előválasztás Csíkszereda 2020,2725
181375448581167,Partidul Naţional Liberal,Future Innovation,2632
1015419501819793,Rmdsz Csíki Területi Szervezet,RMDSZ Csíki Területi Szervezet,2623
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,2468
115223543730170,Ludovic Orban,Partidul Naţional Liberal,2312
770704223323599,Dezvoltăm România,Future Innovation,2306
112664490103704,Salvăm România,Salvăm România,2277
188113901227053,Maszol.ro,Maszol.ro,2267
1612503615709884,Dr. Vass Levente,Dr. Vass Levente,2191
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,2078
364457997442201,Iskola Alapítvány,Iskola Alapítvány,2050
1195604040605186,PLUS Harghita,PLUS,1999
103187271596022,Ladányi László Zsolt,Udvarhelyszéki RMDSZ,1876
102474534637700,Erdélyi Magyar Szövetség,Erdélyi Magyar szövetség,1874
