Page ID,Page Name,Disclaimer,Amount Spent (RON)
1632266380355345,Victor Moraru,Victor Moraru - Pro Romania,33404
451834231541982,Luminita Barcari,Arthur and Regents,33044
291177524360702,Partidul Social Democrat,Partidul Social Democrat,22595
118745168285753,Marian Pavel,PSD Ialomița,22318
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,20022
104101554409311,Robert Viorel Chioveanu,Arthur and Regents,16064
254116508082535,Marian Neacșu,Marian Neacsu - Pro Romania,15260
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,13061
178362315106,European Parliament,European Parliament,12886
1632266380355345,Victor Moraru,Victor Moraru,12313
106822884312299,Alexandru POTOR şi echipa pentru Slobozia,PSD Ialomița,10617
375782699694430,USR Ialomița,USR Ialomița,10081
451834231541982,Luminita Barcari,Partidul Național Liberal,7681
100595498416058,Horhocea Alexandru,Partidul Uniunea Salvati Romania,7639
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,5568
207255636351408,Dan Barna,Uniunea Salvați România - USR,5550
107898832590939,European Commission,European Commission,5441
1419508218348456,Dragos Soare,Partidul National Liberal,5242
100758845026602,Adrian Nicolae Mocioniu,Adrian Mocioniu - Pro Romania,4905
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,4865
101383021668558,Oana Martinescu,PSD Ialomița,4717
611516016172125,Tănăsescu Mihai,Partidul Uniunea Salvati Romania,4564
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,4240
102356865024489,Stefan Tinta,ModernArtDesign SRL,4022
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,3918
514264362028436,Stefan Musoiu,ModernArtDesign SRL,3708
176989973158138,Guvernare.net,Guvernare.net,3340
1594532404143077,PNL Ialomita,Partidul Naţional Liberal,3237
1953664281530381,Ion Măiță,PSD Ialomița,3199
174494039588566,PSD Feteşti,Partidul Social Democrat,3120
2546711162025064,Politice.net,politice.net,3079
101553508438122,Raluca Giorgiana Dumitrescu,ModernArtDesign SRL,2986
1504323906337545,Litere.net,litere.net,2816
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,2770
104101554409311,Robert Viorel Chioveanu,Arthur and Regents,2413
149371012371397,Newsweek Romania,Newsweek Romania,2395
181375448581167,Partidul Naţional Liberal,Future Innovation,2372
112581887196477,Gheorghe Catrinoiu,GMC Media,2362
149669878510851,PMP Ialomița,PMP Ialomita,2291
112664490103704,Salvăm România,Salvăm România,2149
149669878510851,PMP Ialomița,Partidul Miscarea Populara - Ialomita,2134
116985723468953,Mihai Ionut,Ionut MIhai Pro Romania,1954
102381444684119,Alianța USR PLUS Călărași,Alianța USR PLUS Călărași,1868
123526378261795,Stiri Locale,Stiri Locale,1814
2149352035183661,Spînu Lucian,Spinu Lucian,1699
