Page ID,Page Name,Disclaimer,Amount Spent (RON)
1792449434342411,USR Iași,Uniunea Salvați România - USR,111112
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,108056
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,86149
329619180721358,Cosette Chichirău,Uniunea Salvați România - USR,85225
291177524360702,Partidul Social Democrat,Partidul Social Democrat,81364
182546041796641,Costel Alexe,Costel Alexe,71959
168243139877442,BZI,BZI,67967
178362315106,European Parliament,European Parliament,60850
185088338177066,PNL IASI,PNL IASI,60301
1514760912172050,Marius Bodea,USR,59055
192813847556849,Catalin Ivan,Partidul Ecologist Român,43884
329619180721358,Cosette Chichirău,Chichirau Cosette-Paula,38015
1514760912172050,Marius Bodea,Marius Bodea,36198
107898832590939,European Commission,European Commission,28183
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,27738
1877390129210103,Demis Rusu,Rusu Demis,25720
1145522045624751,Filip Havarneanu,USR Iași,25333
182546041796641,Costel Alexe,PNL IASI,24097
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,23953
1639552759657998,Petru Movila,Partidul Mişcarea Populară - Filiala Iaşi,22538
149371012371397,Newsweek Romania,Newsweek Romania,22159
123526378261795,Stiri Locale,Stiri Locale,21564
207255636351408,Dan Barna,Uniunea Salvați România - USR,21342
1852364238326923,Laura-Iuliana Scântei,PNL IASI,20694
182546041796641,Costel Alexe,Partidul Naţional Liberal,18725
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,18606
176989973158138,Guvernare.net,Guvernare.net,17868
1852885741703458,PSD Iasi,PSD Iasi,17484
108492790994313,Monica Berescu,PLUS,17210
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,17174
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,16524
185088338177066,PNL IASI,Partidul Naţional Liberal,16257
112337563729055,Lucian Rusu,PNL IASI,16063
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,15149
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,15045
561681477298135,Mihai Chirica,Mihai Chirica,14360
213084412461199,Alexandru Muraru,PNL IASI,13601
209399519151264,Liviu Brătescu,PNL IASI,12704
1504323906337545,Litere.net,litere.net,12544
1484087788544892,Pulsul Ieșean,Pulsul Iesean,11872
2546711162025064,Politice.net,politice.net,11853
291132089193,Greenpeace Romania,Greenpeace Romania,11548
211062256194413,7 IASI,7 IASI,11162
112664490103704,Salvăm România,Salvăm România,10926
102915858288308,Liviu Bulgaru,PNL IASI,10892
