Page ID,Page Name,Disclaimer,Amount Spent (RON)
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,120762
100281298230215,Alianța USR PLUS Ilfov,Partidul "Uniunea Salvați România",83266
100281298230215,Alianța USR PLUS Ilfov,"Partidul Libertate, Unitate și Solidaritate",54486
1434447230188071,Rizia Tudorache,Partidul Mișcarea Populară Ilfov,53652
603874909641104,PNL Ilfov,Partidul Național Liberal Filiala Ilfov,42591
104877291323955,Darie Ștefan,Partidul National Liberal Filiala Ilfov,29274
104218904688722,Hubert Thuma,Partidul Național Liberal,28401
678840505584990,PNL Bucuresti,PNL Filiala București,27961
103232354477058,Andrei la Primărie,Partidul "Uniunea Salvați România",23177
1238823992859020,Cornel Zainea,Cornel Zainea,20909
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,18663
103232354477058,Andrei la Primărie,USR Ilfov,18166
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,16857
1871260176434584,USR Ilfov,USR Ilfov,16469
684718025334579,Dumitru Văduva,USR Ilfov,15658
678840505584990,PNL Bucuresti,PNL Bucuresti,15491
439359429854762,USR Dobroesti,USR Ilfov,15424
107472810795416,Partidul Verde București-Ilfov,AMBI,14767
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,14564
104877291323955,Darie Ștefan,Darie Ștefan,13962
1100459663338217,News.ro,News.ro,13713
686190454826244,Declic,Declic,12794
291177524360702,Partidul Social Democrat,Partidul Social Democrat,12521
196071243914443,Partidul Miscarea Populara - ILFOV,Partidul Mișcarea Populară,10638
149371012371397,Newsweek Romania,Newsweek Romania,10570
428870461343120,Ioan Sîrbu,Partidul Pro Romania,10249
113888487183700,Carmen Silvia Badanoiu,Carmen Silvia Badanoiu,8855
144830532755824,PRO România București,PRO Romania Bucuresti,8125
100405011855388,Oana Cambera,"Partidul Libertate, Unitate și Solidaritate",7866
150967671609795,Victor Ponta,Partidul PRO România București,7810
107931867589811,Alianța USR PLUS Bragadiru,"Partidul Libertate, Unitate și Solidaritate",7262
1981456161950491,PSD ILFOV,Partidul Social Democrat - Organizatia Ilfov,6926
123526378261795,Stiri Locale,Stiri Locale,6175
1670713409845824,Vasile Cimpoeru,Partidul Național Liberal filiala Ilfov,5772
591835924352176,USR Corbeanca,USR Ilfov,5276
1430960217162185,Alfred Laurentiu Mihai,Partidul Social Democrat - Organizatia Ilfov,5165
1434447230188071,Rizia Tudorache,Partidul Mișcarea Populară,4960
662883390989320,Bogdan Cotigă,Bogdan Cotiga - Partidul Bucuresti 2020,4706
678840505584990,PNL Bucuresti,Partidul Naţional Liberal,4680
290423314363157,Dan Cristian Popescu,Dan Cristian Popescu,4416
104045741503310,Mihai Ciprian Rogojan,Partidul Mișcarea Populară Ilfov,3984
178362315106,European Parliament,European Parliament,3933
105624234677430,Liviu Dominic Dumitru,Partidul Mișcarea Populară Ilfov,3748
1573621246292589,Neacsu Alexandru,Partidul Național Liberal - Filiala Ilfov,3720
128462147222633,Radio Fx Net,Radio Fx Net,3714
246297939384755,USR Chitila,USR Ilfov,3548
108934594053646,Votez Mirela Florescu,Partidul Național Liberal - filiala Ilfov,3445
1587252738154684,PNL  Pantelimon,Partidul National Liberal - filiala Ilfov,3287
495327770646460,PNL Ştefăneştii de Jos,Partidul National Liberal - Filiala - Ilfov,3186
2449445505071289,SanoPass,Ovidiu Tănase,3179
442867569065687,Mihail Neamtu,Partidul Miscarea Populara Sector 3,3040
440713319814525,Petre Anghel,Partidul National Liberal - filiala - Ilfov,3038
230785173665770,Nicușor Dan,Partidul Național Liberal,2959
150967671609795,Victor Ponta,PRO România,2942
180167272027251,B1.ro,B1.ro,2894
110717480545916,Alianța USR PLUS Voluntari,"Partidul Libertate, Unitate și Solidaritate",2884
116936411831925,Partidul Miscarea Populara Sector 3,Partidul Miscarea Populara Sector 3,2879
105427517600971,Ciprian Teleman,"Partidul Libertate, Unitate si Solidaritate",2751
240595639605093,Niță Mihai-Sandu,PSD ILFOV,2625
1128229287275038,Silvia Dinică,Silvia Dinică,2537
107472810795416,Partidul Verde București-Ilfov,Partidul Verde,2470
334997340032935,Primăria Snagov,Arsena Catana,2459
445242878916307,Readlog,Readlog News,2353
399782660185699,OK Medical,OK Medical,2352
176989973158138,Guvernare.net,Guvernare.net,2348
2437689082973142,PNL Mogoșoaia,Partidul Național Liberal - filiala - Ilfov,2344
1381632865277955,Teodora Desagă,Partidul Mișcarea Populară,2315
415165838654554,Dan Tudorache,Dan Tudorache,2297
277599969452226,USR Periș,USR Ilfov,2294
1723168864595732,Gabriel Oprea,Gabriel Oprea,2287
108422227187190,Alianța USR PLUS Chiajna,Uniunea Salvati Romania Ilfov,2283
180205302758780,Cristian Băcanu,PNL Sector 5,2268
