Page ID,Page Name,Disclaimer,Amount Spent (RON)
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,32019
107679567729218,Ion Cupă,PMP Severin,27645
291177524360702,Partidul Social Democrat,Partidul Social Democrat,25317
1641765056062575,Virgil Popescu,11 PLUS,23729
107104984125855,Ramona Cupă președinte PMP Mehedinți,PMP Severin,20790
799686396757468,PNL Mehedinti,11 PLUS,19513
1763484467225604,USR Mehedinți,Uniunea Salvați România,17199
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,15769
178362315106,European Parliament,European Parliament,14379
560043047405849,MEHEDINTIUL MEU,MEHEDINTIUL MEU,13081
108912420833522,Eduard Koler,Partidul Mișcarea Populară - Filiala Mehedinți,10940
160584494122619,Daniel Cîrjan,Daniel Cîrjan,10424
160584494122619,Daniel Cîrjan,11 PLUS,10153
105980177650805,Ștefănescu Laurențiu Costin,Uniunea Salvați România,8940
102817974672439,Elena Călin,Elena Călin USR PLUS,8447
487181618120455,PSD Mehedinti,MEHEDINTIUL MEU,8362
1408452646080627,Marius Screciu,SCRECIU MARIUS-VASILE,8138
101773278158392,Drobeta Turnu Severin - Știri,MINCULEASA CLAUDIU-NICOLAE,7580
114502256924413,Cristinel Pavel,11 PLUS,7503
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,7420
418794491628844,Ionuț Sibinescu,Sibinescu Ionut,7083
1495325877405375,Constantin Gherghe,Constantin Gherghe,7062
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,7050
101638194791499,Constantin Popescu,Popescu Constantin,6648
325574608291302,Chirilă Alin,MEHEDINTIUL MEU,6546
107898832590939,European Commission,European Commission,6518
100730011789747,Minculeasa Claudiu,MINCULEASA CLAUDIU-NICOLAE,6501
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,6464
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,5970
1440105136311907,ALDE Mehedinti,Gabriela Ciupagea,5817
1408452646080627,Marius Screciu,MEHEDINTIUL MEU,5663
207255636351408,Dan Barna,Uniunea Salvați România - USR,5598
559977200816313,MH TIMES,MINCULEASA CLAUDIU-NICOLAE,5431
149371012371397,Newsweek Romania,Newsweek Romania,5048
105005344195753,Stela Firu,11 PLUS,4847
176989973158138,Guvernare.net,Guvernare.net,4799
1641765056062575,Virgil Popescu,POPESCU VIRGIL-DANIEL,4732
1107397012689947,Liviu Mazilu,MEHEDINTIUL MEU,4713
2546711162025064,Politice.net,politice.net,4296
1967379876863917,USR Drobeta Turnu Severin,Uniunea Salvați România,4184
206739243020505,Aladin Georgescu,MEHEDINTIUL MEU,4071
1504323906337545,Litere.net,litere.net,3585
107617090778783,Folescu Cornel,MEHEDINTIUL MEU,3550
112664490103704,Salvăm România,Salvăm România,3508
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,3270
181375448581167,Partidul Naţional Liberal,Future Innovation,3085
102817974672439,Elena Călin,Elena Călin,3033
110020150462075,Severin Online,Alexandru-Adrian Secetă,2695
799686396757468,PNL Mehedinti,MINCULEASA CLAUDIU-NICOLAE,2576
799686396757468,PNL Mehedinti,Partidul Naţional Liberal,2472
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,2163
