Page ID,Page Name,Disclaimer,Amount Spent (RON)
309525925854654,Cristian Chirteș,Cristian Chirtes,63074
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,61981
291177524360702,Partidul Social Democrat,Partidul Social Democrat,59336
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,56861
143378845861681,PNL Mures,PNL Mures,52649
435614816576664,Claudiu Maior,PRO România Mureș,51503
712580168875913,Soós Zoltán,Soós Zoltán,51150
178362315106,European Parliament,European Parliament,46485
1839598436128267,PRO România Mureș,PRO România Mureș,37289
102601499822802,RMDSZ,RMDSZ,36897
309525925854654,Cristian Chirteș,PNL Mures,33813
110690456994830,Theodora Benedek,Partidul Național Liberal,28915
220261894740674,Calin Buzgau,PRO România Mureș,23643
108906777608808,Dumitrița GLIGA,Partidul Social Democrat filiala Mureș,22264
823974271010617,POL - Târgu Mureș Marosvásárhely,Partidul Oamenilor Liberi,21417
175293925828191,Kelemen Hunor,RMDSZ,20243
151241544943262,"RMDSZ, Maros megyei szervezet",RMDSZ Maros Megye,18933
107898832590939,European Commission,European Commission,17902
1572019133014738,Gabriel Toncean,Gabriel Toncean,16924
104477911460614,Adrian Giurgiu,Partidul Uniunea Salvati Romania,15557
1572019133014738,Gabriel Toncean,PNL Mures,15498
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,15451
110690456994830,Theodora Benedek,Theodora Benedek,14916
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,14351
207255636351408,Dan Barna,Uniunea Salvați România - USR,13881
101367038230868,Traian Bendorfean - #apărmureșul,Bendorfean Traian,11881
102214803157649,Mures.ro,Mures.ro,11220
1406450186275233,Péter Ferenc,RMDSZ Maros Megye,11120
770704223323599,Dezvoltăm România,Future Innovation,10881
258115384303163,Dorin Florea,Dorin Florea,10704
149371012371397,Newsweek Romania,Newsweek Romania,10290
1724781964475116,Lavinia Cosma,Partidul Verde,10255
1698313903770393,Ervin Molnar,Molnar Ervin,10208
176989973158138,Guvernare.net,Guvernare.net,9915
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,9911
401741783276003,Marius Pașcan,Partidul Miscarea Populara,9461
181375448581167,Partidul Naţional Liberal,Future Innovation,8661
2546711162025064,Politice.net,politice.net,8269
104018874827668,Irina Sorescu-Vasile,PLUS Mureș,8143
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,7957
1504323906337545,Litere.net,litere.net,7860
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,7777
541241032586995,"RMDSZ, Marosvásárhely",RMDSZ Maros megye,7166
1406450186275233,Péter Ferenc,Péter Ferenc,6856
2435099589895767,USR Târgu-Mureș,Partidul Uniunea Salvati Romania,6608
1612503615709884,Dr. Vass Levente,Dr. Vass Levente,6579
435614816576664,Claudiu Maior,MAIOR SERGIU-CLAUDIU,6556
107646484502110,PMP Mureș - Mișcăm România,Andrei Bulat,6130
1100459663338217,News.ro,News.ro,5990
112664490103704,Salvăm România,Salvăm România,5962
401741783276003,Marius Pașcan,BCD VIDEO SOUND SRL,5916
108906777608808,Dumitrița GLIGA,Patidul Social Democrat filiala Mureș,5575
675042232534141,Vincze Loránt,Vincze Loránt,5558
1724781964475116,Lavinia Cosma,Deputat Lavinia Cosma,5433
111405787424727,Lucia Hang,Partidul Uniunea Salvati Romania,5306
445242878916307,Readlog,Readlog News,5207
291132089193,Greenpeace Romania,Greenpeace Romania,4985
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Néppárt,4979
105394038051425,Leonard Azamfirei,Partidul Social Democrat filiala Mureș,4744
1698313903770393,Ervin Molnar,PNL Mures,4724
102297941288205,Márk Endre,RMDSZ Maros megye,4508
178362315106,European Parliament,These ads ran without a disclaimer,4470
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,4291
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,4181
796429634022708,USR Reghin,Partidul Uniunea Salvati Romania,4169
1285037351672545,Ovidiu Mălăncrăvean,Ovidiu Mălăncrăvean,3886
115223543730170,Ludovic Orban,Partidul Naţional Liberal,3867
164390367008767,PNL Sibiu,PNL Sibiu,3861
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,3775
123526378261795,Stiri Locale,Stiri Locale,3761
109257797155969,Apartamente Târgu Mureș - Maurer Residence,Ciornei Vasile,3715
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Szövetség,3592
443565785709559,OpenPolitics,Median Research Centre,3544
107543802616247,Dacian Cioloş,PLUS,3535
110699807209747,Horea Șarlea,Sarlea Horea,3318
220261894740674,Calin Buzgau,BUZGAU ADRIAN-CALIN,3270
102025778125741,Robert Cazanciuc,Partidul Social Democrat,3233
103107761507856,Viorel Bubau,Viorel Bubau,3218
1004811666340032,"1000 év Erdélyben, 100 év Romániában","1000 év Erdélyben, 100 év Romániában",3195
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,3193
143378845861681,PNL Mures,Partidul Naţional Liberal,3153
379906119021669,Novák Csaba Zoltán,RMDSZ Maros megye,3080
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,3061
505785196105852,Florian Bodog,Partidul Social Democrat,3048
1839598436128267,PRO România Mureș,PRO România,2943
795022763862618,Viorel Cataramă,Dreapta Liberala,2921
800161057052146,Transylvania Inquiry,Median Research Centre,2844
215328865181171,Borboly Csaba,Borboly Csaba,2802
2689393464421146,Csibi Attila Zoltán,RMDSZ Maros megye,2759
811989945849909,Dragoș Cristian Pui,Dragos Pui,2542
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,2521
364457997442201,Iskola Alapítvány,Iskola Alapítvány,2501
105714874377017,Constantin Mihai Fiscu,PNL Mures,2479
2177244962290894,PRO România,Networld IT&C SRL,2473
686190454826244,Declic,Declic,2421
435614816576664,Claudiu Maior,PRO România,2359
1572019133014738,Gabriel Toncean,These ads ran without a disclaimer,2232
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,2218
1524858287788521,Császár Károly,RMDSZ Maros megye,2200
116515310257494,Kolcsár Károly,RMDSZ Maros megye,2196
112571523480822,Un Om Presedinte,Deep Knowledge,2179
1091546850859205,PNL Luduş,PNL Mures,2151
401741783276003,Marius Pașcan,PASCAN EMIL-MARIUS,2100
1839598436128267,PRO România Mureș,BUZGAU ADRIAN-CALIN,2058
1769713886444816,Râsu Plânsu,Râsu Plânsu,2002
105541534575818,Adrian Nemeth Gherman,Adrian Nemeth Gherman,1986
180167272027251,B1.ro,B1.ro,1966
2074270855953120,Bálványos Intézet,Bálványos Intézet,1927
138172746752164,PNL Târgu Mureş,PNL Mures,1919
1028428697211383,USR Sibiu,Uniunea Salvați România,1901
227922987222524,Calin Popescu Tariceanu,ALDE,1871
104339127576831,Ziareazi.ro,ziareazi.ro,1854
143378845861681,PNL Mures,EUROPA DNS,1795
