Page ID,Page Name,Disclaimer,Amount Spent (RON)
772823779394341,Mugur Cozmanciuc,Partidul Național Liberal,130463
298765223557508,Ionel Arsene,Media PR Grup,73466
1587678041519354,PNL Neamt,Partidul National Liberal,69520
298765223557508,Ionel Arsene,Ionel Arsene,61965
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,45898
291177524360702,Partidul Social Democrat,Partidul Social Democrat,42912
183473261723511,Ziar Piatra Neamt,Media PR Grup,37720
298765223557508,Ionel Arsene,PSD Neamt,33786
178362315106,European Parliament,European Parliament,30989
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,29803
196347590385196,NewsGroup.biz,News-Group.biz,28927
188485217832992,NewsFalcon,NewsFalcon,27555
144439666313596,Știri 365,Știri 365,26932
558660550980931,INFO NEAMȚ,INFO NEAMȚ,24664
804299403024040,Iulian Bulai,USR Neamt,19037
183473261723511,Ziar Piatra Neamt,Ziar Piatra Neamt,17698
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,15166
2021287728125919,Stiri de Azi,Stiri de Azi,14837
107898832590939,European Commission,European Commission,12846
1703771913236960,Andrei Carabelea,Atelierul Media,12748
207255636351408,Dan Barna,Uniunea Salvați România - USR,10569
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,9853
108171930863714,Razvan Cuc,Media PR Grup,9808
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,9753
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,9148
149371012371397,Newsweek Romania,Newsweek Romania,7991
2096010980634658,Stiri Nationale,Stiri Nationale,7938
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,7925
463917500346335,PSD NEAMT,Media PR Grup,7823
176989973158138,Guvernare.net,Guvernare.net,7770
276092909160685,Eugen Țapu-Nazare,Branding Digital Strategy,7575
428535183939649,Liviu Harbuz,The Adchemists,7249
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,6904
471673660019608,Ziar Neamț,Neamț Politic,6867
1051537758265686,USR Neamț,USR Neamt,6760
275718032506812,Oana Bulai,Bulai Oana Gianina,6669
2546711162025064,Politice.net,politice.net,6651
108171930863714,Razvan Cuc,Razvan Cuc,6604
1627942050578477,Mara Calista,Partidul National Liberal Filiala Neamt,6203
340923316000910,Ziar Roman,Media PR Grup,6031
1504323906337545,Litere.net,litere.net,5887
109654604172933,Irimia Marius Ioan,USR Neamt,5399
593069601205127,Florin Zaharia,USR Neamt,5259
275718032506812,Oana Bulai,Media PR Grup,5200
181375448581167,Partidul Naţional Liberal,Future Innovation,5032
112664490103704,Salvăm România,Salvăm România,4981
1100459663338217,News.ro,News.ro,4591
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,4573
1827328707549995,Radu Samson,Samson Radu-Constantin,4476
147742309201775,Bogdan Gavrilescu,Partidul Miscarea Populara Neamt,4445
102709301574071,Ciprian Enache,Mungiu Constantin Cezar,4280
1587678041519354,PNL Neamt,Partidul Naţional Liberal,4154
314121698626112,Stiri Nationale - Ziarul tau de azi,Stiri Nationale,4143
445242878916307,Readlog,Readlog News,4070
123526378261795,Stiri Locale,Stiri Locale,3990
396497857071198,Ziar Targu Neamt,Media PR Grup,3911
1630755797146028,ALDE  NEAMT,Soreb,3741
291132089193,Greenpeace Romania,Greenpeace Romania,3713
1604450529775269,Teodora Baciu,Partidul Împreună Pentru Moldova -Filiala Județeană Neamț,3698
276092909160685,Eugen Țapu-Nazare,Partidul National Liberal - Filiala Neamt,3503
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,3457
1587678041519354,PNL Neamt,ETIS Design,3437
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,3291
1046576302107963,Ciprian Serban,Media PR Grup,3281
103749027864591,Florentina Moise,Media PR Grup,3162
471673660019608,Ziar Neamț,Media PR Grup,3139
115223543730170,Ludovic Orban,Partidul Naţional Liberal,3138
178362315106,European Parliament,These ads ran without a disclaimer,3086
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,3035
2177244962290894,PRO România,Networld IT&C SRL,2775
1827328707549995,Radu Samson,USR Neamt,2740
795022763862618,Viorel Cataramă,Dreapta Liberala,2725
770704223323599,Dezvoltăm România,Future Innovation,2631
112571523480822,Un Om Presedinte,Deep Knowledge,2370
113849720535342,Bogdan Tohăneanu,The Adchemists,2277
102025778125741,Robert Cazanciuc,Partidul Social Democrat,2234
447599215375012,Municipiul Piatra-Neamt,Media PR Grup,2220
323137221376603,Catalin Zamfira,Media PR Grup,2152
205720146226089,Ziar Bicaz,Media PR Grup,2114
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,2081
104963290889633,Robert Iosub,Media PR Grup,2034
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,2000
110303154071889,Sondaje actuale,Sondaje Actuale,2000
686190454826244,Declic,Declic,1971
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,1892
1677279962487180,Partidul Miscarea Populara NEAMT,Partidul Miscarea Populara Neamt,1848
1769713886444816,Râsu Plânsu,Râsu Plânsu,1847
172250656474810,Turn TV,Turn TV,1835
114060709969064,Ionut Corbu,PLUS Neamt,1780
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,1776
100223861794216,Emilia Arcan,Soreb,1726
227922987222524,Calin Popescu Tariceanu,ALDE,1720
2100570390058761,Infractorul,Infractorul.ro,1701
360376140719034,Asociatia de promovare sociala si culturala"IMPREUNA",Asociatia de Promovare Sociala și Culturală Împreună,1694
505785196105852,Florian Bodog,Partidul Social Democrat,1577
1648895662070685,Ziar Roznov,Media PR Grup,1540
1577573652517755,Neamt News,Neamț News,1536
226038115401723,Apetrei Gheorghe,Atelierul Media,1518
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1516
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,1496
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,1487
1917191885070563,PRO România Neamț,The Adchemists,1429
150967671609795,Victor Ponta,PRO România,1416
293215748279337,România fără PSD,Future Innovation,1400
1933828876850844,Sondaje România,Sondaje.net,1397
949310328493328,E5 News,E5News,1393
654183651296677,Mircea Diaconu,Alianta UN OM,1386
180167272027251,B1.ro,B1.ro,1385
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,1381
980885988616180,Dan Manoliu,The Adchemists,1343
1604450529775269,Teodora Baciu,Teodora Baciu,1320
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,1300
108006897659850,Vilhelm Sfarghie,Atelierul Media,1297
731035500293728,Siegfried Muresan,Siegfried Muresan,1274
106846617808033,Alin-Iosif CREŢU,Soreb,1260
111780580364142,Alexandru Doroftei,PLUS Neamț,1251
147742309201775,Bogdan Gavrilescu,Partidul Mișcarea Populară Neamt,1247
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,1234
113749853726892,Ionel Albu,USR Neamt,1215
1587678041519354,PNL Neamt,Digital Media Design Neamt,1191
304735519648377,Guvernul României,Crucea Rosie Romana,1169
224236745616499,Corneliu Pintilie,Atelierul Media,1146
104160768091747,Peiu Vlad Pantelimon,One Top Solution SRL,1123
228353475250508,Daniel RUSU,Candidat Independent Daniel Rusu,1112
104339127576831,Ziareazi.ro,ziareazi.ro,1099
101446504764089,Timișești.net,Mihai Vornicu,1061
220579784732993,Daniel Buda,Buda Daniel,1038
804083879971445,USR Tămășeni - Adjudeni,USR Neamt,1033
168243139877442,BZI,BZI,1021
1505920772972477,vestea.net,These ads ran without a disclaimer,1000
382316952157056,Vasile Popescu,Neamț Politic,973
980885988616180,Dan Manoliu,Dan Manoliu,948
1393561287563036,Comuna Poiana Teiului,Neamț Politic,941
182546041796641,Costel Alexe,Partidul Naţional Liberal,917
108347243858341,Jurnal FM,Partidul National Liberal,917
566034766760308,PSD Piatra Neamt,Media PR Grup,894
108006897659850,Vilhelm Sfarghie,Forderung Media,888
117682741602835,Online Report,Online Report,876
1173886802628158,Marius Minea,PNL IASI,874
471764082950159,Sebastian Burduja,Sebastian Ioan Burduja,872
535445976897124,ALDE BACĂU - Partidul Alianța Liberalilor și Democraților,Partidul Alianța Liberalilor și Democraților - ALDE,864
243027859216579,Alfred Simonis,Partidul Social Democrat,848
362877977521642,Partidul Neamul Romanesc,Peia Ninel,839
101141368473321,Alianța Fripturiștilor,Partidul Social Democrat - Organizatia Judeteana Bacau,839
2177244962290894,PRO România,PRO România,836
163943696987223,Ziarul Puterea,Ziarul Puterea,820
799949990211564,Ramona Ioana Bruynseels,These ads ran without a disclaimer,807
194365738037588,Daniela Soroceanu,Daniela Soroceanu,805
272370502030,Comisia Europeană în România,Reprezentanța Comisiei Europene în România,777
1094773083945512,Claudiu Nasui,NASUI CLAUDIU-IULIUS-GAVRIL,769
1677279962487180,Partidul Miscarea Populara NEAMT,Biga Catalin,767
110121523699375,Ionut Meraru,Plus Neamț,761
1156537071044716,Dragos Chitic,Partidul Miscarea Populara Neamt,750
101322554583643,Ciuma Roșie,Ciuma Roșie,734
277175176075548,Consiliul Județean Neamț,These ads ran without a disclaimer,714
1875528839348774,Dragoș Pîslaru,Dragoș Pîslaru,711
106673321130175,Mihai Cozma,PLUS Neamț,700
103201301126374,Laurentiu Cretu,PLUS Neamt,690
114685395289559,Andreea Talmazan,Andreea-Cristina Talmazan,686
163950740830769,Gaz De Romania,Gaz De Romania,668
1016828251779691,PSD Bicaz,Iosub Robert-Adrian,668
314121698626112,Stiri Nationale - Ziarul tau de azi,Media PR Grup,667
112651657181398,Zi de zi,Zidezi,667
114685353518272,Alianța pentru Unirea Românilor Neamț,Simion George-Nicolae,649
581911828514783,Partidul Mișcarea Populară,Partidul Mișcarea Populară,648
433179246802682,Consiliul Investitorilor Străini - FIC,Consiliul Investitorilor Străini - FIC,638
803704429988967,Pro Romania Savinesti,Soreb,631
181375448581167,Partidul Naţional Liberal,Future Innovation,623
292195078034739,Iulian Curelaru,Iulian Curelaru,598
138896782840976,Biroul Parlamentului European în România,"Parlamentul European, Biroul de Informare în Romania",598
316344928750549,Dan Andrusca,These ads ran without a disclaimer,590
339365506708219,Departamentul pentru Agricultură și Dezvoltare Rurală al PSD,Partidul Social Democrat,588
170623543081668,Adrian Oros,Nechita-Adrian Oros,588
107543802616247,Dacian Cioloş,PLUS,585
1317563728271610,Ioana Constantin,Partidul Mișcarea Populară,576
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,575
110786843993342,Cristian Paul Ichim,PLUS Bacău,569
1140001842686665,Petre Florin Manole,Partidul Social Democrat,566
297148024148392,Off topic Neamț,Media PR Grup,564
107898832590939,European Commission,These ads ran without a disclaimer,556
118156068240867,CEL.ro,CEL.ro,533
1587678041519354,PNL Neamt,These ads ran without a disclaimer,529
1393479774271495,PNL Harghita,PNL Harghita,516
112953853591210,Sergiu Sechelariu,Box Solutions SRL,516
254690471320373,Vocea Bacăului,Partidul Social Democrat - Organizatia Judeteana Bacau,510
218787515222823,Ion Melinte,BOX SOLUTIONS SRL,508
356331945441602,Nu te lăsa dusă,Andra Anastasia Alexa,506
