Page ID,Page Name,Disclaimer,Amount Spent (RON)
148993498505135,PNL Prahova,PNL Prahova,131797
291177524360702,Partidul Social Democrat,Partidul Social Democrat,74395
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,71724
1362765070466111,PMP Prahova - Oficial,PMP Prahova,70186
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,68849
160389004118249,Iulian Dumitrescu,PNL Filiala Prahova,58268
121759081312663,Cătălina Bozianu,PMP Prahova,57992
178362315106,European Parliament,European Parliament,50518
474481680018003,Bogdan Toader,PSD Prahova,48279
1385405838141456,USR Prahova,USR Prahova,44690
107162597445468,Razvan Enescu,Razvan Enescu PLUS Prahova,42695
1585243028421258,PSD Prahova,PSD Prahova,34291
115623656908513,Ioan Pitigoi,PMP Prahova,32077
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,23142
107898832590939,European Commission,European Commission,20944
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,20910
697451833786949,Mihai Polițeanu,USR Prahova,20070
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,18669
107891257592942,Moisescu Nicolae,PSD Prahova,18236
268639063830248,PLUS Prahova,PLUS Prahova,18223
107162597445468,Razvan Enescu,Enescu Razvan,17858
207255636351408,Dan Barna,Uniunea Salvați România - USR,17743
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,16304
149371012371397,Newsweek Romania,Newsweek Romania,14550
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,14332
176989973158138,Guvernare.net,Guvernare.net,13998
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,13757
2546711162025064,Politice.net,politice.net,11355
160389004118249,Iulian Dumitrescu,Iulian Dumitrescu,11238
112664490103704,Salvăm România,Salvăm România,11171
474481680018003,Bogdan Toader,Bogdan Toader,10939
1504323906337545,Litere.net,litere.net,10288
181375448581167,Partidul Naţional Liberal,Future Innovation,8627
582383301927573,Mihai Cristian Apostolache,Mihai Cristian Apostolache,8416
291132089193,Greenpeace Romania,Greenpeace Romania,7244
697451833786949,Mihai Polițeanu,POLITEANU MIHAI-LAURENTIU,7149
1100459663338217,News.ro,News.ro,6533
770704223323599,Dezvoltăm România,Future Innovation,6510
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,6361
445242878916307,Readlog,Readlog News,6204
106141277950005,Buletin de Prahova,Vocea PH,6133
123526378261795,Stiri Locale,Stiri Locale,5887
109181830661759,Răzvan-Toma STĂNCIULESCU,Razvan Toma Stanciulescu,5846
474481680018003,Bogdan Toader,Partidul Social Democrat,5640
795022763862618,Viorel Cataramă,Dreapta Liberala,5541
110839407192459,Laura Fulgeanu-Moagher,PSD Prahova,5498
178362315106,European Parliament,These ads ran without a disclaimer,5402
115623656908513,Ioan Pitigoi,Pitigoi Ioan-Adrian,5352
1362765070466111,PMP Prahova - Oficial,Catalina Bozianu,4976
107891257592942,Moisescu Nicolae,Nicolae Moisescu,4870
425051144215846,Stefan Radu Oprea,PSD Prahova,4862
108099984302874,Catalin Beciu,Bogdan Beciu,4860
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,4815
115223543730170,Ludovic Orban,Partidul Naţional Liberal,4703
883773991973429,USR Păuleşti,USR Prahova,4690
1397780273832865,PH-online.ro,PH-online.ro,4561
2109624415917264,PRO România Prahova,PRO ROMANIA PRAHOVA,4557
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,4431
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,4412
1769713886444816,Râsu Plânsu,Râsu Plânsu,4406
1776277769312546,George Marussi,George Marussi,4119
686190454826244,Declic,Declic,4091
102718977927554,Prahova în Acțiune - Organizația Câmpina,Partidul Prahova in Actiune - Organizatia Campina,4083
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,3967
108349474104762,Mihai Sandu,Uniunea Salvați România Prahova,3891
107651084218159,Pavel Georgini - gânduri și fapte bune,PSD Prahova,3854
112571523480822,Un Om Presedinte,Deep Knowledge,3847
108048110970639,Aurel Oprinoiu,USR Prahova,3834
2177244962290894,PRO România,Networld IT&C SRL,3756
109181830661759,Răzvan-Toma STĂNCIULESCU,Angelo-Daniel Ivan,3708
100855711503394,Mihai Tonsciuc,USR Prahova,3323
2259764434288184,Prahova sub Lupă,Prahova sub Lupa,3279
111923510310201,Partidul Prahova în Acțiune - Organizaţia Ploieşti,Razvan Toma Stanciulescu,3229
102025778125741,Robert Cazanciuc,Partidul Social Democrat,3131
113930135350899,Ionuț Radu Munteanu,Plus Prahova,3112
111923510310201,Partidul Prahova în Acțiune - Organizaţia Ploieşti,Angelo-Daniel Ivan,3022
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,3006
104339127576831,Ziareazi.ro,ziareazi.ro,2939
425051144215846,Stefan Radu Oprea,Stefan Radu Oprea,2881
190133938436959,Max-Media.ro - Stiri actuale,Max-Media,2748
581911828514783,Partidul Mișcarea Populară,Partidul Mișcarea Populară,2673
180167272027251,B1.ro,B1.ro,2671
101089455024059,Neacșu Sorin,Sorinel Marius Neacsu,2634
108818130851166,Andrei Lupu,PLUS Prahova,2589
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,2561
127121512083787,Cătălin Florescu,PLUS - Prahova,2557
1776277769312546,George Marussi,Uniunea Salvați România Prahova,2525
227922987222524,Calin Popescu Tariceanu,ALDE,2523
105145744394848,Actual de Prahova,Actual PH,2469
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,2445
252526698818667,USR BUCOV,USR BUCOV,2399
1585243028421258,PSD Prahova,Georgescu Andrei-Theodor,2364
1671453186444953,Irinel Costache,Irinel Augustin Costache,2271
1933828876850844,Sondaje România,Sondaje.net,2269
103445844473825,Alianța pentru Unirea Românilor - AUR,DGI Multimedia Design SRL,2169
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,2112
107048211136339,Magdalena Trofin,USR Prahova,2077
105145744394848,Actual de Prahova,Actual de Prahova,2075
654183651296677,Mircea Diaconu,Alianta UN OM,2062
1598333033752067,ALDE  Prahova,Love to Advertise,2061
100438995072581,Dragoș Rădulescu,PMP Prahova,2018
150967671609795,Victor Ponta,PRO România,1982
949310328493328,E5 News,E5News,1936
107651084218159,Pavel Georgini - gânduri și fapte bune,Pavel Georgini-Mihail,1930
304735519648377,Guvernul României,Crucea Rosie Romana,1917
101219874701668,Mihai Neagu,USR Prahova,1881
188485217832992,NewsFalcon,NewsFalcon,1861
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,1851
148993498505135,PNL Prahova,ETIS Design SRL,1803
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,1786
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1737
117682741602835,Online Report,Online Report,1671
121759081312663,Cătălina Bozianu,Catalina Bozianu,1579
102196401391304,Alexandru Florescu,Alexandru Florescu,1564
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,1554
1140001842686665,Petre Florin Manole,Partidul Social Democrat,1543
1362765070466111,PMP Prahova - Oficial,Amerisoft,1507
220579784732993,Daniel Buda,Buda Daniel,1477
1469610256621123,PNL Dambovita,Advertising AD Connect,1473
731035500293728,Siegfried Muresan,Siegfried Muresan,1445
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,1417
101322554583643,Ciuma Roșie,Ciuma Roșie,1396
109825634188309,Liviu Briciu,POL Câmpina,1381
2247767902122748,USR Târgsoru Vechi Prahova,USR Prahova,1375
243027859216579,Alfred Simonis,Partidul Social Democrat,1319
505785196105852,Florian Bodog,Partidul Social Democrat,1301
252526698818667,USR BUCOV,USR Prahova,1281
182546041796641,Costel Alexe,Partidul Naţional Liberal,1277
104263104479576,Dragos C.L. PREDA,Dragos Preda,1261
591077984699308,Cazinouri Legale,These ads ran without a disclaimer,1246
272370502030,Comisia Europeană în România,Reprezentanța Comisiei Europene în România,1227
2259764434288184,Prahova sub Lupă,Romania - Tv,1204
362877977521642,Partidul Neamul Romanesc,Peia Ninel,1179
1903580739951981,PLUS,PLUS,1163
121259719463326,Alin Moldoveanu,Ioan Moldoveanu,1140
799949990211564,Ramona Ioana Bruynseels,These ads ran without a disclaimer,1124
1128229287275038,Silvia Dinică,Silvia Dinică,1117
113930135350899,Ionuț Radu Munteanu,Munteanu Radu,1066
163943696987223,Ziarul Puterea,Ziarul Puterea,1062
181375448581167,Partidul Naţional Liberal,Future Innovation,1059
105045301157642,Alianța Pentru Unirea Românilor AUR Prahova,Alianța pentru Unirea Românilor Prahova,1052
2177244962290894,PRO România,PRO România,1048
114685395289559,Andreea Talmazan,Andreea-Cristina Talmazan,1047
107543802616247,Dacian Cioloş,PLUS,1022
105824067907689,Mârzea Gheorghe,PMP Prahova,1021
1875528839348774,Dragoș Pîslaru,Dragoș Pîslaru,1010
148993498505135,PNL Prahova,Partidul Naţional Liberal,1004
2449445505071289,SanoPass,Ovidiu Tănase,1003
1566276376993897,Sebastian Moise,Partidul Mișcarea Populară,999
1469610256621123,PNL Dambovita,PNL Dambovita,997
453366545468234,Corbu Mircea,Corbu Mircea,977
138896782840976,Biroul Parlamentului European în România,"Parlamentul European, Biroul de Informare în Romania",966
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,965
154763978501346,Alexandra-Mihaela DUME,Lollipop Advertising,957
108048110970639,Aurel Oprinoiu,Oprinoiu Aurel Uniunea Salvați România,929
1835044176777941,Dan Rădulescu,RADULESCU DAN-RAZVAN,928
118156068240867,CEL.ro,CEL.ro,927
376808162779895,Marius Tudor,Marius Tudor,921
1094773083945512,Claudiu Nasui,NASUI CLAUDIU-IULIUS-GAVRIL,920
105314021269793,Razvan Stelian Ionita,Razvan Ionita,914
318417928527284,Lucian N. Romascanu,Partidul Social Democrat,905
293215748279337,România fără PSD,Future Innovation,897
433179246802682,Consiliul Investitorilor Străini - FIC,Consiliul Investitorilor Străini - FIC,866
107898832590939,European Commission,These ads ran without a disclaimer,853
