Page ID,Page Name,Disclaimer,Amount Spent (RON)
105522854133423,Radu Panait,Alianta USR PLUS Satu Mare,59642
452093044903834,Radu Cristescu,PSD - Filiala Satu Mare,36724
291177524360702,Partidul Social Democrat,Partidul Social Democrat,34240
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,34105
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,30509
178362315106,European Parliament,European Parliament,24209
102601499822802,RMDSZ,RMDSZ,22286
197860563670657,Adrian Stef,House of Ads,19017
456952907844400,Kereskényi Gábor,Kereskényi Gábor,17883
187626588259750,Pataki Csaba,Pataki Csaba,14741
1742547816015691,USR Satu Mare,USR Satu Mare Campanie,13738
175293925828191,Kelemen Hunor,RMDSZ,11971
105522854133423,Radu Panait,Panait Radu,11153
1473256882891685,Mihai Huzău,Mihai Huzau,10490
107898832590939,European Commission,European Commission,9395
1251658178298969,PRO România Satu-Mare,Sprint Multimedia,9251
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,8966
101133561510833,Octavian Petric,Sprint Multimedia,8571
984284701624178,Adrian Cozma,Adrian Cozma,8461
207255636351408,Dan Barna,Uniunea Salvați România - USR,8072
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,7818
115863810318950,Ioan Tibil,PSD - Filiala Satu Mare,7766
101133561510833,Octavian Petric,Sprint Multimedia,7717
101053121719588,Cosmin Ratiu,SC Love to Advertise SRL,7014
176989973158138,Guvernare.net,Guvernare.net,6867
240359957154014,Cristina Haiduc Avocat,Sprint Multimedia SRL,6824
770704223323599,Dezvoltăm România,Future Innovation,6775
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,6742
197860563670657,Adrian Stef,Love to Advertise,6712
327795330911719,Magyar Lóránd,Szatmár megyei RMDSZ,6087
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,5735
149371012371397,Newsweek Romania,Newsweek Romania,5694
2546711162025064,Politice.net,politice.net,5317
243961986020807,Turos Lóránd,Szatmár megyei RMDSZ,5264
1504323906337545,Litere.net,litere.net,5001
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,4884
278916272691724,USR Negrești Oaș,Uniunea Salvați România - USR,4537
1487319541548619,PNL Satu Mare,PNL Satu Mare,4511
181375448581167,Partidul Naţional Liberal,Future Innovation,4326
105143187994127,USR Szatmár,USR PLUS Satu Mare,4284
670208556727062,PLUS Satu Mare,Plus Satu Mare,4142
100512591782915,Roca Radu,PSD - Filiala Satu Mare,4083
1100459663338217,News.ro,News.ro,4076
388139855338023,Marcela Papici,Papici Marcela,4016
112292378902457,Raul Donca,MANGO DIGITAL AGENCY,3900
112664490103704,Salvăm România,Salvăm România,3885
445242878916307,Readlog,Readlog News,3725
106835577566642,Nagy Szabolcs,Szatmár megyei RMDSZ,3433
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Néppárt,3126
174291436685142,Gabriel Valer Zetea,Amalia Babici-Man,2933
984284701624178,Adrian Cozma,Cozma Adrian-Felician,2916
452093044903834,Radu Cristescu,Radu Cristescu,2898
123526378261795,Stiri Locale,Stiri Locale,2845
101340341589751,USR Botiz,Alianta USR PLUS Satu Mare,2647
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,2635
100141721579373,Szatmár Megyei RMDSZ,Szatmár megyei RMDSZ,2528
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,2460
115223543730170,Ludovic Orban,Partidul Naţional Liberal,2387
505785196105852,Florian Bodog,Partidul Social Democrat,2336
675042232534141,Vincze Loránt,Vincze Loránt,2292
291132089193,Greenpeace Romania,Greenpeace Romania,2244
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,2226
178362315106,European Parliament,These ads ran without a disclaimer,2165
1004811666340032,"1000 év Erdélyben, 100 év Romániában","1000 év Erdélyben, 100 év Romániában",2130
795022763862618,Viorel Cataramă,Dreapta Liberala,2066
2177244962290894,PRO România,Networld IT&C SRL,1984
107543802616247,Dacian Cioloş,PLUS,1973
1742547816015691,USR Satu Mare,These ads ran without a disclaimer,1951
2074270855953120,Bálványos Intézet,Bálványos Intézet,1869
107718414465009,Ovidiu Duma,Duma Ovidiu Marius,1789
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,1758
680504818693657,Partidul Mișcarea Populară Satu Mare,MARIDOR ASTORIA SRL,1691
1487319541548619,PNL Satu Mare,Partidul Național Liberal,1607
509303922586261,Coica Dorel,Coica Dorel,1589
1487319541548619,PNL Satu Mare,Vision Development Center SRL,1587
100512591782915,Roca Radu,Roca Radu,1510
364457997442201,Iskola Alapítvány,Iskola Alapítvány,1495
1222583394451380,Bogdan Ilea,Apella,1489
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,1488
1769713886444816,Râsu Plânsu,Râsu Plânsu,1426
1573476109597194,Szatmári RMDSZ,Szatmár megyei RMDSZ,1393
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Szövetség,1380
686190454826244,Declic,Declic,1377
105541511081799,Toga Stefan,Stefan Toga,1366
102025778125741,Robert Cazanciuc,Partidul Social Democrat,1364
243027859216579,Alfred Simonis,Partidul Social Democrat,1353
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1327
293215748279337,România fără PSD,Future Innovation,1317
227922987222524,Calin Popescu Tariceanu,ALDE,1271
104900714394343,Jurnal de Ardeal,These ads ran without a disclaimer,1268
109109873864436,USR Odoreu,USR PLUS Satu Mare,1190
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,1116
949310328493328,E5 News,E5News,1110
220579784732993,Daniel Buda,Buda Daniel,1093
1933828876850844,Sondaje România,Sondaje.net,1086
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,1083
1633902430201515,ALDE Municipiul Satu Mare,Otto Web,1056
180167272027251,B1.ro,B1.ro,1046
150967671609795,Victor Ponta,PRO România,999
108723169291363,Daniel Suciu,Partidul Social Democrat,990
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,983
304735519648377,Guvernul României,Crucea Rosie Romana,974
327795330911719,Magyar Lóránd,Magyar Lóránd RMDSZ képviselő,946
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,923
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,919
104339127576831,Ziareazi.ro,ziareazi.ro,898
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,878
112571523480822,Un Om Presedinte,Deep Knowledge,878
327795330911719,Magyar Lóránd,These ads ran without a disclaimer,874
438055679575977,TV1 Satu Mare,Otto Web,867
731035500293728,Siegfried Muresan,Siegfried Muresan,860
2074270855953120,Bálványos Intézet,Balvanyos Institute,826
654183651296677,Mircea Diaconu,Alianta UN OM,809
215328865181171,Borboly Csaba,Borboly Csaba,798
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,742
800161057052146,Transylvania Inquiry,TT Research,742
188113901227053,Maszol.ro,Maszol.ro,727
2177244962290894,PRO România,PRO România,695
115863810318950,Ioan Tibil,Ioan Tibil,689
1132821833503229,Gabriel Les,Gabriel Les,684
2510636699163529,PSD Marghita,Wecreate Ads,660
1537537942983268,Erdélyi magyarok Orbán Viktor mellett,Erdélyi magyarok Orbán Viktor mellett,659
1047658422027323,Dan Ivan,USR Maramureș,649
327795330911719,Magyar Lóránd,"Magyar Lóránd, RMDSZ képviselő",638
117682741602835,Online Report,Online Report,624
443391775748667,Aurelia Fedorca,Sprint Multimedia,605
130396698461794,Tamasan Claudiu,Otto Web,602
447704011932385,Hegedüs Csilla,RMDSZ,598
379633622148337,RMDSZ Nőszervezet,RMDSZ Nőszervezet,596
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,587
1875528839348774,Dragoș Pîslaru,Dragoș Pîslaru,564
192813847556849,Catalin Ivan,Partidul Ecologist Român,563
170623543081668,Adrian Oros,Nechita-Adrian Oros,559
