Page ID,Page Name,Disclaimer,Amount Spent (RON)
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,57113
164390367008767,PNL Sibiu,PNL Sibiu,56763
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,51723
291177524360702,Partidul Social Democrat,Partidul Social Democrat,47614
178362315106,European Parliament,European Parliament,33365
164276903939889,PSD Sibiu,Turcanu Catalin Nicolae,31738
620083298402659,Bogdan Trif,Turcanu Catalin Nicolae,22135
1028428697211383,USR Sibiu,USR Sibiu,19393
360184320712594,Raluca Turcan,PNL Sibiu,17847
1028428697211383,USR Sibiu,Uniunea Salvați România,17651
207255636351408,Dan Barna,Uniunea Salvați România - USR,17518
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,16544
106374440937029,Cătălin Stanciu,Girl Business,15552
164276903939889,PSD Sibiu,PlusView Studio,14534
107898832590939,European Commission,European Commission,13997
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,12597
101526765101980,Cotizo Draia,PlusView Studio,9952
149371012371397,Newsweek Romania,Newsweek Romania,9216
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,8938
379712606204261,Adrian BIBU,Sibibu,8867
685558501582361,Daniela Cimpean - Presedinta Consiliului Judetean Sibiu,PNL Sibiu,8186
181375448581167,Partidul Naţional Liberal,Future Innovation,8120
176989973158138,Guvernare.net,Guvernare.net,8077
102386858347499,Dan Cermonea,PlusView Studio,7776
1028428697211383,USR Sibiu,Uniunea Salvați România - USR,7345
379712606204261,Adrian BIBU,PNL Sibiu,7325
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,7050
635879203722140,Dialog pentru Educație,Poll Space,6769
2546711162025064,Politice.net,politice.net,6662
1802656310012700,Constantin Şovăială,Sovaiala Constantin,6119
1504323906337545,Litere.net,litere.net,6059
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,6009
103369988138169,Daniela Maria Meițescu,Uniunea Salvați România - USR,6004
105974137853470,Adrian Echert,Uniunea Salvați România - USR,5968
291132089193,Greenpeace Romania,Greenpeace Romania,5514
1437070363251998,Marius Vecerdea,Marius Vecerdea,5369
112664490103704,Salvăm România,Salvăm România,5206
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,5105
108654690750522,Claudiu Mureșan,Uniunea Salvați România - USR,4980
379712606204261,Adrian BIBU,These ads ran without a disclaimer,4901
164390367008767,PNL Sibiu,Partidul Naţional Liberal,4843
953278791374631,Mihai Macaveiu,PlusView Studio,4587
1100459663338217,News.ro,News.ro,4226
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,4059
770704223323599,Dezvoltăm România,Future Innovation,3967
111890367096070,Partidul Verde SB,SC AZWebNet Services SRL,3888
445242878916307,Readlog,Readlog News,3711
178362315106,European Parliament,These ads ran without a disclaimer,3573
100190535101947,PRO Alexandru Tomasevschi,SET ONLY 4 MARKETING pentru PRO ROMANIA,3552
886690438065058,Medgyesi Rmdsz,Medgyesi RMDSZ,3521
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,3368
795022763862618,Viorel Cataramă,Dreapta Liberala,3178
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,3131
107543802616247,Dacian Cioloş,PLUS,3130
686190454826244,Declic,Declic,3113
793436700697368,Ovidiu Ghe. Tocaciu,ALDE Sibiu,3102
115223543730170,Ludovic Orban,Partidul Naţional Liberal,2992
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,2867
123526378261795,Stiri Locale,Stiri Locale,2774
111735723941265,PNL Șelimbăr,PNL Sibiu,2771
109580344259626,Marius Vulcan,Uniunea Salvați România - USR,2758
360184320712594,Raluca Turcan,Partidul Naţional Liberal,2731
108120921080474,Ion Ariton,Branner,2566
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,2473
121782908410732,Partidul Miscarea Populara Sibiu,Nasp Beratung SRL pentru Partidul Miscarea Populara Sibiu,2370
2070451703043856,Ziarul Star Sibian,Ziarul Star Sibian,2341
102025778125741,Robert Cazanciuc,Partidul Social Democrat,2335
180167272027251,B1.ro,B1.ro,2253
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,2245
279454772645662,Nicu Ștefănuță,Nicu Ștefănuță,2190
2177244962290894,PRO România,Networld IT&C SRL,2160
127933152020331,Laurentiu Cosmin Balcu,PLUSVIEW STUDIO,2160
112571523480822,Un Om Presedinte,Deep Knowledge,2159
505785196105852,Florian Bodog,Partidul Social Democrat,2132
164390367008767,PNL Sibiu,These ads ran without a disclaimer,2033
563704487069460,Centrul INFOBiz,Ciprian Faraon pentru Centrul INFOBiz,1997
107651621055050,ALDE - Ocna Sibiului,Online Growth  Solutions,1870
104339127576831,Ziareazi.ro,ziareazi.ro,1795
1839598436128267,PRO România Mureș,PRO România Mureș,1737
1769713886444816,Râsu Plânsu,Râsu Plânsu,1684
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1659
1933828876850844,Sondaje România,Sondaje.net,1588
101844738322294,Tiberiu Serbaneci,SET ONLY 4 MARKETING pentru PRO ROMANIA,1470
854670057993871,Forumul German Sibiu,Forumul German Sibiu,1421
261202277284497,Theodor Paleologu,Partidul Mișcarea Populară,1393
111606420664541,Adela Muntean,Partidul Miscarea Populara Sibiu,1383
654183651296677,Mircea Diaconu,Alianta UN OM,1369
102666811365265,Raul Andrei Apostoiu,PLUS Sibiu,1363
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,1360
121782908410732,Partidul Miscarea Populara Sibiu,Partidul Miscarea Populara Sibiu,1355
1009663642455503,PNL Dumbrăveni-Sibiu,Geta Irimie,1351
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,1292
417357025536094,Gazeta de Sibiu,Gazeta de Sibiu,1288
731035500293728,Siegfried Muresan,Siegfried Muresan,1285
104804724615000,Gabriel Tischer,Gabriel Tischer,1284
114658323574275,Petru Florea,SET ONLY 4 MARKETING pentru PRO ROMANIA,1257
685558501582361,Daniela Cimpean - Presedinta Consiliului Judetean Sibiu,GHIGULESCU ANCA-GEANINA,1248
1802656310012700,Constantin Şovăială,PNL Sibiu,1241
1805257953094987,Horatiu Marin,PlusView Studio,1227
227922987222524,Calin Popescu Tariceanu,ALDE,1200
949310328493328,E5 News,E5News,1198
108723169291363,Daniel Suciu,Partidul Social Democrat,1195
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,1188
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,1187
109328747571680,Petru Vasile Trăscăian,Petru-Vasile Trăscăian,1185
304735519648377,Guvernul României,Crucea Rosie Romana,1184
138840463119938,Christine Thellmann,PNL Sibiu,1175
635879203722140,Dialog pentru Educație,Radu Szekely,1117
243027859216579,Alfred Simonis,Partidul Social Democrat,1114
220579784732993,Daniel Buda,Buda Daniel,1089
150967671609795,Victor Ponta,PRO România,1080
220261894740674,Calin Buzgau,PRO România Mureș,1046
143378845861681,PNL Mures,PNL Mures,987
207255636351408,Dan Barna,Dan Barna,986
249719548544507,Cioaba Daniel,Cioaba Daniel,981
102270018217811,PRO Ion Alexandru,SET ONLY 4 MARKETING pentru PRO ROMANIA,975
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,936
