Page ID,Page Name,Disclaimer,Amount Spent (RON)
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,67212
291177524360702,Partidul Social Democrat,Partidul Social Democrat,65113
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,58220
175857716097907,Marian Andronache,Partidul Mișcarea Populară Suceava,52620
178362315106,European Parliament,European Parliament,46560
104675774450338,Alianța USR PLUS Suceava,USR Suceava,43574
104675774450338,Alianța USR PLUS Suceava,PLUS Suceava,42232
103886954451099,PRO Romania Municipiul Suceava,PRO Romania Suceava,33100
1557562174501195,PNL Suceava,PNL Suceava,23376
247907621936037,Cătălin Nechifor,PRO România Suceava,22913
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,22104
107898832590939,European Commission,European Commission,20105
2022868144593694,Partidul Mișcarea Populară Suceava Oficial,Partidul Mișcarea Populară Suceava,19913
1557562174501195,PNL Suceava,Partidul Naţional Liberal,19320
207255636351408,Dan Barna,Uniunea Salvați România - USR,15957
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,15339
298462740337125,Partidul Miscarea Populara Campulung Moldovenesc,Partidul Mișcarea Populară Suceava,15313
561082167391564,Ion Lungu,PARTIDUL NAŢIONAL LIBERAL FILIALA SUCEAVA,14420
1557562174501195,PNL Suceava,TrueZone Media,14416
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,13655
1009857555804226,PER Suceava,PER Suceava,13647
149371012371397,Newsweek Romania,Newsweek Romania,12930
100300351751901,Dan Nichiforel,USR Suceava,12890
284903568254089,Stefan Alexandru Baisanu,Stefan Alexandru Baisanu,12564
176989973158138,Guvernare.net,Guvernare.net,11979
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,11094
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,10700
247907621936037,Cătălin Nechifor,Next Cloud Link SRL,10447
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,10438
109958664216704,Doru Lefter,Partidul Mișcarea Populară Suceava,9883
2546711162025064,Politice.net,politice.net,9758
100786778273323,Daniel Ionascu personal,Daniel Ionașcu,9744
1504323906337545,Litere.net,litere.net,9411
561082167391564,Ion Lungu,OR MEDIA S R L,8927
123526378261795,Stiri Locale,Stiri Locale,8299
112664490103704,Salvăm România,Salvăm România,8269
400504303385362,PSD Suceava,Webmastery Studio SRL,7840
445242878916307,Readlog,Readlog News,7652
100256538110695,George Mîndruță,PLUS Suceava,7383
181375448581167,Partidul Naţional Liberal,Future Innovation,7309
298462740337125,Partidul Miscarea Populara Campulung Moldovenesc,Partidul Mișcarea Populară,6945
121716891884587,Angelica Fădor,Partidul Naţional Liberal,6847
381102838969458,Teodora Munteanu,USR Suceava,6691
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,6458
101210641546881,Alianța Pentru Unirea Românilor Suceava,ALIANTA PENTRU UNIREA ROMANILOR,6359
