Page ID,Page Name,Disclaimer,Amount Spent (RON)
106704514303458,Știri de Sălaj,Știri de Sălaj,29438
167669676772029,Vasile Cristian Lungu - Senator PMP,Partidul Mișcarea Populară,28538
291177524360702,Partidul Social Democrat,Partidul Social Democrat,22389
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,22384
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,21742
1456367624654247,PNL SĂLAJ,World Wide BizCom,15610
178362315106,European Parliament,European Parliament,15141
102601499822802,RMDSZ,RMDSZ,10497
1174512932579230,Szilágyi Róbert István,Szilágyi Róbert-István,10419
1456557024588439,PNȚCD Sălaj,World Wide BizCom,8474
308475693108961,PLUS Sălaj,PLUS Sălaj,6491
665719730245460,USR Sălaj,USR Sălaj,6248
107898832590939,European Commission,European Commission,6158
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,5877
175293925828191,Kelemen Hunor,RMDSZ,5844
1552693921662967,RMDSZ Szilágy Megyei Szervezete,RMDSZ Szilágy Megye,5665
1695318594075982,Partidul Mișcarea Populară Sălaj,Partidul Mișcarea Populară,5566
1174512932579230,Szilágyi Róbert István,RMDSZ Szilágy Megyei Szervezet,5516
207255636351408,Dan Barna,Uniunea Salvați România - USR,5352
194696124517291,PRO România Sălaj,World Wide BizCom,5322
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,4987
1746545138976406,Dan Ghiurco,Cyber Advertising SRL,4827
105860297893714,Alin Prunean,PLUS SĂLAJ,4405
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,4325
665719730245460,USR Sălaj,Uniunea Salvați Romania Filiala Salaj,3927
770704223323599,Dezvoltăm România,Future Innovation,3892
176989973158138,Guvernare.net,Guvernare.net,3869
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,3840
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,3828
149371012371397,Newsweek Romania,Newsweek Romania,3681
2546711162025064,Politice.net,politice.net,3453
100776798391139,Florin Remus Iordache,PLUS Sălaj,3240
1504323906337545,Litere.net,litere.net,3194
1377705835875072,PER Salaj,PER Salaj,3190
105073884388516,Mircea Moroșan,TMK Research Services,2700
104755774763546,Florian Neaga,Cyber Advertising SRL,2652
181375448581167,Partidul Naţional Liberal,Future Innovation,2496
112664490103704,Salvăm România,Salvăm România,2415
