Page ID,Page Name,Disclaimer,Amount Spent (RON)
1785666108373699,Calota Samuel,lpv media pro srl,41641
291177524360702,Partidul Social Democrat,Partidul Social Democrat,24496
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,24145
101211095125511,Gabriel Crîngeneanu,Simona Gabriel Geagulea (lpv media pro srl),17829
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,16614
200504554237674,PLUS Teleorman,PLUS Teleorman,12979
178362315106,European Parliament,European Parliament,12499
840140639407583,Eugen Pîrvulescu,Partidul National Liberal Teleorman,11688
103901018050302,Badea Marius Rivera - Primar,Badea Marius Rivera,11329
1422516211298091,Total Impact,Total Impact,10908
547015548766551,PNL Teleorman,K-Soft,10433
840140639407583,Eugen Pîrvulescu,K-Soft,8908
698764386930112,Adrian IONUȚ GÂDEA,FX NET MEDIA GRUP SRL,8378
105718774543302,Constantin Stăvărache,PMP Teleorman,7427
547015548766551,PNL Teleorman,PNL Teleorman,7194
227595305255851,Claudiu Crăcea,Claudiu Crăcea,7152
114538703804078,Partidul Miscarea Populara - Filiala Teleorman,PMP Filiala Teleorman,7100
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,6109
243766206829628,Constantin Fierăscu,Costantin Fierăscu,5774
107898832590939,European Commission,European Commission,5407
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,5365
265172273973884,Dan Dobre,Dan Dobre,5190
207255636351408,Dan Barna,Uniunea Salvați România - USR,5064
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,4926
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,4360
176989973158138,Guvernare.net,Guvernare.net,4164
100137368397205,Aurel Fierăscu,PLUS Teleorman,4042
840140639407583,Eugen Pîrvulescu,Eugen Pîrvulescu,3552
222499971192446,VictorDragusin,SC FX NET MEDIA GRUP SRL,3520
2546711162025064,Politice.net,politice.net,3469
149371012371397,Newsweek Romania,Newsweek Romania,3187
1504323906337545,Litere.net,litere.net,3127
108368897681315,Gabi Florea,Gabriel-Florinel Florea,2960
