Page ID,Page Name,Disclaimer,Amount Spent (RON)
291177524360702,Partidul Social Democrat,Partidul Social Democrat,21682
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,21238
273685303103682,George Șișcu,George Șișcu,17744
273685303103682,George Șișcu,PNL Tulcea,16740
178362315106,European Parliament,European Parliament,12941
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,12680
519093894797918,Eugen Orlando Teodorovici,Partidul Social Democrat filiala Tulcea,11463
642178943068856,STAN IONEL,Ionel Stan,10625
105162251106724,Ștefan Ilie,Ștefan Ilie,10055
105162251106724,Ștefan Ilie,PNL Tulcea,8853
111006193856964,Alexandru-Cristian Iordan,PNL Tulcea,7340
1565657143706900,Andaluzia Luca,Andaluzia Luca,7206
744028202367270,USR Tulcea,USR Tulcea,6920
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,5836
107898832590939,European Commission,European Commission,5392
106660681126046,tulceapress.ro,tulceapress.ro,5335
326658331534593,Organizația Județeană PMP Tulcea,PMP Filiala Judeteana Tulcea,4940
502618176571123,Stefana Zibileanu,CASIOMA CREATIVE DESIGN S.R.L.,4652
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,4632
207255636351408,Dan Barna,Uniunea Salvați România - USR,4381
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,4205
1714296242143881,Horia Teodorescu,PSD Tulcea,3960
1714296242143881,Horia Teodorescu,Horia Teodorescu,3648
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,3614
1543882319242196,Marius Tudorie,Content Consulting,3402
246199086252201,Alexandru FILIP,Alexandru FILIP,3392
873672062727897,ALDE Tulcea,Content Consulting,3332
1565657143706900,Andaluzia Luca,PSD Tulcea,3278
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,3237
149371012371397,Newsweek Romania,Newsweek Romania,3226
176989973158138,Guvernare.net,Guvernare.net,3215
2546711162025064,Politice.net,politice.net,3014
1272686469428960,Popa Octavian Marius,Fisfy Marketing,2722
1504323906337545,Litere.net,litere.net,2536
112664490103704,Salvăm România,Salvăm România,2449
713018592100688,PNL Tulcea,PNL Tulcea,2390
246199086252201,Alexandru FILIP,Alex Filip,2104
638483096795141,Laurențiu Mocanu,CASIOMA CREATIVE DESIGN S.R.L.,2050
181375448581167,Partidul Naţional Liberal,Future Innovation,2037
291132089193,Greenpeace Romania,Greenpeace Romania,1970
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,1753
