Page ID,Page Name,Disclaimer,Amount Spent (RON)
149371012371397,Newsweek Romania,Newsweek Romania,157
324424001419299,Horia Constantinescu,Horia Constantinescu,150
207255636351408,Dan Barna,Uniunea Salvați România - USR,116
1100459663338217,News.ro,News.ro,101
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,≤100
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,≤100
110665943772240,Virgil Pirvulescu,PNL Filiala Vâlcea,≤100
272370502030,Comisia Europeană în România,Reprezentanța Comisiei Europene în România,≤100
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,≤100
290423314363157,Dan Cristian Popescu,Dan Cristian Popescu,≤100
123526378261795,Stiri Locale,Stiri Locale,≤100
712580168875913,Soós Zoltán,Soós Zoltán,≤100
324424001419299,Horia Constantinescu,eTrezirea,≤100
1224068470955946,Cristian Galea,Isidor's Software Solutions SRL-D,≤100
143378845861681,PNL Mures,PNL Mures,≤100
329619180721358,Cosette Chichirău,Chichirau Cosette-Paula,≤100
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,≤100
362877977521642,Partidul Neamul Romanesc,Peia Ninel,≤100
795022763862618,Viorel Cataramă,Dreapta Liberala,≤100
1562147887409153,Daniel Băluță,Daniel Baluta,≤100
104339127576831,Ziareazi.ro,ziareazi.ro,≤100
159850657881928,Costel Fotea,Costel Fotea,≤100
160389004118249,Iulian Dumitrescu,PNL Filiala Prahova,≤100
110661800329158,Valentin Ivancea,Partidul Social Democrat - Organizatia Judeteana Bacau,≤100
102817974672439,Elena Călin,Elena Călin USR PLUS,≤100
252950101538687,PNL Cluj,TMK Research Services,≤100
252218321561994,Lia Olguta Vasilescu,PSD Dolj,≤100
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,≤100
107898832590939,European Commission,European Commission,≤100
1557836147771248,Pavel Emilian,WeCreate Ads,≤100
2274642619442922,Dominic Fritz,USR Timiș,≤100
1755021091444902,Florin Birta,Globencer SRL,≤100
291177524360702,Partidul Social Democrat,Partidul Social Democrat,≤100
112664490103704,Salvăm România,Salvăm România,≤100
196347590385196,NewsGroup.biz,News-Group.biz,≤100
772823779394341,Mugur Cozmanciuc,Partidul Național Liberal,≤100
106240517684657,Felix Rache pentru Râmnicu Sărat,These ads ran without a disclaimer,≤100
291132089193,Greenpeace Romania,Greenpeace Romania,≤100
421280451283707,PNL Sector 3,Bit Expert Serv SRL,≤100
103369988138169,Daniela Maria Meițescu,Uniunea Salvați România - USR,≤100
686190454826244,Declic,Declic,≤100
1238823992859020,Cornel Zainea,Cornel Zainea,≤100
1572019133014738,Gabriel Toncean,Gabriel Toncean,≤100
808773709245245,Nicolae Giugea,Oltenia STAR,≤100
102601499822802,RMDSZ,RMDSZ,≤100
415165838654554,Dan Tudorache,Dan Tudorache,≤100
101920081415195,Partidul Puterii Umaniste - Social Liberal Constanța,PPU-SL Constanta,≤100
185088338177066,PNL IASI,PNL IASI,≤100
174291436685142,Gabriel Valer Zetea,Amalia Babici-Man,≤100
127890307228009,Avon Space,These ads ran without a disclaimer,≤100
1412594878832282,Cornel Mircea Samartinean Deputat Timis,PMP Timiș,≤100
380268059480218,Constanta Curata,These ads ran without a disclaimer,≤100
543681502428738,PSD Dolj,Partidul Social Democrat,≤100
258115384303163,Dorin Florea,Dorin Florea,≤100
1537065229900944,Daniel Florea,Daniel Florea,≤100
1140001842686665,Petre Florin Manole,Petre Florin Manole,≤100
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,≤100
421280451283707,PNL Sector 3,PNL Sector 3,≤100
1769713886444816,Râsu Plânsu,These ads ran without a disclaimer,≤100
338416500146655,USR PLUS Agigea,USR Constanța,≤100
1009857555804226,PER Suceava,PER Suceava,≤100
1498409580204044,Laurentiu Neghina,Partidul Mișcarea Populară Bacău,≤100
209399519151264,Liviu Brătescu,Liviu Brătescu,≤100
427656597297153,Gabriela Firea,PSD București,≤100
1094773083945512,Claudiu Nasui,Uniunea Salvati Romania,≤100
108331397335412,Eduard Ciceu,Eduard Ciceu,≤100
1653726584879481,Mihai Fifor,PSD Arad-CMF21200019,≤100
697451833786949,Mihai Polițeanu,USR Prahova,≤100
533912330091050,PNL Olt,PNL Olt,≤100
302428090439729,Cristian Haidau - NILS,Haidau Cristian-Ionel,≤100
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,≤100
1668078800161073,Alexandru Gâdiuță,Uniunea Salvati Romania Sector 6,≤100
1859195804406999,USR Năvodari,Uniunea Salvați România filiala Constanța,≤100
117472339887099,Cristian Gentea,PSD Argeș,≤100
1602563209957356,PNL Bacău,Branding Digital Strategy,≤100
597665030407862,Demos,Demos,≤100
1653699758248627,Ion ȘTEFAN,PNL Vrancea,≤100
1978829375759837,Adrian Pau,RC Design Depot SRL,≤100
107162597445468,Razvan Enescu,Razvan Enescu PLUS Prahova,≤100
187133884725560,PNL Alba,PNL Alba,≤100
1549073781993174,PNL Sector 5,Partidul Naţional Liberal,≤100
1728821047350437,Adrian Ioan Veştea,PNL Brasov,≤100
440713319814525,Petre Anghel,Adrian Frasineanu,≤100
105980177650805,Ștefănescu Laurențiu Costin,Uniunea Salvați România,≤100
1569314583329364,Vergil Chițac,PNL - Filiala Constanta,≤100
298765223557508,Ionel Arsene,Media PR Grup,≤100
176989973158138,Guvernare.net,Guvernare.net,≤100
249290691811957,PNL Sacele,PNL Brasov,≤100
760675314032250,PNL Pașcani,Ideal Picture,≤100
1069070156464623,PSD Nadlac,These ads ran without a disclaimer,≤100
363974753693918,Cosmin Necula,PRO România - Organizația Județeană Bacău,≤100
174663939345050,Husi - Orasul Dintre Vii,These ads ran without a disclaimer,≤100
493723354108403,HA STORE,HA STORE,≤100
697032654017634,Voicu Ion Valentin,ALDE Sector 5 - Alianta Liberalilor si Democratilor,≤100
842560849222998,Mihai Costel,Partidul Miscarea Populara - Organizatia Judeteana Brasov,≤100
360184320712594,Raluca Turcan,Partidul Naţional Liberal,≤100
206902479326887,Zanfir Iorgus,Evonomix,≤100
561008947384710,PSD Buzau,Partidul Social Democrat,≤100
283727512100172,USR Mangalia,Uniunea Salvați România filiala Constanța,≤100
101843798313609,Bucur Ion-Irinel,Bucur Irinel Ion,≤100
363615250703159,Lazar I. Bogdan,Lazar Bogdan,≤100
175293925828191,Kelemen Hunor,RMDSZ,≤100
1769713886444816,Râsu Plânsu,Râsu Plânsu,≤100
327343767641074,Alexandru Oprea,Alexandru Oprea,≤100
687217898058300,Arion Viorel,Partidul Miscarea Populara Hunedoara,≤100
107366674137094,Pîrvu Stefan George,George Pîrvu,≤100
107931867589811,Alianța USR PLUS Bragadiru,"Partidul Libertate, Unitate și Solidaritate",≤100
2453233161385807,Constanța 2020,These ads ran without a disclaimer,≤100
745975698891864,Cristina Iurisniti,Cristina Iurisniti,≤100
767582706713570,Allen Coliban,Cabinet Parlamentar Allen Coliban,≤100
101470034786459,Gheorghe Orza,These ads ran without a disclaimer,≤100
108322830963806,Bogdan Moșescu,USR Constanta,≤100
989041434464870,Deschide Resita,Deschide Resita,≤100
344862328881749,Catalin Silegeanu,Catalin Silegeanu,≤100
1854935178071596,UNU TV,Claudiu Haiduc,≤100
1656475137918717,USR Sector 6,Uniunea Salvati Romania,≤100
126087738920655,Daniela Elena Rădulescu,Partidul Miscarea Populara- Filiala Braila,≤100
2233378443540927,Pamflet de Constanța,These ads ran without a disclaimer,≤100
1967379876863917,USR Drobeta Turnu Severin,Uniunea Salvați România,≤100
545470752223362,George Stângă,PNL Galati,≤100
1572019133014738,Gabriel Toncean,PNL Mures,≤100
1587678041519354,PNL Neamt,These ads ran without a disclaimer,≤100
618899354811552,Cristian Daniel Stan,These ads ran without a disclaimer,≤100
436573673834626,newsbucuresti.ro,newsbucuresti.ro,≤100
1557562174501195,PNL Suceava,ORMEDIA S.R.L.,≤100
2097401573836964,Responsabil DPO,RESPONSABIL-DPO.ro,≤100
105162251106724,Ștefan Ilie,Ștefan Ilie,≤100
103373884640518,Sorin Ilieș,USR Maramureș,≤100
103416237923285,Adrian Pușcaș,Adrian-Emilian Pușcaș,≤100
165452684079944,Sătui,IOANITA MARIN-IOANA,≤100
102346504739450,STOP poluării din București,Haidau Cristian-Ionel,≤100
932511363436611,Cristian Dima,Cristian Dima,≤100
242547063081884,Constanța în schimbare,Constanta in schimbare,≤100
369776030454893,PLUS Timiș,PLUS Timiș,≤100
1514760912172050,Marius Bodea,Marius Bodea,≤100
1579317238749697,USR Lugoj,USR Timiș,≤100
374121893460424,Beniamin Todosiu,Partidul Uniunea Salvați România,≤100
701812826650904,Isidor Raducea,Raducea Isidor,≤100
106879264413267,Alin Ionuț Ghinoiu,Alin Ghinoiu,≤100
1657273667820719,USR București,USR București,≤100
1613962815515360,Marius Craina,Partidul PRO România,≤100
1612373492325952,PNL Caras Severin,PNL Caras Severin,≤100
2227316874023644,Județul Constanța - Oameni și Fapte,These ads ran without a disclaimer,≤100
732931243476469,PSD Olt,Partidul Social Democrat,≤100
379712606204261,Adrian BIBU,These ads ran without a disclaimer,≤100
872508899534866,Gelu Panfil,Partidul Social Democrat - Organizatia Judeteana Bacau,≤100
379358022224332,Organizatia Municipala ALDE Iasi,ALDE Iași,≤100
401741783276003,Marius Pașcan,Partidul Miscarea Populara,≤100
114571252212164,ALDE Galați,ALDE Galați,≤100
103107761507856,Viorel Bubau,Viorel Bubau,≤100
435619343291695,Daniel Olteanu,Olteanu Daniel,≤100
108144264320553,Timișul merge cu Dobra,Timișul merge cu Dobra,≤100
299447630500100,Antonie Solomon,Antonie Solomon,≤100
811989945849909,Dragoș Cristian Pui,Dragos Pui,≤100
108593177278909,Dumitru Paris,USR Constanța,≤100
103276201121479,Loredana Ciumpe,These ads ran without a disclaimer,≤100
110323433649148,Fanatik News,Fanatik Social Media SRL,≤100
102028844949340,PNL Homorod,PNL Brasov,≤100
874961822629816,Octavian Potolia,Isidor's Software Solutions SRL-D,≤100
110738907431660,Opinia De Florești,Valeria Mihalcea,≤100
107380510645145,Pagina de Năvodari,These ads ran without a disclaimer,≤100
814108118745593,PRO România București Sector 4,PRO România,≤100
137259469989828,Florin Remeţan,Isidor's Software Solutions SRL,≤100
161790827804214,USR Cernavodă,USR Constanța,≤100
104160768091747,Peiu Vlad Pantelimon,One Top Solution SRL,≤100
102155051421320,Nicolau Bogdan Adrian,These ads ran without a disclaimer,≤100
