Page ID,Page Name,Disclaimer,Amount Spent (RON)
212588722543134,Tudor Polak,PNL Vaslui,35366
526411640878009,USR Vaslui,Uniunea Salvați România,33159
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,32757
1695902094040229,Mihai Botez - Deputat USR,Alianța USR PLUS,32371
291177524360702,Partidul Social Democrat,Partidul Social Democrat,30938
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,27206
460424000818954,Marius Arcăleanu,Partidul Naţional Liberal,26515
1116110425071553,PNL Vaslui,PNL Vaslui,21703
178362315106,European Parliament,European Parliament,21046
212588722543134,Tudor Polak,Partidul Naţional Liberal,14353
212588722543134,Tudor Polak,Polak Tudor,14011
104867097968443,Romulus Doru Buhăescu,MUNTEANU MARIUS-CATALIN,10554
107898832590939,European Commission,European Commission,9907
1813553912042306,PRO România Vaslui,PRO România Vaslui,9278
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,9085
492825830749936,Dan Marian,BANU COSTEL-MARIUS,8841
207255636351408,Dan Barna,Uniunea Salvați România - USR,8075
100686145188995,PMP Vaslui,MUNTEANU MARIUS-CATALIN,7363
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,7198
435619343291695,Daniel Olteanu,Olteanu Daniel,6831
435619343291695,Daniel Olteanu,BANU COSTEL-MARIUS,6374
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,6297
108802934359385,Oleg Bodrug,MUNTEANU MARIUS-CATALIN,6116
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,5978
149371012371397,Newsweek Romania,Newsweek Romania,5835
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,5615
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,5523
176989973158138,Guvernare.net,Guvernare.net,5304
1813553912042306,PRO România Vaslui,BANU COSTEL-MARIUS,5120
2546711162025064,Politice.net,politice.net,4290
1504323906337545,Litere.net,litere.net,3880
1695902094040229,Mihai Botez - Deputat USR,Mihai Botez - Deputat USR,3688
181375448581167,Partidul Naţional Liberal,Future Innovation,3417
215087562414626,USR Negrești,Alianța USR PLUS,3348
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,3174
112664490103704,Salvăm România,Salvăm România,3058
1442403166003237,PSD Vaslui,PSD Vaslui,2943
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,2869
651685368265615,PNL Organizatia Municipala Vaslui,PNL Vaslui,2732
1116110425071553,PNL Vaslui,Partidul Naţional Liberal,2664
123526378261795,Stiri Locale,Stiri Locale,2626
526411640878009,USR Vaslui,USR Vaslui,2584
445242878916307,Readlog,Readlog News,2538
178362315106,European Parliament,These ads ran without a disclaimer,2520
551002335232280,Alexandru Nechifor,PNL Husi,2498
1559419040997492,PNL Barlad,PNL Barlad,2376
115223543730170,Ludovic Orban,Partidul Naţional Liberal,2322
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,2292
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,2233
291132089193,Greenpeace Romania,Greenpeace Romania,2070
377172952920126,USR Barlad,Alianța USR PLUS,1930
770704223323599,Dezvoltăm România,Future Innovation,1899
2177244962290894,PRO România,Networld IT&C SRL,1790
551002335232280,Alexandru Nechifor,PNL Vaslui,1729
795022763862618,Viorel Cataramă,Dreapta Liberala,1659
206401763572270,Radu Sorin Cătălin,BANU COSTEL-MARIUS,1656
112571523480822,Un Om Presedinte,Deep Knowledge,1591
