Page ID,Page Name,Disclaimer,Amount Spent (RON)
325161187517978,Marian Oprișan,Marian Oprișan,66358
1780528075550888,USR Vrancea,Uniunea Salvați România - USR,53149
1653699758248627,Ion ȘTEFAN,PNL Vrancea,51826
181375448581167,Partidul Naţional Liberal,Partidul Naţional Liberal,35078
325161187517978,Marian Oprișan,Partidul Social Democrat - Filiala Vrancea,31420
291177524360702,Partidul Social Democrat,Partidul Social Democrat,27759
464633280396762,Catalin Toma,PNL Vrancea,24194
110217267468731,Maricica Vrabie,The Four 0 Five SRL,22687
178362315106,European Parliament,European Parliament,18713
621574984950400,Alianța USR PLUS,Uniunea Salvați România - USR,18391
1386268318173879,PMP Vrancea,Partidul Mișcarea Populară Filiala Vrancea,12491
235874059830840,Consiliul Județean Vrancea,Consiliul Județean Vrancea,11799
227578001357165,Ionel Dancă,PNL VRANCEA,11725
622090851255111,PNL Vrancea,PNL Vrancea,10648
181375448581167,Partidul Naţional Liberal,Partidul National Liberal,10161
1797465233801252,Vrancea,Vrancea Press,9804
107898832590939,European Commission,European Commission,8439
799949990211564,Ramona Ioana Bruynseels,Ramona Ioana Bruynseels,8412
219073074846187,PSD Vrancea,Partidul Social Democrat - Filiala Vrancea,7975
132253820510443,Cristi Valentin Misăilă,PSD - Filiala Vrancea,7669
105643031328400,Raluca Ioan,PNL Vrancea,7597
207255636351408,Dan Barna,Uniunea Salvați România - USR,7265
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,6297
578846169290290,Viorica Vasilica Dăncilă,Partidul Social Democrat,6213
112479373774600,Marius Constantin Budăi,Partidul Social Democrat,5895
101125198290516,Cristian BARBU,PRO Romania Vrancea,5365
108262854291500,Elena Stoica,PSD Vrancea,5344
1653699758248627,Ion ȘTEFAN,Ion ȘTEFAN,5318
149371012371397,Newsweek Romania,Newsweek Romania,5312
275621429636078,Fără Penali în Funcții Publice,Uniunea Salvați România - USR,5223
219073074846187,PSD Vrancea,These ads ran without a disclaimer,5076
176989973158138,Guvernare.net,Guvernare.net,4884
2546711162025064,Politice.net,politice.net,4518
622090851255111,PNL Vrancea,Partidul Naţional Liberal,3982
1504323906337545,Litere.net,litere.net,3866
325161187517978,Marian Oprișan,These ads ran without a disclaimer,3789
105611981254209,Bogdan Gabor,Duoline Studio,3785
112664490103704,Salvăm România,Salvăm România,3602
181375448581167,Partidul Naţional Liberal,Future Innovation,3416
1258483947511599,ALDE Vrancea,ALDE Vrancea,3344
159850657881928,Costel Fotea,Costel Fotea,3311
622090851255111,PNL Vrancea,ETIS Design,3148
1100459663338217,News.ro,News.ro,2845
1653699758248627,Ion ȘTEFAN,These ads ran without a disclaimer,2767
494469087244449,Eugen Tomac,Partidul Mișcarea Populară,2697
108275734406055,Mircea Cătălina Nausica,Iordache F Dragos PFA,2473
445242878916307,Readlog,Readlog News,2375
370688046600465,Liviu Macovei,Macovei Liviu,2363
291132089193,Greenpeace Romania,Greenpeace Romania,2310
1058116737612843,Uniunea Salvați România - USR,Uniunea Salvați România - USR,2247
111284254121702,Nicu Tănase,PNL VRANCEA,2244
178362315106,European Parliament,These ads ran without a disclaimer,2189
115223543730170,Ludovic Orban,Partidul Naţional Liberal,2145
123526378261795,Stiri Locale,Stiri Locale,2116
1725743134306448,Liviu Mălureanu,Liviu Malureanu,2012
1157480384268430,Partidul Puterii Umaniste - Social Liberal,Partidul Puterii Umaniste - Social Liberal,1956
636615956364844,Gabriel Petrea,Petrea Gabriel,1904
2177244962290894,PRO România,Networld IT&C SRL,1817
795022763862618,Viorel Cataramă,Dreapta Liberala,1769
2483623521665421,PLUS Vrancea,PLUS,1678
112571523480822,Un Om Presedinte,Deep Knowledge,1635
770704223323599,Dezvoltăm România,Future Innovation,1622
132253820510443,Cristi Valentin Misăilă,These ads ran without a disclaimer,1620
932511363436611,Cristian Dima,OPYUM ADVERTISING CA SRLD,1570
1585170161775563,PSD Galati,Partidul Social Democrat Galati,1526
632680056744477,Mădălin Blidaru,Madalin Blidaru,1502
132253820510443,Cristi Valentin Misăilă,Cristi Valentin Misăilă,1491
415470028644127,Alexandru Cumpanasu,Simona Cumpanasu,1447
102025778125741,Robert Cazanciuc,Partidul Social Democrat,1444
621574984950400,Alianța USR PLUS,Alianța 2020 USR PLUS,1382
227578001357165,Ionel Dancă,Partidul Naţional Liberal,1363
578846169290290,Viorica Vasilica Dăncilă,These ads ran without a disclaimer,1355
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,EvolveDreamSoft,1221
1769713886444816,Râsu Plânsu,Râsu Plânsu,1186
104794141346248,Augustin Negrut-candidat USR PLUS-Senatul Romaniei,Alianța USR PLUS,1166
235874059830840,Consiliul Județean Vrancea,These ads ran without a disclaimer,1154
180167272027251,B1.ro,B1.ro,1128
227922987222524,Calin Popescu Tariceanu,ALDE,1126
100591571309319,George Adrian Colev,PNL VRANCEA,1097
686190454826244,Declic,Declic,1070
505785196105852,Florian Bodog,Partidul Social Democrat,993
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,970
602280189818804,Mihai Goţiu,Gotiu Remus Mihai,938
150967671609795,Victor Ponta,PRO România,938
425051144215846,Stefan Radu Oprea,Partidul Social Democrat,934
100815365178294,Gina Caba,PLUS Vrancea,933
1933828876850844,Sondaje România,Sondaje.net,929
731035500293728,Siegfried Muresan,Siegfried Muresan,898
107737297713558,PRO Romania Panciu,Robert Cristian - Pro Romania,860
654183651296677,Mircea Diaconu,Alianta UN OM,838
220579784732993,Daniel Buda,Buda Daniel,809
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,806
949310328493328,E5 News,E5News,797
304735519648377,Guvernul României,Crucea Rosie Romana,786
104339127576831,Ziareazi.ro,ziareazi.ro,772
560000794151524,Gavril Claudiu Sorin,Claudiu Sorin Gavril,710
1445317929104549,ALDE - Partidul Alianta Liberalilor si Democratilor,ALDE,709
121736205183882,Vrancea politică,These ads ran without a disclaimer,700
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,653
103445844473825,Alianța pentru Unirea Românilor - AUR,DGI Multimedia Design SRL,653
182546041796641,Costel Alexe,Partidul Naţional Liberal,623
622090851255111,PNL Vrancea,These ads ran without a disclaimer,608
219073074846187,PSD Vrancea,PSD Vrancea,600
117682741602835,Online Report,Online Report,583
243027859216579,Alfred Simonis,Partidul Social Democrat,575
101322554583643,Ciuma Roșie,Ciuma Roșie,560
799949990211564,Ramona Ioana Bruynseels,These ads ran without a disclaimer,549
362877977521642,Partidul Neamul Romanesc,Peia Ninel,549
2177244962290894,PRO România,PRO România,541
1094773083945512,Claudiu Nasui,NASUI CLAUDIU-IULIUS-GAVRIL,521
192813847556849,Catalin Ivan,Partidul Ecologist Român,494
221135531634848,Sebastian POPA,Sebastian Popa,493
1653699758248627,Ion ȘTEFAN,ETIS Design SRL,480
170623543081668,Adrian Oros,Nechita-Adrian Oros,480
272370502030,Comisia Europeană în România,Reprezentanța Comisiei Europene în România,469
163943696987223,Ziarul Puterea,Ziarul Puterea,469
1875528839348774,Dragoș Pîslaru,Dragoș Pîslaru,462
464633280396762,Catalin Toma,Cătălin Toma,447
102173247991605,"Alianța pentru Unirea Românilor, Filiala Vrancea",Simion George-Nicolae,444
591077984699308,Cazinouri Legale,These ads ran without a disclaimer,442
174434106304018,USR Galați,Uniunea Salvați România,441
107371137344664,Împreună Pentru Moldova - Vrancea,Sorin Mădulărea,438
181375448581167,Partidul Naţional Liberal,Future Innovation,437
581911828514783,Partidul Mișcarea Populară,Partidul Mișcarea Populară,429
114685395289559,Andreea Talmazan,Andreea-Cristina Talmazan,428
107898832590939,European Commission,These ads ran without a disclaimer,424
433179246802682,Consiliul Investitorilor Străini - FIC,Consiliul Investitorilor Străini - FIC,422
535445976897124,ALDE BACĂU - Partidul Alianța Liberalilor și Democraților,Partidul Alianța Liberalilor și Democraților - ALDE,416
2212856535602171,George Simion,DGI MULTIMEDIA DESIGN,407
1317563728271610,Ioana Constantin,Partidul Mișcarea Populară,405
107543802616247,Dacian Cioloş,PLUS,403
188485217832992,NewsFalcon,NewsFalcon,396
163950740830769,Gaz De Romania,Gaz De Romania,392
293215748279337,România fără PSD,Future Innovation,378
112365747213795,Petrisor Constantin,Petrisor Constantin,373
8657329535,Telekom Electronic Beats,These ads ran without a disclaimer,371
339365506708219,Departamentul pentru Agricultură și Dezvoltare Rurală al PSD,Partidul Social Democrat,370
1140001842686665,Petre Florin Manole,Partidul Social Democrat,367
138896782840976,Biroul Parlamentului European în România,"Parlamentul European, Biroul de Informare în Romania",361
118156068240867,CEL.ro,CEL.ro,360
370688046600465,Liviu Macovei,These ads ran without a disclaimer,360
360184320712594,Raluca Turcan,PNL Sibiu,358
356331945441602,Nu te lăsa dusă,Andra Anastasia Alexa,354
106979871131701,Marius-Daniel Crăciun,Alianța USR PLUS,341
1653726584879481,Mihai Fifor,Partidul Social Democrat,341
100765991641514,Marian Tinjala,Tinjala Marian,340
325161187517978,Marian Oprișan,Nine Dots Unlimited,339
112651657181398,Zi de zi,Zidezi,334
112664490103704,Salvăm România,These ads ran without a disclaimer,334
1094773083945512,Claudiu Nasui,Uniunea Salvati Romania,320
488333077924354,Expresspress,ExpressPress.ro,312
1769713886444816,Râsu Plânsu,These ads ran without a disclaimer,312
106823474084256,Iulian Mircea,Iulian Mircea,311
574372066308729,Basism,Grupul de Investigatii Politice,310
104564208038906,Bogdan Lădaru,PLUS Vrancea,301
136440113400763,Bogdan Rodeanu,Bogdan Rodeanu,297
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,294
143378845861681,PNL Mures,PNL Mures,288
602280189818804,Mihai Goţiu,These ads ran without a disclaimer,284
103445844473825,Alianța pentru Unirea Românilor - AUR,Simion George-Nicolae,281
621574984950400,Alianța USR PLUS,These ads ran without a disclaimer,278
428923027871330,Consiliul Național PSD,Partidul Social Democrat,278
2443020582586584,Romania Eficienta,Romania Eficienta,275
501922796520976,Recolamp,Recolamp,271
1903580739951981,PLUS,PLUS,269
112332998808842,Cristian Bușoi,Rus Alexandra,261
296173713739483,Partidul Ecologist Roman,Silviu Rus,261
364446500390294,Ilan Laufer,Ilan Laufer,259
150967671609795,Victor Ponta,Partidul PRO România București,257
360184320712594,Raluca Turcan,Partidul Naţional Liberal,254
2365342553558020,Daniel Ionașcu,Partidul Puterii Umaniste - Social Liberal,253
1572019133014738,Gabriel Toncean,Gabriel Toncean,253
466827930500863,Costel-Neculai Dunava,Partidul Social Democrat - Organizatia Judeteana Bacau,251
227922987222524,Calin Popescu Tariceanu,EvolveDreamSoft,251
186189095155067,Epure Alexandru Ciprian,Epure Alexandru-Ciprian,247
111049194090703,Prea mult si niciodata destul,Books Lead SRL,245
201920416986321,EM360 Studio,EM360 cu Adi Maniutiu,243
279280712669378,Alianța Anticorupție din România,These ads ran without a disclaimer,242
275621429636078,Fără Penali în Funcții Publice,Fără Penali în Funcții Publice,241
1881461575305499,Dreapta Liberală - DL,Dreapta Liberala,240
165452684079944,Sătui,IOANITA MARIN-IOANA,239
1128229287275038,Silvia Dinică,Silvia Dinică,229
144439666313596,Știri 365,Știri 365,227
293059364228212,TEMI News,These ads ran without a disclaimer,223
105611981254209,Bogdan Gabor,These ads ran without a disclaimer,223
138896782840976,Biroul Parlamentului European în România,Biroul Parlamentului European în România,222
624376714433486,Trezirea Spirituala,These ads ran without a disclaimer,218
2212856535602171,George Simion,George Simion,214
281341562263123,Cristina Prună,PRUNA CRISTINA-MADALINA,212
602280189818804,Mihai Goţiu,Partidul Uniunea Salvati Romania,212
100686145188995,PMP Vaslui,MUNTEANU MARIUS-CATALIN,211
261202277284497,Theodor Paleologu,Partidul Mișcarea Populară,210
102224901203452,USR Focsani,Macovei Liviu,204
1067102103381405,PMP - Județul Buzău,PMP - Județul Buzău,201
361235817223309,Traian Băsescu,Partidul Miscarea Populara Bucureşti,198
100617325232524,Alege un brad,Partidul Ecologist Român,195
168243139877442,BZI,BZI,194
2021287728125919,Stiri de Azi,Stiri de Azi,192
277640775918817,Suraia Tânără,These ads ran without a disclaimer,191
1653726584879481,Mihai Fifor,These ads ran without a disclaimer,191
1572019133014738,Gabriel Toncean,PNL Mures,189
1393858224186762,Novahouse.ro,These ads ran without a disclaimer,188
101633397996641,Constantin Florescu,Constantin Florescu,187
252950101538687,PNL Cluj,PNL Cluj,186
1805963862837704,Adevărul Românesc,These ads ran without a disclaimer,186
291177524360702,Partidul Social Democrat,These ads ran without a disclaimer,184
1156150484398630,MozaiQ,MozaiQ,183
418397358314460,Dosar de Politician,Popescu Cristian,181
1877390129210103,Demis Rusu,Rusu Demis,181
1641765056062575,Virgil Popescu,POPESCU VIRGIL-DANIEL,181
141366725876424,European Greens,European Greens,180
957697044264281,Partidul Bunului Simț=Partidul Normalitații Internaționale,These ads ran without a disclaimer,179
364996840328403,Asociația Liga Albanezilor din România,ALAR,177
175293925828191,Kelemen Hunor,RMDSZ,177
770704223323599,Dezvoltăm România,These ads ran without a disclaimer,175
113801786691411,Finantarea Ideilor de Afaceri Romanesti,These ads ran without a disclaimer,174
207255636351408,Dan Barna,These ads ran without a disclaimer,174
181375448581167,Partidul Naţional Liberal,These ads ran without a disclaimer,171
965141730341598,Alternativa pentru Demnitate Națională  - ADN,Alternativa pentru Demnitate Nationala - ADN,169
104867097968443,Romulus Doru Buhăescu,MUNTEANU MARIUS-CATALIN,168
125895557433232,evz.ro,evz.ro,167
109849657256655,60m.RO,60m.RO,167
147547541961576,Council of the European Union,Council of the European Union,166
292847028010932,Aresel,Tudor Adrian,166
230785173665770,Nicușor Dan,Nicușor Dan,165
939093039450192,PS News,PS News,165
100658794826152,Moraru Mihai Razvan,PLUS Buzau,163
118745168285753,Marian Pavel,Marian Pavel,163
1852364238326923,Laura-Iuliana Scântei,PNL IASI,162
1572019133014738,Gabriel Toncean,These ads ran without a disclaimer,160
176989973158138,Guvernare.net,These ads ran without a disclaimer,160
1058116737612843,Uniunea Salvați România - USR,These ads ran without a disclaimer,160
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,159
196347590385196,NewsGroup.biz,News-Group.biz,156
1272603089536010,Compatibilitate.ro,These ads ran without a disclaimer,155
1852364238326923,Laura-Iuliana Scântei,Laura-Iuliana Scântei,155
561008947384710,PSD Buzau,Partidul Social Democrat Buzau CMF11200020,154
102891614958050,Revoluția V,Social Media Academy,153
979547832069760,PNL Galati,PNL Galati,153
256383721668316,Fonduri Europene,These ads ran without a disclaimer,153
104339127576831,Ziareazi.ro,These ads ran without a disclaimer,152
104975117567190,Toma Corunt,These ads ran without a disclaimer,151
293705614001972,Ileana Cristina Dumitrache,PSD Constanta CMF 11200020,151
339365506708219,Departamentul pentru Agricultură și Dezvoltare Rurală al PSD,These ads ran without a disclaimer,149
522518014611632,Andrei Pop,Andrei Pop,148
148993498505135,PNL Prahova,PNL Prahova,148
505785196105852,Florian Bodog,Tild Consulting SRL,146
106302366059916,Salvati Copiii Romania,Salvati Copiii Romania,145
729627343834501,Kialo,These ads ran without a disclaimer,145
418397358314460,Dosar de Politician,Silviu Mănăstire,144
123745931793119,Informează-te,These ads ran without a disclaimer,143
329619180721358,Cosette Chichirău,Chichirau Cosette-Paula,142
1698496200468482,Constantin Codreanu,These ads ran without a disclaimer,139
377838292845619,Cherish Humanity,Cherish Humanity,139
129099573815915,TeamDeals,These ads ran without a disclaimer,139
501241386727395,Radu Nicolescu,Radu Nicolescu,139
341019783073747,iqŞtiri,These ads ran without a disclaimer,138
919353428122457,Noua Românie - PNR,Noua Românie - PNR,136
1719567741620517,România Politică,These ads ran without a disclaimer,136
131027970242795,Capital România,Capital România,136
118002303387364,Maricel Lazăr Primar,Maricel Lazăr,136
131238253608762,ROM Autentic,ROM Autentic,135
701269053385884,Stiri Romania,These ads ran without a disclaimer,134
302902656782475,Cristian Ghica,Cristian Ghica,133
412473149183859,PSD Judetul Constanta,PSD Judetul Constanta,129
872508899534866,Gelu Panfil,Gelu Panfil,129
1794842367460623,Super Cazino,These ads ran without a disclaimer,128
101151975050484,Organizatia PSD Panciu,Organizatia PSD Panciu,125
108818130851166,Andrei Lupu,PLUS Prahova,125
581911828514783,Partidul Mișcarea Populară,Amerisoft,124
1551100608459864,Cristina Traila,Cristina Traila,122
399782660185699,OK Medical,OK Medical,121
389526374826372,Cadouri de hartie veche,These ads ran without a disclaimer,121
453872838277213,Stiri Politice,These ads ran without a disclaimer,120
1698496200468482,Constantin Codreanu,Constantin Codreanu,120
282004838539253,JUST Ideas SRL,JUST Ideas SRL,118
102352978338289,Refinanteaza.ro,REFINANTEAZA RO,117
102891614958050,Revoluția V,These ads ran without a disclaimer,117
1818721128360253,Enel Group,These ads ran without a disclaimer,117
136440113400763,Bogdan Rodeanu,These ads ran without a disclaimer,116
101151975050484,Organizatia PSD Panciu,These ads ran without a disclaimer,116
104749024638046,Freya Home,Freya Home,114
376808162779895,Marius Tudor,Marius Tudor,114
208455526258094,Radu Preda,Partidul Social Democrat,114
227922987222524,Calin Popescu Tariceanu,These ads ran without a disclaimer,113
293215748279337,România fără PSD,These ads ran without a disclaimer,110
183087692172986,Raluca Amariei,USR Sibiu,110
