Page ID,Page Name,Disclaimer,Amount Spent (SEK)
608975645850217,Vattenfall Sverige,Vattenfall Group,186697
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,179474
382243262003,Plan International Sverige,Plan International Sverige,101297
369122343101775,e.on,e.on,84890
643137272398136,Sverige för UNHCR,Sverige för UNHCR,82013
72659261793,Rädda Barnen,Rädda Barnen,67395
1630862710497879,Oatly,Oatly,65394
59324455950,UNICEF Sverige,UNICEF Sverige,57479
111630258867610,Röda Korset,Röda Korset,54612
179931025357058,Kommunal,Kommunal,51792
151159271594797,Systembolaget,Systembolaget,49258
126567104406,Hyresgästföreningen,Hyresgästföreningen,42421
8040892957,Socialdemokraterna,Socialdemokraterna,40249
95735961890,Greenpeace Sverige,Greenpeace Sverige,38735
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,37074
149155351773944,SEB,SEB,37046
178362315106,European Parliament,European Parliament,35131
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,34921
111764372185015,Libero Sverige,Libero Sverige,33311
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),29258
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,28252
269875318990,Bixia,Bixia,26627
676246449160270,Sverigedemokraterna,Sverigedemokraterna,26059
236879092476,Håll Sverige Rent,Håll Sverige Rent,25381
12690894340,Centerpartiet,Centerpartiet,23516
154369674717313,Socialdemokraterna Blekinge,Johansson Jan Magnus,22835
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,22777
1976528729039324,NRC Sverige,NRC Sverige,22736
369582590803,ETC-tidningarna,ETC-tidningarna,22330
7719591155,Moderaterna,Moderaterna,22196
275809699509029,Fairlo,Fairlo AB,21187
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,21121
109886133732943,RESCUE - Sverige,RESCUE - Sverige,20098
208619589270223,Nextory,Nextory,19488
124201680936949,Telge Energi,Telge Energi,19220
162985227114132,Skellefteå Kraft,Skellefteå Kraft,19116
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,16518
18880778360,ActionAid Sweden,ActionAid Sweden,16369
24574889995,Charlie Weimers MEP,Charlie Weimers,16303
1173808162671999,En bättre framtid,Plan International Sverige,15512
42676805259,Diakonia,Diakonia,14621
45101268520,SSU,SSU,14208
