Page ID,Page Name,Disclaimer,Amount Spent (SEK)
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,95716
608975645850217,Vattenfall Sverige,Vattenfall Group,75869
382243262003,Plan International Sverige,Plan International Sverige,53399
643137272398136,Sverige för UNHCR,Sverige för UNHCR,47603
72659261793,Rädda Barnen,Rädda Barnen,33165
95735961890,Greenpeace Sverige,Greenpeace Sverige,29017
279974638809211,Oxfam Sverige,Oxfam Sverige,28480
111630258867610,Röda Korset,Röda Korset,28062
59324455950,UNICEF Sverige,UNICEF Sverige,27202
1630862710497879,Oatly,Oatly,23589
188821514474911,Preem,Preem,22225
151159271594797,Systembolaget,Systembolaget,19529
369582590803,ETC-tidningarna,ETC-tidningarna,18612
126567104406,Hyresgästföreningen,Hyresgästföreningen,18396
179931025357058,Kommunal,Kommunal,15762
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,15549
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,14118
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),13631
109886133732943,RESCUE - Sverige,RESCUE - Sverige,12639
2171970199486213,Jesper Skalberg Karlsson,Skalberg Karlsson Jesper Jens J,11710
111764372185015,Libero Sverige,Libero Sverige,11664
149155351773944,SEB,SEB,11608
178362315106,European Parliament,European Parliament,11605
1375539726041747,Kristdemokraterna på Gotland,Kristdemokraterna på Gotland,11268
306038566179485,Moderaterna Gotland,Moderaterna Gotland,10987
356032977210,Vi-skogen,Vi-skogen,10243
18880778360,ActionAid Sweden,ActionAid Sweden,10166
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,10137
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,9892
12690894340,Centerpartiet,Centerpartiet,9736
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,8740
42676805259,Diakonia,Diakonia,8693
220092701363623,ICA Maxi,ICA Maxi,8441
124201680936949,Telge Energi,Telge Energi,8377
1173808162671999,En bättre framtid,Plan International Sverige,8305
369122343101775,e.on,e.on,7650
236879092476,Håll Sverige Rent,Håll Sverige Rent,7349
208619589270223,Nextory,Nextory,7321
1976528729039324,NRC Sverige,NRC Sverige,7269
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,7242
275809699509029,Fairlo,Fairlo AB,7196
182610765125197,Socialdemokraterna Gotland,Andersson Charlotte Kristina,7100
8040892957,Socialdemokraterna,Socialdemokraterna,7088
513330082107760,Centerpartiet Gotland,Ahlin Siv Eva Marie,6820
676246449160270,Sverigedemokraterna,Sverigedemokraterna,6808
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,6791
369337099772743,Skanska Sverige,Skanska Sverige,6481
269875318990,Bixia,Bixia,6444
162985227114132,Skellefteå Kraft,Skellefteå Kraft,6321
7719591155,Moderaterna,Moderaterna,6285
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,6071
91818886532,We Effect,We Effect,6032
150057951690751,OKQ8,OKQ8,5899
161213770567846,Operation Smile Sverige,Operation Smile Sverige,5399
17775970938,Cancerfonden,Cancerfonden,5321
115198178364,Kristdemokraterna,Kristdemokraterna,5247
379686162129542,Svea Ekonomi,Svea Ekonomi,5053
638005553032221,Hammarby Sjöstad 2.0,Rickard Dahlstrand,4979
1818298128486692,Gabriella Hammarskjöld - C,Hammarskjold Eva Gabriella,4775
1737852076287450,Valmyndigheten,Valmyndigheten,4752
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,4650
133910158381,Saco,Saco,4588
1577598732458905,Vänsterpartiet Gotland,These ads ran without a disclaimer,4492
109886133732943,RESCUE - Sverige,RESCUE – Sverige,4459
294378704099,FELIX,FELIX,4458
45101268520,SSU,SSU,4421
191359334218856,Internetstiftelsen,Internetstiftelsen,4389
153270724787,Amnesty International Sverige,Amnesty International Sverige,4274
186038296018,BoKlok Sverige,BoKlok Sverige,4248
59324455950,UNICEF Sverige,These ads ran without a disclaimer,4081
133498356708433,Cementa,Cementa,3960
334933870387484,Eva Ahlin - Centerpartist,Ahlin Siv Eva Marie,3933
1797724450537743,GoClimate,Go Climate Neutral,3918
108184264291841,Frankful,Frankful,3782
237187386324119,Frälsningsarmén,Frälsningsarmén,3729
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,3704
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,3684
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,3673
186513678039755,Fortum Sverige,Fortum Sverige,3577
1409496505838142,Doktor.se,These ads ran without a disclaimer,3419
412192732132640,ECPAT Sverige,ECPAT Sverige,3277
608975645850217,Vattenfall Sverige,These ads ran without a disclaimer,3210
175656912484553,Unionen,Unionen,3126
261455205686,LRF,LRF,3015
24574889995,Charlie Weimers MEP,Charlie Weimers,2979
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,2953
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,2816
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,2800
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,2651
717523045086468,Johanna Jaara Åstrand,Lärarförbundet,2637
101031531768338,Mer än ett leende,Operation Smile Sverige,2618
133536819999319,SOS Barnbyar,SOS Barnbyar,2569
643137272398136,Sverige för UNHCR,Viva Media,2539
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,2534
171884817870,Lärarförbundet,Lärarförbundet,2428
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,2399
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,2367
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,2311
163820136238,LO Sverige,LO Sverige,2308
208619589270223,Nextory,These ads ran without a disclaimer,2303
107661276615407,Enkla Kassen,Enkla Kassen,2281
314283591054,Byggnads,Byggnads,2276
323156205347,Vänsterpartiet,Vänsterpartiet,2242
126840196572,Kia Motors Sweden,Kia Motors Sweden,2228
507821365927958,Svemin,Svemin,2176
116032393137834,Jessica Stegrud MEP,Jessica J Stegrud,2128
176407156115,OLW,OLW,2112
122769781081764,Vy Flygbussarna,These ads ran without a disclaimer,2079
175843834306,WaterAid Sverige,WaterAid Sverige,2061
399863096781774,Mind,Mind,2057
178362315106,European Parliament,These ads ran without a disclaimer,2028
935167936599501,CSN,CSN,2021
131257053599743,AMF,AMF,2009
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,1967
602053453278014,NIBE,NIBE,1946
108492218918,IF Metall,IF Metall,1930
107898832590939,European Commission,European Commission,1915
2194546487442221,Neste,Neste,1887
455521331205717,Arvsfonden,Arvsfonden,1875
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,1793
132266740623,Liberalerna,Liberalerna,1779
105235179512713,WW ViktVäktarna,WW ViktVäktarna,1771
160499987718510,Kulturaktiebolaget,Ki Sandholm,1730
291973617241,Ben & Jerry's,Ben & Jerry's,1704
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,1703
347852331958080,En Företagares Vardag,Eriksson Mats Ove,1678
496067290759872,LRF Jag bryr mig,LRF Jag bryr mig,1668
178945208783463,Willys,Willys,1603
1545369075688158,Brottsofferjouren Sverige,Projekt Swevic,1578
152343168813435,Informationscentrum för hållbart byggande,Informationscentrum för hållbart byggande,1565
211654172200965,Pantamera,Pantamera,1524
1451330355093804,Myndigheten för delaktighet,Myndigheten för delaktighet,1510
113006852188985,IM Individuell Människohjälp,IM Individuell Människohjälp,1507
829011830554926,Premium Lifestyle Club,Jonas Eriksson,1503
328337361307099,Lars Thomsson - Riksdagsledamot C,Thomsson Lars Peter,1498
293679875824,Svenska FN-förbundet,Svenska FN-förbundet,1484
19746853632,Djurens Rätt,Djurens Rätt,1464
1177015185803869,Textilsmart,Naturvårdsverket,1443
110813562940,Vision,Vision,1416
19746853632,Djurens Rätt,These ads ran without a disclaimer,1397
249195615122371,Sara Skyttedal,Sara Skyttedal,1347
151450234896857,Barndiabetesfonden,Barndiabetesfonden,1292
280875784474,Löfbergs,Löfbergs,1278
212049035488183,The Hunger Project Sverige,Hungerprojektet,1267
513330082107760,Centerpartiet Gotland,Centerpartiet Gotland,1263
601924389861969,Svea Solar Sverige,These ads ran without a disclaimer,1261
554520268281045,Doconomy,Doconomy,1230
153028052500,Kvinna till Kvinna,Kvinna till Kvinna,1201
280313835329493,Officersförbundet,Officersförbundet,1175
799634660143537,Arbetsmarknadsnytt,Arbetsmarknadsnytt,1158
148926808494478,Synsam,Synsam Sverige,1100
116898726366043,Skatteverket - Företag,Skatteverket - Företag,1098
273053169937029,ClimateHero,ClimateHero,1076
113710601984970,Barnfonden,Barnfonden,1066
1909176449301715,Svenskt Näringsliv Stockholms och Gotlands län,Svenskt Näringsliv,1049
15223945415,Svenska kyrkan,Svenska kyrkan,1047
171919835807,TCO,TCO,1032
270592853332987,Alternativ för Sverige,Alternativ för Sverige,1030
104868656264137,Quorn,These ads ran without a disclaimer,1022
234172635050,Forum för levande historia,Forum för levande historia,1015
182595121869724,Sverigedemokraterna Stockholms stad,Sverigedemokraterna Stockholms stad,1015
110605492300,RFSL,RFSL,1010
1423533084624587,Sverigedemokraterna Gotland,These ads ran without a disclaimer,994
614939535271869,Tobias Baudin,Kommunal,991
399044617221,Läraren,Lärarnas tidning,982
361313524734299,Alivia,Alivia,976
1884410665176817,Frösunda Personlig Assistans,Quist Martin Wetiono,974
1544485135838767,Svenskt Näringsliv Mellansverige,Svenskt Näringsliv Mellansverige,969
273053169937029,ClimateHero,ClimateHero AB,965
1591202340989596,Bygg Klimatsmart,Informationscentrum för hållbart byggande,960
150057951690751,OKQ8,These ads ran without a disclaimer,960
2337692372925538,Reformisterna,Reformisterna,951
116155191929039,Gårdssällskapet,Gårdssällskapet,936
334318366655425,Facebook,Facebook,921
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",916
191293334563233,Clio,Clio,908
661702230515862,Ebba Busch,Kristdemokraterna,889
