Page ID,Page Name,Disclaimer,Amount Spent (SEK)
608975645850217,Vattenfall Sverige,Vattenfall Group,418535
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,337357
382243262003,Plan International Sverige,Plan International Sverige,198014
643137272398136,Sverige för UNHCR,Sverige för UNHCR,173772
72659261793,Rädda Barnen,Rädda Barnen,139061
1630862710497879,Oatly,Oatly,118807
59324455950,UNICEF Sverige,UNICEF Sverige,115386
111630258867610,Röda Korset,Röda Korset,108774
151159271594797,Systembolaget,Systembolaget,98126
179931025357058,Kommunal,Kommunal,95494
126567104406,Hyresgästföreningen,Hyresgästföreningen,93883
95735961890,Greenpeace Sverige,Greenpeace Sverige,79606
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,76053
8040892957,Socialdemokraterna,Socialdemokraterna,74897
149155351773944,SEB,SEB,73215
178362315106,European Parliament,European Parliament,66981
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,66857
111764372185015,Libero Sverige,Libero Sverige,66167
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),59284
369122343101775,e.on,e.on,55707
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,53153
369582590803,ETC-tidningarna,ETC-tidningarna,51112
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,50835
1976528729039324,NRC Sverige,NRC Sverige,49027
269875318990,Bixia,Bixia,48460
442263832573462,MittJobb,MittJobb,48080
115148865168902,Moderaterna i Gävleborg,Moderaterna Gävleborg,47709
275809699509029,Fairlo,Fairlo AB,45980
676246449160270,Sverigedemokraterna,Sverigedemokraterna,45979
12690894340,Centerpartiet,Centerpartiet,45587
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,45063
109886133732943,RESCUE - Sverige,RESCUE - Sverige,43920
208619589270223,Nextory,Nextory,41435
124201680936949,Telge Energi,Telge Energi,39647
276115645732500,Socialdemokraterna i Gävle,Socialdemokraterna i Gävle,39236
236879092476,Håll Sverige Rent,Håll Sverige Rent,38799
18880778360,ActionAid Sweden,ActionAid Sweden,36810
162985227114132,Skellefteå Kraft,Skellefteå Kraft,36448
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,35292
42676805259,Diakonia,Diakonia,35205
7719591155,Moderaterna,Moderaterna,33781
150057951690751,OKQ8,OKQ8,33379
1173808162671999,En bättre framtid,Plan International Sverige,30687
17775970938,Cancerfonden,Cancerfonden,27602
1737852076287450,Valmyndigheten,Valmyndigheten,26194
161213770567846,Operation Smile Sverige,Operation Smile Sverige,25969
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,25797
379686162129542,Svea Ekonomi,Svea Ekonomi,25539
356032977210,Vi-skogen,Vi-skogen,25379
186513678039755,Fortum Sverige,Fortum Sverige,25076
45101268520,SSU,SSU,24818
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,24353
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,22775
24574889995,Charlie Weimers MEP,Charlie Weimers,22771
294378704099,FELIX,FELIX,21730
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,21380
608975645850217,Vattenfall Sverige,These ads ran without a disclaimer,21293
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,21132
115198178364,Kristdemokraterna,Kristdemokraterna,21083
279974638809211,Oxfam Sverige,Oxfam Sverige,20630
345384912242426,Sverigedemokraterna Gävleborg,These ads ran without a disclaimer,20510
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,20348
108184264291841,Frankful,Frankful,20190
191359334218856,Internetstiftelsen,Internetstiftelsen,19991
1409496505838142,Doktor.se,These ads ran without a disclaimer,19770
103487509736810,Socialdemokraterna i  Gävleborg,Socialdemokraterna i Gävleborg,19329
237187386324119,Frälsningsarmén,Frälsningsarmén,18870
91818886532,We Effect,We Effect,18186
175656912484553,Unionen,Unionen,17892
108492218918,IF Metall,IF Metall,16661
116032393137834,Jessica Stegrud MEP,Jessica J Stegrud,15880
137604056369425,Vänsterpartiet Gävleborg,Vänsterpartiet Gävleborg,15540
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,15388
602053453278014,NIBE,NIBE,14931
109886133732943,RESCUE - Sverige,RESCUE – Sverige,14830
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,14795
163820136238,LO Sverige,LO Sverige,14089
314283591054,Byggnads,Byggnads,13310
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,13097
153270724787,Amnesty International Sverige,Amnesty International Sverige,12853
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,12785
208619589270223,Nextory,These ads ran without a disclaimer,12551
643137272398136,Sverige för UNHCR,Viva Media,12531
126840196572,Kia Motors Sweden,Kia Motors Sweden,12076
132266740623,Liberalerna,Liberalerna,11987
133536819999319,SOS Barnbyar,SOS Barnbyar,11887
171884817870,Lärarförbundet,Lärarförbundet,11756
176407156115,OLW,OLW,11528
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,11370
105235179512713,WW ViktVäktarna,WW ViktVäktarna,11116
2194546487442221,Neste,Neste,11060
717523045086468,Johanna Jaara Åstrand,Lärarförbundet,11011
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,10975
107898832590939,European Commission,European Commission,10943
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,10897
935167936599501,CSN,CSN,10849
412192732132640,ECPAT Sverige,ECPAT Sverige,10649
131257053599743,AMF,AMF,10558
466722986850260,Kolla Byggtjänst,Svensk Byggtjänst,10362
399863096781774,Mind,Mind,10080
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,10012
175843834306,WaterAid Sverige,WaterAid Sverige,9915
178362315106,European Parliament,These ads ran without a disclaimer,9801
261455205686,LRF,LRF,9764
291973617241,Ben & Jerry's,Ben & Jerry's,9738
323156205347,Vänsterpartiet,Vänsterpartiet,9522
840264879353861,Ellevio,Jonatan Björck,9097
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,9065
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,8896
101031531768338,Mer än ett leende,Operation Smile Sverige,8818
1797724450537743,GoClimate,Go Climate Neutral,8728
211654172200965,Pantamera,Pantamera,8675
1545369075688158,Brottsofferjouren Sverige,Projekt Swevic,8561
554520268281045,Doconomy,Doconomy,8479
188821514474911,Preem,Preem,8119
377620908986237,Moderaterna Gävle,Moderaterna Gävle,7900
110813562940,Vision,Vision,7842
178945208783463,Willys,Willys,7801
249195615122371,Sara Skyttedal,Sara Skyttedal,7666
280875784474,Löfbergs,Löfbergs,7518
133910158381,Saco,Saco,7468
329885883718979,Stefan Löfven,Socialdemokraterna,7417
270592853332987,Alternativ för Sverige,Alternativ för Sverige,7177
496067290759872,LRF Jag bryr mig,LRF Jag bryr mig,7095
705784979507713,Colabitoil,These ads ran without a disclaimer,7028
19746853632,Djurens Rätt,These ads ran without a disclaimer,6823
182933185135,Skogsindustrierna,Skogsindustrierna,6783
113006852188985,IM Individuell Människohjälp,IM Individuell Människohjälp,6740
1133304143374162,Tullverket,KSMG,6596
293679875824,Svenska FN-förbundet,Svenska FN-förbundet,6588
150057951690751,OKQ8,These ads ran without a disclaimer,6486
152343168813435,Informationscentrum för hållbart byggande,Informationscentrum för hållbart byggande,6407
148926808494478,Synsam,Synsam Sverige,6291
151450234896857,Barndiabetesfonden,Barndiabetesfonden,6249
104868656264137,Quorn,These ads ran without a disclaimer,6178
1177015185803869,Textilsmart,Naturvårdsverket,6036
601924389861969,Svea Solar Sverige,These ads ran without a disclaimer,6035
19746853632,Djurens Rätt,Djurens Rätt,5953
614939535271869,Tobias Baudin,Kommunal,5952
279970125947483,Jobba hos oss - Region Uppsala,KSMG,5913
113710601984970,Barnfonden,Barnfonden,5882
255497147555,Outnorth,Outnorth,5854
116898726366043,Skatteverket - Företag,Skatteverket - Företag,5545
115148865168902,Moderaterna i Gävleborg,These ads ran without a disclaimer,5476
829011830554926,Premium Lifestyle Club,Jonas Eriksson,5456
280313835329493,Officersförbundet,Officersförbundet,5362
212049035488183,The Hunger Project Sverige,Hungerprojektet,5288
1884410665176817,Frösunda Personlig Assistans,Quist Martin Wetiono,5229
153028052500,Kvinna till Kvinna,Kvinna till Kvinna,5210
1591202340989596,Bygg Klimatsmart,Informationscentrum för hållbart byggande,5139
234172635050,Forum för levande historia,Forum för levande historia,5054
799634660143537,Arbetsmarknadsnytt,Arbetsmarknadsnytt,5035
661702230515862,Ebba Busch,Kristdemokraterna,5021
361313524734299,Alivia,Alivia,5020
15223945415,Svenska kyrkan,Svenska kyrkan,4999
1465260950218747,LO-distriktet i Dalarna och Gävleborg,LO-distriktet i Dalarna och Gävleborg,4985
237287320360804,Omtanke.today,Jenny Fors,4967
399044617221,Läraren,Lärarnas tidning,4870
110605492300,RFSL,RFSL,4828
1557508081238895,Dagens Samhälle Jobb & Karriär,Dagens Samhälle,4797
334318366655425,Facebook,Facebook,4767
135535579842556,Läkarförbundet,Läkarförbundet,4758
118943054880945,Annie Lööf,Centerpartiet,4753
191293334563233,Clio,Clio,4744
119647334855044,Telinet Energi Sverige,Telinet,4577
171919835807,TCO,TCO,4574
177342259513521,Otovo Solar,These ads ran without a disclaimer,4568
347852331958080,En Företagares Vardag,Eriksson Mats Ove,4550
2337692372925538,Reformisterna,Reformisterna,4527
369337099772743,Skanska Sverige,Skanska Sverige,4525
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,4389
59324455950,UNICEF Sverige,These ads ran without a disclaimer,4388
194584990588253,Vattenfall,Vattenfall Sverige,4377
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",4351
229936971031161,S i världen- En rättvis värld är möjlig,Socialdemokraterna,4310
141366725876424,European Greens,European Greens,4269
176407156115,OLW,These ads ran without a disclaimer,4225
116155191929039,Gårdssällskapet,Gårdssällskapet,4210
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,4186
355672478378995,Myndigheten för arbetsmiljökunskap,Myndigheten för arbetsmiljökunskap,4050
155535611147164,GS,GS-facket,4017
127624557250669,Miljöpartiet de gröna Gävle,Johansson Evelina Sofia,3977
119450207545,Almega,Almega AB,3951
273053169937029,ClimateHero,ClimateHero,3916
107898832590939,European Commission,These ads ran without a disclaimer,3912
952158124988143,Pinky Pine,These ads ran without a disclaimer,3889
103915918247717,Bulletin,Bulletin,3823
161091412206,Friluftsfrämjandet,Friluftsfrämjandet,3720
273053169937029,ClimateHero,ClimateHero AB,3639
139767876088719,Skandia,Skandia,3626
365318283559965,Spotify,Spotify,3615
56002955332,Jörgen Warborn,Moderaterna,3562
120477444659925,Svensk Handel,Svensk Handel,3546
150980231653371,Anders W Jonsson Centerpartiet,Anders W Jonsson,3507
140417992681511,Clowner utan Gränser,Clowner utan Gränser,3499
101732614555355,Freebo Sverige,Freebo AB,3440
208417569188397,Centerpartiet i Hudiksvall,Centerpartiet i Hudiksvall,3407
109724707089757,Barndom utan baksmälla,Barndom utan baksmälla,3385
1509050235995572,Said till Europaparlamentet,Liberalernas riksorganisation,3380
182933185135,Skogsindustrierna,Skogsindustrierna,3377
135251863288,Polisförbundet,Polisförbundet,3348
22561206841,MAX Burgers,Max Burgers,3345
273644476088862,Fiat,FCA Sweden,3322
101046821819253,Planethjältar,WWF,3259
207890945895422,Jordens Vänner / Friends of the Earth Sweden,Jordens Vänner / Friends of the Earth Sweden,3256
161513867384504,Giving People,Giving People,3247
496067290759872,LRF Jag bryr mig,These ads ran without a disclaimer,3242
142635305886763,IKEM Innovations- och kemiindustrierna i Sverige,Johan Erik Kinnman,3237
115403725210334,Hand in Hand Sweden,Hand in Hand Sweden,3207
710383215713602,Special Nest,Special Nest,3194
1346402725428641,Eco Fashion By Wilma,Wilma of Sweden AB,3171
208751565805849,Stiftelsen Expo,Stiftelsen Expo,3107
502186816505247,Mercy Ships Sverige,Mercy Ships Sverige,3105
124406344329453,Hyundai Sverige,These ads ran without a disclaimer,3056
