Page ID,Page Name,Disclaimer,Amount Spent (SEK)
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,398489
608975645850217,Vattenfall Sverige,Vattenfall Group,346275
382243262003,Plan International Sverige,Plan International Sverige,221461
643137272398136,Sverige för UNHCR,Sverige för UNHCR,184711
72659261793,Rädda Barnen,Rädda Barnen,133731
59324455950,UNICEF Sverige,UNICEF Sverige,116346
1630862710497879,Oatly,Oatly,115037
111630258867610,Röda Korset,Röda Korset,112439
369122343101775,e.on,e.on,94317
151159271594797,Systembolaget,Systembolaget,90730
95735961890,Greenpeace Sverige,Greenpeace Sverige,87841
179931025357058,Kommunal,Kommunal,82666
149155351773944,SEB,SEB,79001
126567104406,Hyresgästföreningen,Hyresgästföreningen,72883
111764372185015,Libero Sverige,Libero Sverige,68513
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,65874
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,63411
178362315106,European Parliament,European Parliament,61449
8040892957,Socialdemokraterna,Socialdemokraterna,56846
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,54148
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),54063
236879092476,Håll Sverige Rent,Håll Sverige Rent,50109
232873963389824,Göteborg Energi,OMD Sweden,49876
109886133732943,RESCUE - Sverige,RESCUE - Sverige,48963
369582590803,ETC-tidningarna,ETC-tidningarna,44788
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,43885
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,43016
329938067056917,Socialdemokraterna Halland,Socialdemokraterna,41705
12690894340,Centerpartiet,Centerpartiet,41309
1976528729039324,NRC Sverige,NRC Sverige,41135
162985227114132,Skellefteå Kraft,Skellefteå Kraft,39490
269875318990,Bixia,Bixia,39310
7719591155,Moderaterna,Moderaterna,38905
186513678039755,Fortum Sverige,Fortum Sverige,36532
1173808162671999,En bättre framtid,Plan International Sverige,36028
124201680936949,Telge Energi,Telge Energi,35110
676246449160270,Sverigedemokraterna,Sverigedemokraterna,34715
208619589270223,Nextory,Nextory,34695
275809699509029,Fairlo,Fairlo AB,34141
18880778360,ActionAid Sweden,ActionAid Sweden,33739
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,29490
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,29110
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,28979
42676805259,Diakonia,Diakonia,27155
56002955332,Jörgen Warborn,Moderaterna,26963
45101268520,SSU,SSU,24235
150057951690751,OKQ8,OKQ8,23939
17775970938,Cancerfonden,Cancerfonden,22896
356032977210,Vi-skogen,Vi-skogen,22814
1409496505838142,Doktor.se,These ads ran without a disclaimer,22678
161213770567846,Operation Smile Sverige,Operation Smile Sverige,21518
108184264291841,Frankful,Frankful,21505
1737852076287450,Valmyndigheten,Valmyndigheten,21084
379686162129542,Svea Ekonomi,Svea Ekonomi,21075
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,20881
294378704099,FELIX,FELIX,19575
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,19225
24574889995,Charlie Weimers MEP,Charlie Weimers,18891
115198178364,Kristdemokraterna,Kristdemokraterna,18534
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,18028
191359334218856,Internetstiftelsen,Internetstiftelsen,17881
