Page ID,Page Name,Disclaimer,Amount Spent (SEK)
608975645850217,Vattenfall Sverige,Vattenfall Group,194864
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,181785
382243262003,Plan International Sverige,Plan International Sverige,104238
643137272398136,Sverige för UNHCR,Sverige för UNHCR,91929
72659261793,Rädda Barnen,Rädda Barnen,68354
1630862710497879,Oatly,Oatly,54995
111630258867610,Röda Korset,Röda Korset,54100
59324455950,UNICEF Sverige,UNICEF Sverige,52367
95735961890,Greenpeace Sverige,Greenpeace Sverige,45117
151159271594797,Systembolaget,Systembolaget,45097
8040892957,Socialdemokraterna,Socialdemokraterna,44694
179931025357058,Kommunal,Kommunal,40068
126567104406,Hyresgästföreningen,Hyresgästföreningen,39907
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,34677
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,32026
178362315106,European Parliament,European Parliament,31024
149155351773944,SEB,SEB,30575
369582590803,ETC-tidningarna,ETC-tidningarna,29078
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),29066
111764372185015,Libero Sverige,Libero Sverige,26783
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,25942
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,25919
12690894340,Centerpartiet,Centerpartiet,22794
109886133732943,RESCUE - Sverige,RESCUE - Sverige,21432
124201680936949,Telge Energi,Telge Energi,20779
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,20765
573954772674425,Miljöpartiet de gröna Jämtland Härjedalen,Miljöpartiet de gröna Jämtland/Härjedalen,20452
18880778360,ActionAid Sweden,ActionAid Sweden,20208
676246449160270,Sverigedemokraterna,Sverigedemokraterna,19871
369122343101775,e.on,e.on,19647
1976528729039324,NRC Sverige,NRC Sverige,18702
208619589270223,Nextory,Nextory,17332
150057951690751,OKQ8,OKQ8,17218
1173808162671999,En bättre framtid,Plan International Sverige,16804
236879092476,Håll Sverige Rent,Håll Sverige Rent,16800
7719591155,Moderaterna,Moderaterna,16573
608975645850217,Vattenfall Sverige,These ads ran without a disclaimer,16517
42676805259,Diakonia,Diakonia,15805
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,15557
269875318990,Bixia,Bixia,14904
356032977210,Vi-skogen,Vi-skogen,14483
162985227114132,Skellefteå Kraft,Skellefteå Kraft,14395
275809699509029,Fairlo,Fairlo AB,13989
262656093762675,Östersunds kommun,Östersunds kommun,13473
161213770567846,Operation Smile Sverige,Operation Smile Sverige,12804
17775970938,Cancerfonden,Cancerfonden,12600
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,12462
1737852076287450,Valmyndigheten,Valmyndigheten,12169
45101268520,SSU,SSU,11652
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,11525
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,10929
579711522048424,Region Jämtland Härjedalen,KSMG,10724
191359334218856,Internetstiftelsen,Internetstiftelsen,10652
379686162129542,Svea Ekonomi,Svea Ekonomi,10188
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,10045
294378704099,FELIX,FELIX,9875
186513678039755,Fortum Sverige,Fortum Sverige,9828
279974638809211,Oxfam Sverige,Oxfam Sverige,9789
108184264291841,Frankful,Frankful,9484
91818886532,We Effect,We Effect,9353
24574889995,Charlie Weimers MEP,Charlie Weimers,9322
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,8917
115198178364,Kristdemokraterna,Kristdemokraterna,8860
237187386324119,Frälsningsarmén,Frälsningsarmén,8722
109886133732943,RESCUE - Sverige,RESCUE – Sverige,8145
163820136238,LO Sverige,LO Sverige,7492
153270724787,Amnesty International Sverige,Amnesty International Sverige,7115
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,6957
1374982916162154,"Svenska kyrkan Brunflo, Lockne, Marieby och Näs","Svenska kyrkan Brunflo, Lockne, Marieby och Näs",6936
116032393137834,Jessica Stegrud MEP,Jessica J Stegrud,6911
175656912484553,Unionen,Unionen,6897
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,6803
1409496505838142,Doktor.se,These ads ran without a disclaimer,6767
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,6697
1797724450537743,GoClimate,Go Climate Neutral,6609
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,6504
602053453278014,NIBE,NIBE,6140
323156205347,Vänsterpartiet,Vänsterpartiet,5956
314283591054,Byggnads,Byggnads,5858
133536819999319,SOS Barnbyar,SOS Barnbyar,5821
171884817870,Lärarförbundet,Lärarförbundet,5801
261455205686,LRF,LRF,5793
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,5770
643137272398136,Sverige för UNHCR,Viva Media,5765
2194546487442221,Neste,Neste,5759
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,5598
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,5527
176407156115,OLW,OLW,5428
442263832573462,MittJobb,MittJobb,5417
329885883718979,Stefan Löfven,Socialdemokraterna,5344
208619589270223,Nextory,These ads ran without a disclaimer,5260
412192732132640,ECPAT Sverige,ECPAT Sverige,5237
108492218918,IF Metall,IF Metall,5198
107898832590939,European Commission,European Commission,5135
136394529763205,Moderaterna i Jämtlands län,Mattsson Jan Anders Lennart,5053
935167936599501,CSN,CSN,4968
126840196572,Kia Motors Sweden,Kia Motors Sweden,4913
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,4871
175843834306,WaterAid Sverige,WaterAid Sverige,4859
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,4826
178362315106,European Parliament,These ads ran without a disclaimer,4778
131257053599743,AMF,AMF,4734
717523045086468,Johanna Jaara Åstrand,Lärarförbundet,4661
276637759146677,Kristdemokraterna Jämtlands Län,Kristdemokraterna i Jämtlands län,4595
513152295411062,Socialdemokraterna Jämtlands län,Socialdemokraterna Jämtlands län,4501
116155191929039,Gårdssällskapet,Gårdssällskapet,4482
150057951690751,OKQ8,These ads ran without a disclaimer,4420
399863096781774,Mind,Mind,4400
182933185135,Skogsindustrierna,Skogsindustrierna,4350
101031531768338,Mer än ett leende,Operation Smile Sverige,4249
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,4156
211654172200965,Pantamera,Pantamera,4094
291973617241,Ben & Jerry's,Ben & Jerry's,4082
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,4006
188821514474911,Preem,Preem,3975
132266740623,Liberalerna,Liberalerna,3958
573954772674425,Miljöpartiet de gröna Jämtland Härjedalen,These ads ran without a disclaimer,3913
105235179512713,WW ViktVäktarna,WW ViktVäktarna,3913
1133304143374162,Tullverket,KSMG,3842
152343168813435,Informationscentrum för hållbart byggande,Informationscentrum för hållbart byggande,3755
249195615122371,Sara Skyttedal,Sara Skyttedal,3683
1545369075688158,Brottsofferjouren Sverige,Projekt Swevic,3679
157164123601,Trafikverket,Trafikverket,3658
234172635050,Forum för levande historia,Forum för levande historia,3620
369337099772743,Skanska Sverige,Skanska Sverige,3610
270592853332987,Alternativ för Sverige,Alternativ för Sverige,3583
133910158381,Saco,Saco,3571
496067290759872,LRF Jag bryr mig,LRF Jag bryr mig,3539
255497147555,Outnorth,Outnorth,3525
121396547892591,Centerpartiet i Jämtlands län,Fallman Eva Kristina Jeanette,3500
113006852188985,IM Individuell Människohjälp,IM Individuell Människohjälp,3468
110813562940,Vision,Vision,3378
190336946528,Jämtkraft AB,Jämtkraft AB,3362
705784979507713,Colabitoil,These ads ran without a disclaimer,3227
