Page ID,Page Name,Disclaimer,Amount Spent (SEK)
608975645850217,Vattenfall Sverige,Vattenfall Group,278422
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,274097
382243262003,Plan International Sverige,Plan International Sverige,149763
643137272398136,Sverige för UNHCR,Sverige för UNHCR,133851
369122343101775,e.on,e.on,126911
72659261793,Rädda Barnen,Rädda Barnen,104477
1630862710497879,Oatly,Oatly,94838
8040892957,Socialdemokraterna,Socialdemokraterna,89455
59324455950,UNICEF Sverige,UNICEF Sverige,86766
111630258867610,Röda Korset,Röda Korset,82853
151159271594797,Systembolaget,Systembolaget,73708
179931025357058,Kommunal,Kommunal,72232
126567104406,Hyresgästföreningen,Hyresgästföreningen,62143
95735961890,Greenpeace Sverige,Greenpeace Sverige,61033
269875318990,Bixia,Bixia,56383
149155351773944,SEB,SEB,54223
111764372185015,Libero Sverige,Libero Sverige,52989
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,52860
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,52843
178362315106,European Parliament,European Parliament,49130
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),43527
236879092476,Håll Sverige Rent,Håll Sverige Rent,43221
306226252825576,Centerpartiet Kalmar län,Centerpartiet Kalmar län,42418
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,36376
109886133732943,RESCUE - Sverige,RESCUE - Sverige,35911
1976528729039324,NRC Sverige,NRC Sverige,35290
369582590803,ETC-tidningarna,ETC-tidningarna,35004
12690894340,Centerpartiet,Centerpartiet,34576
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,33352
676246449160270,Sverigedemokraterna,Sverigedemokraterna,32629
275809699509029,Fairlo,Fairlo AB,32188
313670340133,Västerviks kommun,Sara Nordling,31577
7719591155,Moderaterna,Moderaterna,28597
208619589270223,Nextory,Nextory,28033
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,27910
124201680936949,Telge Energi,Telge Energi,27659
162985227114132,Skellefteå Kraft,Skellefteå Kraft,27291
117200235024372,Sverigedemokraterna Kalmar län,SD Kalmar län,26592
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,24326
18880778360,ActionAid Sweden,ActionAid Sweden,24050
1173808162671999,En bättre framtid,Plan International Sverige,22883
42676805259,Diakonia,Diakonia,22735
45101268520,SSU,SSU,21098
150057951690751,OKQ8,OKQ8,20847
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,20291
117200235024372,Sverigedemokraterna Kalmar län,Kotanen Mika Erik,20207
159513904100440,Moderaterna i Kalmar län,Hemgard Lars Peter,20000
