Page ID,Page Name,Disclaimer,Amount Spent (SEK)
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,223227
608975645850217,Vattenfall Sverige,Vattenfall Group,217808
382243262003,Plan International Sverige,Plan International Sverige,124870
643137272398136,Sverige för UNHCR,Sverige för UNHCR,116676
72659261793,Rädda Barnen,Rädda Barnen,88798
59324455950,UNICEF Sverige,UNICEF Sverige,79836
111630258867610,Röda Korset,Röda Korset,79680
1630862710497879,Oatly,Oatly,76478
369122343101775,e.on,e.on,74027
179931025357058,Kommunal,Kommunal,58120
151159271594797,Systembolaget,Systembolaget,57815
149155351773944,SEB,SEB,47604
111764372185015,Libero Sverige,Libero Sverige,46786
126567104406,Hyresgästföreningen,Hyresgästföreningen,46521
95735961890,Greenpeace Sverige,Greenpeace Sverige,46437
178362315106,European Parliament,European Parliament,42446
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,41009
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,39056
269875318990,Bixia,Bixia,38095
109886133732943,RESCUE - Sverige,RESCUE - Sverige,35273
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),34190
8040892957,Socialdemokraterna,Socialdemokraterna,33766
236879092476,Håll Sverige Rent,Håll Sverige Rent,31648
1976528729039324,NRC Sverige,NRC Sverige,31326
119432911402994,Socialdemokraterna i Växjö,Per Jodenius,28953
369582590803,ETC-tidningarna,ETC-tidningarna,28299
12690894340,Centerpartiet,Centerpartiet,27750
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,27654
153985509353,Holmgrens Bil,Holmgrens Bil,27543
792860810851424,Vänsterpartiet Kronoberg,Vänsterpartiet Kronoberg,25511
162985227114132,Skellefteå Kraft,Skellefteå Kraft,25131
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,24993
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,23733
7719591155,Moderaterna,Moderaterna,23655
676246449160270,Sverigedemokraterna,Sverigedemokraterna,23514
124201680936949,Telge Energi,Telge Energi,22776
275809699509029,Fairlo,Fairlo AB,21714
18880778360,ActionAid Sweden,ActionAid Sweden,20705
208619589270223,Nextory,Nextory,20469
1173808162671999,En bättre framtid,Plan International Sverige,19860
42676805259,Diakonia,Diakonia,19198
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,18732
45101268520,SSU,SSU,17089
150057951690751,OKQ8,OKQ8,16824
379686162129542,Svea Ekonomi,Svea Ekonomi,16429
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,16425
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,15850
1737852076287450,Valmyndigheten,Valmyndigheten,15433
356032977210,Vi-skogen,Vi-skogen,15324
