Page ID,Page Name,Disclaimer,Amount Spent (SEK)
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,1810476
608975645850217,Vattenfall Sverige,Vattenfall Group,1562667
382243262003,Plan International Sverige,Plan International Sverige,1075285
643137272398136,Sverige för UNHCR,Sverige för UNHCR,1007351
72659261793,Rädda Barnen,Rädda Barnen,688968
369122343101775,e.on,e.on,688615
111630258867610,Röda Korset,Röda Korset,640669
59324455950,UNICEF Sverige,UNICEF Sverige,598410
1630862710497879,Oatly,Oatly,566868
126567104406,Hyresgästföreningen,Hyresgästföreningen,434375
95735961890,Greenpeace Sverige,Greenpeace Sverige,432473
151159271594797,Systembolaget,Systembolaget,411934
149155351773944,SEB,SEB,410759
179931025357058,Kommunal,Kommunal,397949
111764372185015,Libero Sverige,Libero Sverige,345636
178362315106,European Parliament,European Parliament,333302
119962554717759,Skåne Stadsmission,Skåne Stadsmission,315395
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,314153
109886133732943,RESCUE - Sverige,RESCUE - Sverige,303128
236879092476,Håll Sverige Rent,Håll Sverige Rent,296789
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,290619
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,283614
269875318990,Bixia,Bixia,270670
186513678039755,Fortum Sverige,Fortum Sverige,268861
369582590803,ETC-tidningarna,ETC-tidningarna,247585
1976528729039324,NRC Sverige,NRC Sverige,243239
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),241778
130666626950917,Öresundskraft,Öresundskraft,233378
8040892957,Socialdemokraterna,Socialdemokraterna,220007
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,219234
12690894340,Centerpartiet,Centerpartiet,208100
126245644082634,Malmömoderaterna,Malmömoderaterna,197145
275809699509029,Fairlo,Fairlo AB,193078
1173808162671999,En bättre framtid,Plan International Sverige,184023
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,182622
162985227114132,Skellefteå Kraft,Skellefteå Kraft,176229
18880778360,ActionAid Sweden,ActionAid Sweden,172852
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,172085
7719591155,Moderaterna,Moderaterna,171724
676246449160270,Sverigedemokraterna,Sverigedemokraterna,169084
124201680936949,Telge Energi,Telge Energi,164097
208619589270223,Nextory,Nextory,151923
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,134854
45101268520,SSU,SSU,134601
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,134358
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,129839
42676805259,Diakonia,Diakonia,128852
1409496505838142,Doktor.se,These ads ran without a disclaimer,128570
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,124632
379686162129542,Svea Ekonomi,Svea Ekonomi,122127
356032977210,Vi-skogen,Vi-skogen,119490
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,117974
24574889995,Charlie Weimers MEP,Charlie Weimers,116850
1737852076287450,Valmyndigheten,Valmyndigheten,109265
150057951690751,OKQ8,OKQ8,108365
279974638809211,Oxfam Sverige,Oxfam Sverige,105437
108184264291841,Frankful,Frankful,102133
17775970938,Cancerfonden,Cancerfonden,99657
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,97717
91818886532,We Effect,We Effect,94685
294378704099,FELIX,FELIX,94472
161213770567846,Operation Smile Sverige,Operation Smile Sverige,93443
712230305617939,Uniper i Sverige,Uniper i Sverige,92855
109886133732943,RESCUE - Sverige,RESCUE – Sverige,87570
643137272398136,Sverige för UNHCR,Viva Media,87456
608975645850217,Vattenfall Sverige,These ads ran without a disclaimer,86153
1177015185803869,Textilsmart,Naturvårdsverket,84769
115198178364,Kristdemokraterna,Kristdemokraterna,83964
153270724787,Amnesty International Sverige,Amnesty International Sverige,82850
191359334218856,Internetstiftelsen,Internetstiftelsen,81419
175656912484553,Unionen,Unionen,80477
602053453278014,NIBE,NIBE,77515
113710601984970,Barnfonden,Barnfonden,77417
237187386324119,Frälsningsarmén,Frälsningsarmén,77006
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,76429
1797724450537743,GoClimate,Go Climate Neutral,75729
369337099772743,Skanska Sverige,Skanska Sverige,68820
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,68423
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,66666
935167936599501,CSN,CSN,64377
176407156115,OLW,OLW,63032
116032393137834,Jessica Stegrud MEP,Jessica J Stegrud,62999
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,62789
133536819999319,SOS Barnbyar,SOS Barnbyar,59539
107898832590939,European Commission,European Commission,58952
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Region Skåne,57983
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,57203
359717099551,Audi Sverige,These ads ran without a disclaimer,57075
108492218918,IF Metall,IF Metall,55454
171884817870,Lärarförbundet,Lärarförbundet,54664
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Skåne,54341
132266740623,Liberalerna,Liberalerna,54178
105235179512713,WW ViktVäktarna,WW ViktVäktarna,53960
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,53944
126840196572,Kia Motors Sweden,Kia Motors Sweden,53855
188821514474911,Preem,Preem,51817
133910158381,Saco,Saco,51792
291973617241,Ben & Jerry's,Ben & Jerry's,50877
178362315106,European Parliament,These ads ran without a disclaimer,49945
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,49296
208619589270223,Nextory,These ads ran without a disclaimer,49177
131257053599743,AMF,AMF,48098
2048371868720619,Cell Solar Nordic AB,Filip Waak,47985
102414309949126,Socialdemokraterna i Skåne,Socialdemokraterna i Skåne,46882
399863096781774,Mind,Mind,45940
175843834306,WaterAid Sverige,WaterAid Sverige,45605
412192732132640,ECPAT Sverige,ECPAT Sverige,45575
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,45297
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,44978
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,44565
163820136238,LO Sverige,LO Sverige,43963
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,43898
188083881300722,Adacta Advokatbyrå,Adacta Advokatbyrå AB,43445
403347429763161,Sverigedemokraterna Helsingborg,Andersson Lars Pontus,43178
1757191391203190,Proethos fond,Proethos AB,42901
2194546487442221,Neste,Neste,42817
211654172200965,Pantamera,Pantamera,42595
182933185135,Skogsindustrierna,Skogsindustrierna,41869
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,41753
101031531768338,Mer än ett leende,Operation Smile Sverige,41236
178945208783463,Willys,Willys,40962
314283591054,Byggnads,Byggnads,40863
554520268281045,Doconomy,Doconomy,40516
717523045086468,Johanna Jaara Åstrand,Lärarförbundet,40307
1545369075688158,Brottsofferjouren Sverige,Projekt Swevic,40084
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,38948
294444197371898,Byggnads Skåne,Sjoberg Jonas Fredrik,38581
161302754576832,Magnus Thulin,Thulin Magnus Nils Oscar,36897
