Page ID,Page Name,Disclaimer,Amount Spent (SEK)
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,4133409
608975645850217,Vattenfall Sverige,Vattenfall Group,2699533
643137272398136,Sverige för UNHCR,Sverige för UNHCR,2339570
382243262003,Plan International Sverige,Plan International Sverige,2274607
72659261793,Rädda Barnen,Rädda Barnen,1412486
39211568070,Stockholms Stadsmission,Stockholms Stadsmission,1323723
111630258867610,Röda Korset,Röda Korset,1316026
59324455950,UNICEF Sverige,UNICEF Sverige,1201866
95735961890,Greenpeace Sverige,Greenpeace Sverige,1023404
149155351773944,SEB,SEB,808766
1630862710497879,Oatly,Oatly,806263
126567104406,Hyresgästföreningen,Hyresgästföreningen,773790
186513678039755,Fortum Sverige,Fortum Sverige,747944
109886133732943,RESCUE - Sverige,RESCUE - Sverige,710302
369582590803,ETC-tidningarna,ETC-tidningarna,621079
151159271594797,Systembolaget,Systembolaget,614328
236879092476,Håll Sverige Rent,Håll Sverige Rent,562012
179931025357058,Kommunal,Kommunal,554920
111764372185015,Libero Sverige,Libero Sverige,522095
178362315106,European Parliament,European Parliament,507080
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,490599
18880778360,ActionAid Sweden,ActionAid Sweden,484944
1173808162671999,En bättre framtid,Plan International Sverige,437271
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,430738
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),412926
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,387478
1976528729039324,NRC Sverige,NRC Sverige,369080
202436601104,Transportstyrelsen,Transportstyrelsen,349333
369122343101775,e.on,e.on,338073
269875318990,Bixia,Bixia,332260
12690894340,Centerpartiet,Centerpartiet,316244
124201680936949,Telge Energi,Telge Energi,316208
225975657531513,Moderaterna i Södertälje kommun,Lukas Patrik Hållkvist,311816
162985227114132,Skellefteå Kraft,Skellefteå Kraft,299580
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,298130
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,297906
279974638809211,Oxfam Sverige,Oxfam Sverige,294125
8040892957,Socialdemokraterna,Socialdemokraterna,286545
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,272790
275809699509029,Fairlo,Fairlo AB,272694
45101268520,SSU,SSU,261149
42676805259,Diakonia,Diakonia,258286
356032977210,Vi-skogen,Vi-skogen,254631
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,252958
175656912484553,Unionen,Unionen,247026
1409496505838142,Doktor.se,These ads ran without a disclaimer,226126
1797724450537743,GoClimate,Go Climate Neutral,223421
7719591155,Moderaterna,Moderaterna,220665
176875999028086,Kristdemokraterna Stockholm,Kristdemokraterna Stockholm,214225
291973617241,Ben & Jerry's,Ben & Jerry's,213780
379686162129542,Svea Ekonomi,Svea Ekonomi,208775
208619589270223,Nextory,Nextory,207654
109886133732943,RESCUE - Sverige,RESCUE – Sverige,206173
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,199675
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,193697
150057951690751,OKQ8,OKQ8,192002
1177015185803869,Textilsmart,Naturvårdsverket,186617
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,181416
91818886532,We Effect,We Effect,180560
676246449160270,Sverigedemokraterna,Sverigedemokraterna,179081
117056501654820,Socialdemokraterna i Stockholm,Socialdemokraterna i Stockholm,177716
161213770567846,Operation Smile Sverige,Operation Smile Sverige,173143
108184264291841,Frankful,Frankful,171490
643137272398136,Sverige för UNHCR,Viva Media,166407
