Page ID,Page Name,Disclaimer,Amount Spent (SEK)
104760926229060,Uppsala kommun,Uppsala kommun,752034
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,595796
608975645850217,Vattenfall Sverige,Vattenfall Group,525734
643137272398136,Sverige för UNHCR,Sverige för UNHCR,325414
382243262003,Plan International Sverige,Plan International Sverige,318406
72659261793,Rädda Barnen,Rädda Barnen,204556
479236215426943,Sverigedemokraterna Uppland,Sverigedemokraterna Uppland,192457
111630258867610,Röda Korset,Röda Korset,188640
59324455950,UNICEF Sverige,UNICEF Sverige,164653
1630862710497879,Oatly,Oatly,142069
1649460475294700,Sverigedemokraterna Uppsala,SD Uppsala,140483
95735961890,Greenpeace Sverige,Greenpeace Sverige,135390
151159271594797,Systembolaget,Systembolaget,106541
179931025357058,Kommunal,Kommunal,103799
149155351773944,SEB,SEB,102575
126567104406,Hyresgästföreningen,Hyresgästföreningen,98921
109886133732943,RESCUE - Sverige,RESCUE - Sverige,88705
369582590803,ETC-tidningarna,ETC-tidningarna,83643
236879092476,Håll Sverige Rent,Håll Sverige Rent,83594
178362315106,European Parliament,European Parliament,83476
111764372185015,Libero Sverige,Libero Sverige,82357
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,81457
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,79098
994177054102488,Klimatlätt,Salgado,76705
8040892957,Socialdemokraterna,Socialdemokraterna,71262
186513678039755,Fortum Sverige,Fortum Sverige,70219
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),68798
18880778360,ActionAid Sweden,ActionAid Sweden,66705
369122343101775,e.on,e.on,62692
12690894340,Centerpartiet,Centerpartiet,56645
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,55877
1173808162671999,En bättre framtid,Plan International Sverige,54794
1976528729039324,NRC Sverige,NRC Sverige,54304
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,53275
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,51592
269875318990,Bixia,Bixia,50407
124201680936949,Telge Energi,Telge Energi,49882
202436601104,Transportstyrelsen,Transportstyrelsen,47042
162985227114132,Skellefteå Kraft,Skellefteå Kraft,43721
42676805259,Diakonia,Diakonia,43240
208619589270223,Nextory,Nextory,42524
45101268520,SSU,SSU,42040
275809699509029,Fairlo,Fairlo AB,41893
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,41541
7719591155,Moderaterna,Moderaterna,39786
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,37951
261049637294871,Länsförsäkringar Uppsala,Länsförsäkringar Uppsala,37709
356032977210,Vi-skogen,Vi-skogen,37445
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,37419
676246449160270,Sverigedemokraterna,Sverigedemokraterna,37065
608975645850217,Vattenfall Sverige,These ads ran without a disclaimer,33957
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,33260
150057951690751,OKQ8,OKQ8,30940
91818886532,We Effect,We Effect,29940
279974638809211,Oxfam Sverige,Oxfam Sverige,28895
1177015185803869,Textilsmart,Naturvårdsverket,28782
379686162129542,Svea Ekonomi,Svea Ekonomi,28525
108184264291841,Frankful,Frankful,27877
1797724450537743,GoClimate,Go Climate Neutral,27114
1409496505838142,Doktor.se,These ads ran without a disclaimer,27091
1737852076287450,Valmyndigheten,Valmyndigheten,26828
153270724787,Amnesty International Sverige,Amnesty International Sverige,26487
17775970938,Cancerfonden,Cancerfonden,25897
161213770567846,Operation Smile Sverige,Operation Smile Sverige,25666
115198178364,Kristdemokraterna,Kristdemokraterna,25004
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,24964
109886133732943,RESCUE - Sverige,RESCUE – Sverige,24580
294378704099,FELIX,FELIX,24389
191359334218856,Internetstiftelsen,Internetstiftelsen,23698
123109694434847,Näringsliv Uppsala,Uppsala kommun,23474
175656912484553,Unionen,Unionen,23077
643137272398136,Sverige för UNHCR,Viva Media,22328
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,21835
24574889995,Charlie Weimers MEP,Charlie Weimers,21678
237187386324119,Frälsningsarmén,Frälsningsarmén,19443
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,18660
935167936599501,CSN,CSN,18494
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,18460
479236215426943,Sverigedemokraterna Uppland,These ads ran without a disclaimer,17964
133536819999319,SOS Barnbyar,SOS Barnbyar,17911
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,17284
279970125947483,Jobba hos oss - Region Uppsala,KSMG,17281
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,16753
176407156115,OLW,OLW,16553
345022472221904,Medicinhistoriska museet i Uppsala,These ads ran without a disclaimer,16131
126840196572,Kia Motors Sweden,Kia Motors Sweden,15857
412192732132640,ECPAT Sverige,ECPAT Sverige,15628
174949672555149,Socialdemokraterna i Uppsala,Socialdemokraterna i Uppsala,14996
467374630087356,Maria Weimer,Weimer Maria Eva Margareta,14896
2194546487442221,Neste,Neste,14818
132266740623,Liberalerna,Liberalerna,14641
107898832590939,European Commission,European Commission,14600
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,14261
291973617241,Ben & Jerry's,Ben & Jerry's,14027
178362315106,European Parliament,These ads ran without a disclaimer,13999
171884817870,Lärarförbundet,Lärarförbundet,13771
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,13507
602053453278014,NIBE,NIBE,13388
208619589270223,Nextory,These ads ran without a disclaimer,13367
163291010383123,Uppsala Stadsmission,Salgado,13360
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,13355
359717099551,Audi Sverige,These ads ran without a disclaimer,13088
108492218918,IF Metall,IF Metall,13062
39211568070,Stockholms Stadsmission,Stockholms Stadsmission,12957
133910158381,Saco,Saco,12758
116032393137834,Jessica Stegrud MEP,Jessica J Stegrud,12634
209680479955838,Uppsala brandförsvar,Uppsala kommun,12630
101031531768338,Mer än ett leende,Operation Smile Sverige,12604
760092737373457,Liberalerna Region Uppsala,Emerse,12591
131257053599743,AMF,AMF,12177
105235179512713,WW ViktVäktarna,WW ViktVäktarna,12172
153028052500,Kvinna till Kvinna,Kvinna till Kvinna,12097
182933185135,Skogsindustrierna,Skogsindustrierna,12032
188821514474911,Preem,Preem,11824
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,11742
107661276615407,Enkla Kassen,Enkla Kassen,11689
175843834306,WaterAid Sverige,WaterAid Sverige,11532
399863096781774,Mind,Mind,11448
1047016558650888,Yrkesdörren,ÖppnaDörren,11435
314283591054,Byggnads,Byggnads,11433
211654172200965,Pantamera,Pantamera,11308
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,11232
163820136238,LO Sverige,LO Sverige,11208
