Page ID,Page Name,Disclaimer,Amount Spent (SEK)
608975645850217,Vattenfall Sverige,Vattenfall Group,376503
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,334952
382243262003,Plan International Sverige,Plan International Sverige,184025
643137272398136,Sverige för UNHCR,Sverige för UNHCR,160077
72659261793,Rädda Barnen,Rädda Barnen,124567
1630862710497879,Oatly,Oatly,118090
24574889995,Charlie Weimers MEP,Charlie Weimers,111988
59324455950,UNICEF Sverige,UNICEF Sverige,101245
111630258867610,Röda Korset,Röda Korset,99319
8040892957,Socialdemokraterna,Socialdemokraterna,98471
151159271594797,Systembolaget,Systembolaget,93273
126567104406,Hyresgästföreningen,Hyresgästföreningen,92192
179931025357058,Kommunal,Kommunal,89813
95735961890,Greenpeace Sverige,Greenpeace Sverige,77179
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,69222
149155351773944,SEB,SEB,68841
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,63668
111764372185015,Libero Sverige,Libero Sverige,62374
178362315106,European Parliament,European Parliament,60572
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),56943
336384546384299,Sverigedemokraterna Värmlands län,Grahn Mats Andreas Johnny,55349
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,52366
236879092476,Håll Sverige Rent,Håll Sverige Rent,51632
369122343101775,e.on,e.on,51360
369582590803,ETC-tidningarna,ETC-tidningarna,46133
12690894340,Centerpartiet,Centerpartiet,43034
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,42351
411824305172,Säffle kommun,Säffle kommun,41110
1976528729039324,NRC Sverige,NRC Sverige,40107
275809699509029,Fairlo,Fairlo AB,39796
109886133732943,RESCUE - Sverige,RESCUE - Sverige,39527
676246449160270,Sverigedemokraterna,Sverigedemokraterna,39072
208619589270223,Nextory,Nextory,37993
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,37548
124201680936949,Telge Energi,Telge Energi,35528
7719591155,Moderaterna,Moderaterna,35189
162985227114132,Skellefteå Kraft,Skellefteå Kraft,32420
18880778360,ActionAid Sweden,ActionAid Sweden,32008
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,31247
42676805259,Diakonia,Diakonia,30947
150057951690751,OKQ8,OKQ8,29331
269875318990,Bixia,Bixia,28166
1173808162671999,En bättre framtid,Plan International Sverige,27998
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,26626
186513678039755,Fortum Sverige,Fortum Sverige,25638
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,25122
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,25057
17775970938,Cancerfonden,Cancerfonden,24971
1737852076287450,Valmyndigheten,Valmyndigheten,24368
45101268520,SSU,SSU,24332
356032977210,Vi-skogen,Vi-skogen,22893
161213770567846,Operation Smile Sverige,Operation Smile Sverige,22504
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,22077
379686162129542,Svea Ekonomi,Svea Ekonomi,21963
108184264291841,Frankful,Frankful,20090
1409496505838142,Doktor.se,These ads ran without a disclaimer,19983
294378704099,FELIX,FELIX,19769
201659616523774,Liberalerna Värmland,Liberalerna Värmland,19642
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,19168
336384546384299,Sverigedemokraterna Värmlands län,Sverigedemokraterna Värmlands län,19084
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,19025
191359334218856,Internetstiftelsen,Internetstiftelsen,18843
175656912484553,Unionen,Unionen,18546
115198178364,Kristdemokraterna,Kristdemokraterna,17906
280875784474,Löfbergs,Löfbergs,17798
91818886532,We Effect,We Effect,17747
237187386324119,Frälsningsarmén,Frälsningsarmén,17185
279974638809211,Oxfam Sverige,Oxfam Sverige,16636
153386171353294,LRF Västra Sverige,LRF Västra Sverige,16176
108492218918,IF Metall,IF Metall,15797
608975645850217,Vattenfall Sverige,These ads ran without a disclaimer,15001
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,14833
178945208783463,Willys,Willys,14796
325179334216792,Miljöpartiet de gröna i Värmland,Miljöpartiet de gröna i Värmland,13462
116032393137834,Jessica Stegrud MEP,Jessica J Stegrud,13437
109886133732943,RESCUE - Sverige,RESCUE – Sverige,13404
126840196572,Kia Motors Sweden,Kia Motors Sweden,13059
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,12914
602053453278014,NIBE,NIBE,12903
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,12534
153270724787,Amnesty International Sverige,Amnesty International Sverige,12460
175210052576699,Länsstyrelsen Värmland,Länsstyrelsen Värmland,12452
171884817870,Lärarförbundet,Lärarförbundet,12347
329885883718979,Stefan Löfven,Socialdemokraterna,11659
208619589270223,Nextory,These ads ran without a disclaimer,11635
163820136238,LO Sverige,LO Sverige,11566
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,11490
176407156115,OLW,OLW,11379
935167936599501,CSN,CSN,11340
105235179512713,WW ViktVäktarna,WW ViktVäktarna,10971
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,10945
314283591054,Byggnads,Byggnads,10845
133536819999319,SOS Barnbyar,SOS Barnbyar,10719
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,10508
643137272398136,Sverige för UNHCR,Viva Media,10461
273755455974802,Socialdemokraterna Värmland,Socialdemokraterna Värmland,10324
107898832590939,European Commission,European Commission,10229
131257053599743,AMF,AMF,10092
717523045086468,Johanna Jaara Åstrand,Lärarförbundet,10037
412192732132640,ECPAT Sverige,ECPAT Sverige,9748
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,9621
178362315106,European Parliament,These ads ran without a disclaimer,9588
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,9510
261455205686,LRF,LRF,9429
175210052576699,Länsstyrelsen Värmland,These ads ran without a disclaimer,9314
1177015185803869,Textilsmart,Naturvårdsverket,9299
1797724450537743,GoClimate,Go Climate Neutral,9297
2194546487442221,Neste,Neste,9291
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,9252
291973617241,Ben & Jerry's,Ben & Jerry's,9214
840264879353861,Ellevio,Jonatan Björck,9095
1417370158528344,Socialdemokraterna Grums,Socialdemokraterna Grums kommun,9012
399863096781774,Mind,Mind,8851
211654172200965,Pantamera,Pantamera,8689
182933185135,Skogsindustrierna,Skogsindustrierna,8640
