Page ID,Page Name,Disclaimer,Amount Spent (SEK)
371791194529,Världsnaturfonden WWF,Världsnaturfonden WWF,378910
608975645850217,Vattenfall Sverige,Vattenfall Group,368704
382243262003,Plan International Sverige,Plan International Sverige,208583
643137272398136,Sverige för UNHCR,Sverige för UNHCR,198965
8040892957,Socialdemokraterna,Socialdemokraterna,157487
72659261793,Rädda Barnen,Rädda Barnen,146521
111630258867610,Röda Korset,Röda Korset,126594
1630862710497879,Oatly,Oatly,120331
59324455950,UNICEF Sverige,UNICEF Sverige,116895
369122343101775,e.on,e.on,103112
151159271594797,Systembolaget,Systembolaget,93686
179931025357058,Kommunal,Kommunal,91616
126567104406,Hyresgästföreningen,Hyresgästföreningen,91534
149155351773944,SEB,SEB,82717
95735961890,Greenpeace Sverige,Greenpeace Sverige,81610
111764372185015,Libero Sverige,Libero Sverige,76217
178362315106,European Parliament,European Parliament,68041
68996482861,Miljömärkningen Svanen,Miljömärket Svanen,67520
197334613725511,Act Svenska kyrkan,Act Svenska kyrkan,67031
236879092476,Håll Sverige Rent,Håll Sverige Rent,60504
269875318990,Bixia,Bixia,56667
109886133732943,RESCUE - Sverige,RESCUE - Sverige,54280
68115370786,Läkare Utan Gränser (MSF),Läkare Utan Gränser/ Médecins sans Frontières (MSF Sweden),53208
1976528729039324,NRC Sverige,NRC Sverige,50468
369582590803,ETC-tidningarna,ETC-tidningarna,49076
130927360876045,FPlus – nyhetstjänsten för företagsamma,fPlus,44530
12690894340,Centerpartiet,Centerpartiet,44242
275809699509029,Fairlo,Fairlo AB,42254
122854408319,Hjärt-Lungfonden,Hjärt-Lungfonden,41429
90882504375,Svenskt Näringsliv,Svenskt Näringsliv,39778
208619589270223,Nextory,Nextory,38663
18880778360,ActionAid Sweden,ActionAid Sweden,38352
676246449160270,Sverigedemokraterna,Sverigedemokraterna,37779
162985227114132,Skellefteå Kraft,Skellefteå Kraft,37664
223141487866750,Socialdemokraterna Örebro kommun,Nerelius Carin Isabelle,37659
124201680936949,Telge Energi,Telge Energi,37319
1173808162671999,En bättre framtid,Plan International Sverige,34365
7719591155,Moderaterna,Moderaterna,34076
42676805259,Diakonia,Diakonia,33489
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,31142
1622018661360930,Moderaterna i Örebro län,Moderaterna i Örebro län,28770
45101268520,SSU,SSU,28384
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,28127
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,27724
150057951690751,OKQ8,OKQ8,26623
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,26492
379686162129542,Svea Ekonomi,Svea Ekonomi,25194
149671858392184,Miljöpartiet de gröna i Örebro,Miljöpartiet de gröna i Örebro,25152
1737852076287450,Valmyndigheten,Valmyndigheten,24719
356032977210,Vi-skogen,Vi-skogen,24555
17775970938,Cancerfonden,Cancerfonden,24249
1409496505838142,Doktor.se,These ads ran without a disclaimer,23331
186513678039755,Fortum Sverige,Fortum Sverige,23251
115198178364,Kristdemokraterna,Kristdemokraterna,22313
108184264291841,Frankful,Frankful,22232
161213770567846,Operation Smile Sverige,Operation Smile Sverige,22000
24574889995,Charlie Weimers MEP,Charlie Weimers,21262
424213071064994,Region Örebro län,KSMG,21000
513322965515580,Socialdemokraterna Kumla,Socialdemokraterna i Kumla,20906
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,20796
608975645850217,Vattenfall Sverige,These ads ran without a disclaimer,20610
294378704099,FELIX,FELIX,20353
191359334218856,Internetstiftelsen,Internetstiftelsen,19534
91818886532,We Effect,We Effect,19104
279974638809211,Oxfam Sverige,Oxfam Sverige,18495
237187386324119,Frälsningsarmén,Frälsningsarmén,18067
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,17826
108492218918,IF Metall,IF Metall,17587
175656912484553,Unionen,Unionen,17373
206277526054703,Ditt Örebro,Liberalerna Örebro kommun,16348
109886133732943,RESCUE - Sverige,RESCUE – Sverige,15765
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,15494
153270724787,Amnesty International Sverige,Amnesty International Sverige,14500
602053453278014,NIBE,NIBE,14268
126840196572,Kia Motors Sweden,Kia Motors Sweden,13982
126400134069094,Örebro kommun,Örebro kommun,13836
472912072766907,Liberalerna Örebro kommun,Liberalerna Örebro kommun,13465
935167936599501,CSN,CSN,13397
643137272398136,Sverige för UNHCR,Viva Media,13213
133536819999319,SOS Barnbyar,SOS Barnbyar,12968
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,12741
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,12738
176407156115,OLW,OLW,12676
116032393137834,Jessica Stegrud MEP,Jessica J Stegrud,12492
224009747651167,Socialdemokraterna i Örebro län,Socialdemokraterna i Örebro län,12473
314283591054,Byggnads,Byggnads,12130
171884817870,Lärarförbundet,Lärarförbundet,12022
208619589270223,Nextory,These ads ran without a disclaimer,12011
107898832590939,European Commission,European Commission,11890
329885883718979,Stefan Löfven,Socialdemokraterna,11833
105235179512713,WW ViktVäktarna,WW ViktVäktarna,11397
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,11330
132266740623,Liberalerna,Liberalerna,11321
518485684936538,Miljöpartiet de gröna i Örebro län,Miljöpartiet de gröna i Örebro län,11299
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,11034
178362315106,European Parliament,These ads ran without a disclaimer,10963
291973617241,Ben & Jerry's,Ben & Jerry's,10658
131257053599743,AMF,AMF,10642
412192732132640,ECPAT Sverige,ECPAT Sverige,10635
163820136238,LO Sverige,LO Sverige,10610
1797724450537743,GoClimate,Go Climate Neutral,10484
2194546487442221,Neste,Neste,10452
175843834306,WaterAid Sverige,WaterAid Sverige,10204
188821514474911,Preem,Preem,10071
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,9916
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,9634
178945208783463,Willys,Willys,9540
717523045086468,Johanna Jaara Åstrand,Lärarförbundet,9433
359717099551,Audi Sverige,These ads ran without a disclaimer,9350
554520268281045,Doconomy,Doconomy,9206
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,9194
211654172200965,Pantamera,Pantamera,9057
182933185135,Skogsindustrierna,Skogsindustrierna,9044
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,8999
1545369075688158,Brottsofferjouren Sverige,Projekt Swevic,8747
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,8706
101031531768338,Mer än ett leende,Operation Smile Sverige,8534
261455205686,LRF,LRF,8402
1757191391203190,Proethos fond,Proethos AB,8362
399863096781774,Mind,Mind,8173
133910158381,Saco,Saco,8081
323156205347,Vänsterpartiet,Vänsterpartiet,7880
153028052500,Kvinna till Kvinna,Kvinna till Kvinna,7749
249195615122371,Sara Skyttedal,Sara Skyttedal,7530
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,7495
110813562940,Vision,Vision,7102
139767876088719,Skandia,Skandia,7055
496067290759872,LRF Jag bryr mig,LRF Jag bryr mig,6964
