Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
178362315106,European Parliament,European Parliament,36935,876
100351174902531,Care4Climate,Care4Climate,16542,186
107898832590939,European Commission,European Commission,16022,246
339052456846258,Treecelet,These ads ran without a disclaimer,14470,236
285304408294792,Levica,Levica,13527,442
183314631692914,Evropski parlament Slovenija,Evropski parlament Slovenija,13071,277
32585228571,Janez Janša,SDS - Slovenska demokratska stranka,11157,172
12676777580,Socialni demokrati (SD),Socialni demokrati (SD),8540,805
30790585231,SDS - Slovenska demokratska stranka,SDS - Slovenska demokratska stranka,8433,180
135419383441,Žurnal24,Žurnal24,8401,260
195508530477478,Greenpeace Slovenija,Greenpeace Slovenija,7047,135
114597496654474,necenzurirano.si,Necenzurirano.si,5218,353
100107313369390,Evropska komisija v Sloveniji,Evropska komisija v Sloveniji,5167,340
147547541961576,Council of the European Union,Council of the European Union,4776,258
288826994603012,Franc Bogovič,Franc Bogovič,3670,68
1688472281270558,Stranka LMŠ,Stranka LMŠ,3639,34
152400648234312,Novice Svet24,Novice Svet24,3464,613
98358327274,Pirati,Pirati,3347,291
241888532660987,"E 3, energetika, ekologija, ekonomija","E 3, energetika, ekologija, ekonomija",2843,142
346725009232232,"Lista za razvoj turizma,podjetništva in podeželja v občini Moravske Toplice",Vojkovič Borut,2822,902
141366725876424,European Greens,European Greens,2710,10
168130996671198,Alenka Bratušek,SAB - Stranka Alenke Bratušek,2688,27
1543883469231132,Nova24TV,Nova24TV,2679,282
111314452327761,NSi,NSi,2570,61
182328488816688,Balkan River Defence,Balkan River Defence,2490,63
339052456846258,Treecelet,Treecelet,2100,57
730777973687236,Tektonik kraft pivovarna,Tektonik Kraft Pivovarna,1967,72
242210245976248,SAB - Stranka Alenke Bratušek,SAB - Stranka Alenke Bratušek,1839,23
259753617393616,Zeleni Slovenije,Zeleni Slovenije,1561,101
305608429284,EU Environment,EU Commission,1475,46
288826994603012,Franc Bogovič,Slovenska ljudska stranka (SLS),1366,40
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,1341,16
387199461316883,Radgonske gorice,Volt media,1288,12
157689954242062,BMW Slovenija,These ads ran without a disclaimer,1061,13
117001531828776,DH fashion,DH fashion,999,4
279397488827904,Milan Zver,SDS - Slovenska demokratska stranka,969,34
518210881562141,Alma Mater Europaea - ECM,Alma Mater Europaea - ECM,967,6
1212524292238625,Povežimo se,Povežimo se,945,41
101083895050385,Sign It Europe,These ads ran without a disclaimer,904,25
244237405631368,Demokracija Tednik,Demokracija Tednik,863,87
