Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,1873
100351174902531,Care4Climate,Care4Climate,901
107898832590939,European Commission,European Commission,820
285304408294792,Levica,Levica,785
339052456846258,Treecelet,These ads ran without a disclaimer,718
183314631692914,Evropski parlament Slovenija,Evropski parlament Slovenija,678
32585228571,Janez Janša,SDS - Slovenska demokratska stranka,589
12676777580,Socialni demokrati (SD),Socialni demokrati (SD),554
30790585231,SDS - Slovenska demokratska stranka,SDS - Slovenska demokratska stranka,506
135419383441,Žurnal24,Žurnal24,433
288826994603012,Franc Bogovič,Franc Bogovič,377
195508530477478,Greenpeace Slovenija,Greenpeace Slovenija,340
114597496654474,necenzurirano.si,Necenzurirano.si,274
100107313369390,Evropska komisija v Sloveniji,Evropska komisija v Sloveniji,266
147547541961576,Council of the European Union,Council of the European Union,213
100926308467869,Občina Tolmin,Obcina Tolmin,188
241888532660987,"E 3, energetika, ekologija, ekonomija","E 3, energetika, ekologija, ekonomija",177
98358327274,Pirati,Pirati,174
182328488816688,Balkan River Defence,Balkan River Defence,172
152400648234312,Novice Svet24,Novice Svet24,161
1688472281270558,Stranka LMŠ,Stranka LMŠ,153
1543883469231132,Nova24TV,Nova24TV,150
111314452327761,NSi,NSi,140
730777973687236,Tektonik kraft pivovarna,Tektonik Kraft Pivovarna,124
288826994603012,Franc Bogovič,Slovenska ljudska stranka (SLS),123
141366725876424,European Greens,European Greens,122
242210245976248,SAB - Stranka Alenke Bratušek,SAB - Stranka Alenke Bratušek,105
168130996671198,Alenka Bratušek,SAB - Stranka Alenke Bratušek,≤100
339052456846258,Treecelet,Treecelet,≤100
642148249206716,Matjaž Nemec,Socialni demokrati (SD),≤100
259753617393616,Zeleni Slovenije,Zeleni Slovenije,≤100
387199461316883,Radgonske gorice,Volt media,≤100
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,≤100
305608429284,EU Environment,EU Commission,≤100
240130223029252,Časopis Slovenec,Slovenska ljudska stranka (SLS),≤100
279397488827904,Milan Zver,SDS - Slovenska demokratska stranka,≤100
1541413339429015,Patricija Šulin,SDS - Slovenska demokratska stranka,≤100
244237405631368,Demokracija Tednik,Demokracija Tednik,≤100
195028880931733,O vinu,O vinu,≤100
241007802613,Slovenska ljudska stranka (SLS),Slovenska ljudska stranka (SLS),≤100
117001531828776,DH fashion,DH fashion,≤100
101083895050385,Sign It Europe,These ads ran without a disclaimer,≤100
1212524292238625,Povežimo se,Povežimo se,≤100
1193175320710704,Vlada Republike Slovenije,Vlada Republike Slovenije,≤100
404082336387362,Ljudmila Novak,Ljudmila Novak,≤100
2008118369496327,Trajnostna energija,"Borzen, d.o.o.",≤100
642148249206716,Matjaž Nemec,These ads ran without a disclaimer,≤100
571044543390810,DOM - Domovinska liga,These ads ran without a disclaimer,≤100
157689954242062,BMW Slovenija,These ads ran without a disclaimer,≤100
518210881562141,Alma Mater Europaea - ECM,Alma Mater Europaea - ECM,≤100
1427590394196679,Luka Mesec,Levica,≤100
405727836160839,Gašper Ferjan,These ads ran without a disclaimer,≤100
107513767509341,EUYOU,EUYOU,≤100
1939164669646556,NSi Ajdovščina,Jožko Premrn,≤100
1838954599722440,Matej Tonin,NSi,≤100
295393187034,Slovenska tiskovna agencija STA,These ads ran without a disclaimer,≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
151181901582548,British Embassy Ljubljana,"Foreign, Commonwealth and Development Office",≤100
110273425683097,Union,These ads ran without a disclaimer,≤100
2264632877141356,Urša Zgojznik,Lista Povežimo se,≤100
273155307484,Mladi forum SD,Mladi forum SD,≤100
141366725876424,European Greens,These ads ran without a disclaimer,≤100
1543883469231132,Nova24TV,These ads ran without a disclaimer,≤100
2034872253397299,Zdravstveniportal.si,Roman Zajec,≤100
1563875737250155,Avtodomi Pilote & Filitheo,"Filitheo, d.o.o.",≤100
100849647967813,Childhood Memories,These ads ran without a disclaimer,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
506627722754028,Društvo Moldavit Neprofitna Organizacija,Moldavite Association Non-profit Organization,≤100
73452413740,Tanja Fajon,Socialni demokrati (SD),≤100
100547814905727,Tanja Petkovič,Rok Ravnikar,≤100
242210245976248,SAB - Stranka Alenke Bratušek,These ads ran without a disclaimer,≤100
1592516264370040,Združenje za MOČ,Združenje za MOČ,≤100
104442135013272,Baked with Love,These ads ran without a disclaimer,≤100
1025408990823719,Romana Tomc,SDS - Slovenska demokratska stranka,≤100
110868810436737,ZA upokojence,ZaUpokojence,≤100
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100
387199461316883,Radgonske gorice,Radgonske gorice,≤100
228305553874558,Pivovarna Vizir,These ads ran without a disclaimer,≤100
1195079090516237,Revija National Geographic Slovenija,Revija National Geographic Slovenija,≤100
372152212807425,RR Selection,These ads ran without a disclaimer,≤100
1838954599722440,Matej Tonin,These ads ran without a disclaimer,≤100
393074441061448,Siemens Slovenija,These ads ran without a disclaimer,≤100
1400142153350561,Topnews.si,These ads ran without a disclaimer,≤100
1025408990823719,Romana Tomc,These ads ran without a disclaimer,≤100
109398597476848,Savez Bošnjaka Slovenije - SBS,These ads ran without a disclaimer,≤100
100107313369390,Evropska komisija v Sloveniji,These ads ran without a disclaimer,≤100
148097975226385,Party of European Socialists,Party of European Socialists,≤100
283215548736352,MojeZnanje.si,MojeZnanje.si,≤100
263670416984862,Malibu Cocktails,These ads ran without a disclaimer,≤100
24697402646,Umanotera,Umanotera,≤100
2326274654101802,Kaj je novega? Rundasekunda.si,These ads ran without a disclaimer,≤100
106631122859687,mag. Dejan Židan,Dejan Židan,≤100
402640843147941,Socialistična Partija Slovenije - SPS,Trček Tadej,≤100
266765980402532,Lesoteka Trgovine,These ads ran without a disclaimer,≤100
1391043027849612,Igor Šoltes,DeSUS - Demokratična stranka upokojencev Slovenije,≤100
121744847886192,Zelene Doline,Žiga Šraml,≤100
328416220591536,Glorjana,Glorjana Veber,≤100
264247956985114,VELUX,These ads ran without a disclaimer,≤100
610637186067086,FutureProofing Healthcare,These ads ran without a disclaimer,≤100
101434831606281,Peto kolo,Peto kolo,≤100
480165655347500,"Visit Idrija-UNESCO, Slovenia",These ads ran without a disclaimer,≤100
114597496654474,necenzurirano.si,These ads ran without a disclaimer,≤100
1025408990823719,Romana Tomc,Romana Tomc,≤100
183314631692914,Evropski parlament Slovenija,These ads ran without a disclaimer,≤100
179111705452897,Iskreni.net,These ads ran without a disclaimer,≤100
158511591011996,MLC Ljubljana,These ads ran without a disclaimer,≤100
184626545351268,Skozi oči prekariata,Inštitut za študije prekariata,≤100
526186704085625,Pravična trgovina Slovenija,"Zavod za pravično trgovino, 3MUHE",≤100
346725009232232,"Lista za razvoj turizma,podjetništva in podeželja v občini Moravske Toplice",Vojkovič Borut,≤100
98358327274,Pirati,These ads ran without a disclaimer,≤100
1575082379371560,TOM TAILOR,These ads ran without a disclaimer,≤100
2235496013147745,Neva Grašič,Socialni demokrati (SD),≤100
1432597526978940,Velkopopovický Kozel,These ads ran without a disclaimer,≤100
352221058220897,Biotehniška fakulteta,"Univerza v Ljubljani, Biotehniška fakulteta",≤100
336407257109553,Politika Finance,These ads ran without a disclaimer,≤100
720507838062979,Policijski Sindikat Slovenije,These ads ran without a disclaimer,≤100
151181901582548,British Embassy Ljubljana,Foreign & Commonwealth Office,≤100
259753617393616,Zeleni Slovenije,Škof Nejc,≤100
102389457864860,Treehuggers Bracelets,These ads ran without a disclaimer,≤100
286404761480280,"Turistična kmetija Štok, Marezige",These ads ran without a disclaimer,≤100
233235373398168,Andrej Čuš,Zeleni Slovenije,≤100
104979604447834,Photo Both,These ads ran without a disclaimer,≤100
110387100526150,World of Football,These ads ran without a disclaimer,≤100
575884696102466,Kai Holst Andersen,These ads ran without a disclaimer,≤100
372806209421168,Ljubljana Pride,Ljubljana Pride,≤100
135419383441,Žurnal24,These ads ran without a disclaimer,≤100
1176668699170582,Time Brewery,These ads ran without a disclaimer,≤100
768831919857462,Levica Istra,Levica,≤100
1693436154227616,Slovenski veslači,Marin Medak,≤100
495200794014045,Rakija to Go - Slovenija,These ads ran without a disclaimer,≤100
178362315106,European Parliament,These ads ran without a disclaimer,≤100
32585228571,Janez Janša,These ads ran without a disclaimer,≤100
189255987886234,Europe Direct Koper,Europe Direct Koper,≤100
188041007987825,Jeruzalem Ormož,Agencija DAMN d.o.o.,≤100
288826994603012,Franc Bogovič,These ads ran without a disclaimer,≤100
168130996671198,Alenka Bratušek,These ads ran without a disclaimer,≤100
100894361591796,Janez Cigler Kralj,NSi,≤100
1323061364525417,Gorizia3.0,These ads ran without a disclaimer,≤100
265628680801942,Adijo NATO,These ads ran without a disclaimer,≤100
404082336387362,Ljudmila Novak,These ads ran without a disclaimer,≤100
660444987306468,Vina Jarkovič,These ads ran without a disclaimer,≤100
