Page ID,Page Name,Disclaimer,Amount Spent (EUR)
178362315106,European Parliament,European Parliament,3159
100351174902531,Care4Climate,Care4Climate,1453
339052456846258,Treecelet,These ads ran without a disclaimer,1400
107898832590939,European Commission,European Commission,1398
183314631692914,Evropski parlament Slovenija,Evropski parlament Slovenija,1074
285304408294792,Levica,Levica,1029
32585228571,Janez Janša,SDS - Slovenska demokratska stranka,912
135419383441,Žurnal24,Žurnal24,688
30790585231,SDS - Slovenska demokratska stranka,SDS - Slovenska demokratska stranka,624
12676777580,Socialni demokrati (SD),Socialni demokrati (SD),614
195508530477478,Greenpeace Slovenija,Greenpeace Slovenija,609
168130996671198,Alenka Bratušek,SAB - Stranka Alenke Bratušek,489
100107313369390,Evropska komisija v Sloveniji,Evropska komisija v Sloveniji,435
147547541961576,Council of the European Union,Council of the European Union,426
114597496654474,necenzurirano.si,Necenzurirano.si,386
152400648234312,Novice Svet24,Novice Svet24,293
98358327274,Pirati,Pirati,250
1688472281270558,Stranka LMŠ,Stranka LMŠ,248
241888532660987,"E 3, energetika, ekologija, ekonomija","E 3, energetika, ekologija, ekonomija",246
182328488816688,Balkan River Defence,Balkan River Defence,244
288826994603012,Franc Bogovič,Franc Bogovič,228
1543883469231132,Nova24TV,Nova24TV,221
141366725876424,European Greens,European Greens,221
339052456846258,Treecelet,Treecelet,217
111314452327761,NSi,NSi,213
242210245976248,SAB - Stranka Alenke Bratušek,SAB - Stranka Alenke Bratušek,197
730777973687236,Tektonik kraft pivovarna,Tektonik Kraft Pivovarna,171
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,136
305608429284,EU Environment,EU Commission,118
288826994603012,Franc Bogovič,Slovenska ljudska stranka (SLS),115
387199461316883,Radgonske gorice,Volt media,111
259753617393616,Zeleni Slovenije,Zeleni Slovenije,109
117001531828776,DH fashion,DH fashion,≤100
157689954242062,BMW Slovenija,These ads ran without a disclaimer,≤100
1212524292238625,Povežimo se,Povežimo se,≤100
279397488827904,Milan Zver,SDS - Slovenska demokratska stranka,≤100
244237405631368,Demokracija Tednik,Demokracija Tednik,≤100
101083895050385,Sign It Europe,These ads ran without a disclaimer,≤100
404082336387362,Ljudmila Novak,Ljudmila Novak,≤100
240130223029252,Časopis Slovenec,Slovenska ljudska stranka (SLS),≤100
107513767509341,EUYOU,EUYOU,≤100
1193175320710704,Vlada Republike Slovenije,Vlada Republike Slovenije,≤100
518210881562141,Alma Mater Europaea - ECM,Alma Mater Europaea - ECM,≤100
241007802613,Slovenska ljudska stranka (SLS),Slovenska ljudska stranka (SLS),≤100
28312410177,World Food Programme,These ads ran without a disclaimer,≤100
2008118369496327,Trajnostna energija,"Borzen, d.o.o.",≤100
1427590394196679,Luka Mesec,Levica,≤100
141366725876424,European Greens,These ads ran without a disclaimer,≤100
151181901582548,British Embassy Ljubljana,"Foreign, Commonwealth and Development Office",≤100
1532785573606734,"Barbara Gunčar, svetnica občine Kranj",Barbara Gunčar,≤100
2264632877141356,Urša Zgojznik,Lista Povežimo se,≤100
110273425683097,Union,These ads ran without a disclaimer,≤100
1838954599722440,Matej Tonin,NSi,≤100
571044543390810,DOM - Domovinska liga,These ads ran without a disclaimer,≤100
295393187034,Slovenska tiskovna agencija STA,These ads ran without a disclaimer,≤100
1563875737250155,Avtodomi Pilote & Filitheo,"Filitheo, d.o.o.",≤100
1543883469231132,Nova24TV,These ads ran without a disclaimer,≤100
1541413339429015,Patricija Šulin,SDS - Slovenska demokratska stranka,≤100
1025408990823719,Romana Tomc,SDS - Slovenska demokratska stranka,≤100
729627343834501,Kialo,These ads ran without a disclaimer,≤100
