Page ID,Page Name,Disclaimer,Amount Spent (EUR),Number of Ads in Library
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,195840,366
121130481252381,Slovenská národná strana,Slovenská národná strana,93766,765
102146246492040,SMER - SD,SMER - SD,93591,601
353195602108,Most-Híd (Híd-Most),Most-Híd (Híd-Most),92628,2354
1680731138870391,Štefan Harabin,Vlasť,86840,243
142965026500972,Michal Truban,Progresívne Slovensko,85376,907
1495199624026639,Andrej Danko - predseda SNS,Slovenská národná strana,82416,560
600235073447674,Sme rodina,Sme rodina,77710,185
178362315106,European Parliament,European Parliament,77440,884
335875173768348,Dobrá voľba,Dobrá voľba,67858,245
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,57136,526
312985238719495,Miroslav Beblavý,Progresívne Slovensko,55866,625
162852047168915,Andrej Kiska,Za ľudí,47966,111
312985238719495,Miroslav Beblavý,SPOLU - občianska demokracia,43205,772
1057020590987528,SPOLU - občianska demokracia,SPOLU - občianska demokracia,42022,856
732167026967322,Robert Fico,SMER - SD,41648,107
184760561603680,Richard Sulik,Sloboda a Solidarita,40250,115
403027089864701,Peter Pellegrini,SMER - SD,38869,172
142965026500972,Michal Truban,SPOLU - občianska demokracia,37788,718
1184641245007277,Erik Baláž - SPOLU za Zelenú krajinu,SPOLU - občianska demokracia,33725,485
557862947737785,Progresívne Slovensko,Progresívne Slovensko,32381,186
2246560835462358,Juraj Hipš SPOLU - občianska demokracia,SPOLU - občianska demokracia,27754,1860
403027089864701,Peter Pellegrini,Peter Pellegrini,26915,156
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,25863,553
2073898006252580,Vlasť,Vlasť,25253,91
163449818290,KDH,KDH,23122,297
109216190454517,Összefogás,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,23113,316
403027089864701,Peter Pellegrini,These ads ran without a disclaimer,21671,15
113483823851427,Stop hazardu so zdravím,Iniciatíva Stop hazardu so zdravím,20052,106
107898832590939,European Commission,European Commission,19680,274
1782047902030177,László Sólymos,Most-Híd (Híd-Most),19436,205
945989972108826,Bugár Béla,Most-Híd (Híd-Most),16026,185
106240706496397,Spoločnými Silami Za Rozkvet Gemera,Horváth Csaba,15872,768
254427098315,Tipsport SK,Tipsport SK,14610,3
147166706140048,Martin Hojsík,Martin Hojsík • Progresívne Slovensko,14440,199
193258414360612,Milan Uhrík • Republika,Kotleba - Ľudová strana Naše Slovensko,14289,21
106390330706418,Irena Bihariová • Progresívne Slovensko,Progresívne Slovensko,14260,139
901093883409554,Budem Voliť,Mediálny Inštitút,12801,93
978554185546219,Ábel Ravasz,Most-Híd (Híd-Most),12673,183
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,12655,135
460072524405386,Hlavný denník,Hlavný denník,12389,1180
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,12311,32
259594940734093,Magyar Közösség Pártja,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,12092,1309
113888835378442,IKEA,IKEA,12058,16
1464024763918594,Boris Kollar,Sme rodina,11730,24
260442667324007,dm drogerie markt Slovensko,dm drogerie markt Slovensko,11623,27
517511148296579,Daňové a odvodové tipy Jozefa Mihála,SPOLU - občianska demokracia,11581,124
552717621530226,Alojz Hlina,KDH,11489,114
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,11380,125
1501859650125625,Vladimír Bilčík,SPOLU - občianska demokracia,10991,335
115022806551437,Oskar Dvořák • SPOLU - občianska demokracia,SPOLU - občianska demokracia,10815,439
232491033085,Európsky parlament – Kancelária na Slovensku,Európsky parlament – Kancelária na Slovensku,10387,309
2047997592105476,Ľuboš Blaha,ĽUBOŠ BLAHA,9970,329
399317000707267,Dalibor Roháč,SPOLU - občianska demokracia,9771,285
2114282595319489,Za ľudí,Za ľudí,9529,62
259594940734093,Magyar Közösség Pártja,Maďarská komunitná spolupatričnosť - Magyar Közösségi Összefogás,9261,81
475005065849814,Zastúpenie Európskej komisie na Slovensku,Zastúpenie Európskej komisie na Slovensku,9187,184
279200712281963,Martin Šmilňák,KDH,9136,57
1589080011178196,Zahraničná politika sa nás týka,Zahraničná politika sa nás týka,9057,145
140675702940687,Demokratická strana,Demokratická strana,8836,186
732167026967322,Robert Fico,Robert Fico,8646,321
104943178004127,"Sčítanie obyvateľov, domov a bytov 2021","Creo advertising, s. r. o.",8556,44
278345349229163,Tomáš Drucker,Tomáš Drucker,8517,165
489291478219770,"Pavel Macko - bezpečnosť, stratégie, technológie",SPOLU - občianska demokracia,8409,135
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,8360,240
194278021265803,Michal Šimečka • Progresívne Slovensko,Projekt Európa o.z.,8331,103
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,8205,249
132353247111236,Simona Petrík,SPOLU - občianska demokracia,8181,217
135805949177,FORTUNA stavte sa,These ads ran without a disclaimer,8117,54
100693598023866,Hlas pravice,Hlas pravice,8074,26
951009345100113,Ondrej Prostredník • Progresívne Slovensko,Progresívne Slovensko,8028,103
100171861388723,Branislav Becík,Branislav Becik,7942,43
113345716746560,Lucia Plaváková • Progresívne Slovensko,Progresívne Slovensko,7710,114
3105213332837346,Martin Borguľa,Martin Borgula,7706,94
106943494244877,Ochrana prírody a krajiny,"PS:Digital, s.r.o.",7703,244
2047997592105476,Ľuboš Blaha,Ľuboš Blaha,7687,658
