Page ID,Page Name,Disclaimer,Amount Spent (EUR)
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,20119
353195602108,Most-Híd (Híd-Most),Most-Híd (Híd-Most),17592
121130481252381,Slovenská národná strana,Slovenská národná strana,11046
102146246492040,SMER - SD,SMER - SD,10440
1495199624026639,Andrej Danko - predseda SNS,Slovenská národná strana,9493
142965026500972,Michal Truban,Progresívne Slovensko,8935
1680731138870391,Štefan Harabin,Vlasť,8864
600235073447674,Sme rodina,Sme rodina,8682
178362315106,European Parliament,European Parliament,8202
335875173768348,Dobrá voľba,Dobrá voľba,7003
312985238719495,Miroslav Beblavý,Progresívne Slovensko,6139
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,6093
162852047168915,Andrej Kiska,Za ľudí,4945
312985238719495,Miroslav Beblavý,SPOLU - občianska demokracia,4644
732167026967322,Robert Fico,SMER - SD,4502
403027089864701,Peter Pellegrini,SMER - SD,4422
142965026500972,Michal Truban,SPOLU - občianska demokracia,4154
184760561603680,Richard Sulik,Sloboda a Solidarita,3967
1184641245007277,Erik Baláž - SPOLU za Zelenú krajinu,SPOLU - občianska demokracia,3723
1057020590987528,SPOLU - občianska demokracia,SPOLU - občianska demokracia,3722
109216190454517,Összefogás,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,3386
2246560835462358,Juraj Hipš SPOLU - občianska demokracia,SPOLU - občianska demokracia,3281
106240706496397,Spoločnými Silami Za Rozkvet Gemera,Horváth Csaba,3232
2073898006252580,Vlasť,Vlasť,3209
403027089864701,Peter Pellegrini,Peter Pellegrini,2905
1625320827727426,Cziprusz Zoltán,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,2851
403027089864701,Peter Pellegrini,These ads ran without a disclaimer,2793
1782047902030177,László Sólymos,Most-Híd (Híd-Most),2767
557862947737785,Progresívne Slovensko,Progresívne Slovensko,2724
259594940734093,Magyar Közösség Pártja,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,2621
113483823851427,Stop hazardu so zdravím,Iniciatíva Stop hazardu so zdravím,2360
978554185546219,Ábel Ravasz,Most-Híd (Híd-Most),2300
444025863076653,Krajská organizácia SMER - SD Banská Bystrica,SMER - SD,2299
107898832590939,European Commission,European Commission,2179
945989972108826,Bugár Béla,Most-Híd (Híd-Most),2118
163449818290,KDH,KDH,1810
193258414360612,Milan Uhrík • Republika,Kotleba - Ľudová strana Naše Slovensko,1583
254427098315,Tipsport SK,Tipsport SK,1503
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1497
107921990548568,Opre Roma,Horváth Csaba,1377
2047997592105476,Ľuboš Blaha,ĽUBOŠ BLAHA,1367
1464024763918594,Boris Kollar,Sme rodina,1367
115022806551437,Oskar Dvořák • SPOLU - občianska demokracia,SPOLU - občianska demokracia,1297
460072524405386,Hlavný denník,Hlavný denník,1291
552717621530226,Alojz Hlina,KDH,1291
240184916628,Bumm.sk,Bumm.sk,1272
