Page ID,Page Name,Disclaimer,Amount Spent (EUR)
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,36366
166688783394167,Bratislava - hlavné mesto SR,Mesto Bratislava,23771
142965026500972,Michal Truban,Progresívne Slovensko,15582
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,15136
121130481252381,Slovenská národná strana,Slovenská národná strana,13900
1495199624026639,Andrej Danko - predseda SNS,Slovenská národná strana,12540
178362315106,European Parliament,European Parliament,12127
102146246492040,SMER - SD,SMER - SD,12083
600235073447674,Sme rodina,Sme rodina,11175
335875173768348,Dobrá voľba,Dobrá voľba,11087
1057020590987528,SPOLU - občianska demokracia,SPOLU - občianska demokracia,10490
557862947737785,Progresívne Slovensko,Progresívne Slovensko,9639
1680731138870391,Štefan Harabin,Vlasť,9274
353195602108,Most-Híd (Híd-Most),Most-Híd (Híd-Most),8717
312985238719495,Miroslav Beblavý,Progresívne Slovensko,8543
184760561603680,Richard Sulik,Sloboda a Solidarita,8231
106390330706418,Irena Bihariová • Progresívne Slovensko,Progresívne Slovensko,7522
312985238719495,Miroslav Beblavý,SPOLU - občianska demokracia,7428
162852047168915,Andrej Kiska,Za ľudí,7129
147166706140048,Martin Hojsík,Martin Hojsík • Progresívne Slovensko,6007
142965026500972,Michal Truban,SPOLU - občianska demokracia,5968
403027089864701,Peter Pellegrini,SMER - SD,5610
403027089864701,Peter Pellegrini,Peter Pellegrini,5597
732167026967322,Robert Fico,SMER - SD,5539
1184641245007277,Erik Baláž - SPOLU za Zelenú krajinu,SPOLU - občianska demokracia,5197
399317000707267,Dalibor Roháč,SPOLU - občianska demokracia,5174
271619682920012,Tomáš Korček - váš poslanec za BA - Nové Mesto,Tomáš Korček,4764
314039802486286,Pavol Škápik,SPOLU - občianska demokracia,4274
185434848168916,Rudolf Kusý,Rudolf Kusý,3766
113345716746560,Lucia Plaváková • Progresívne Slovensko,Progresívne Slovensko,3756
2073898006252580,Vlasť,Vlasť,3657
2246560835462358,Juraj Hipš SPOLU - občianska demokracia,SPOLU - občianska demokracia,3629
403027089864701,Peter Pellegrini,These ads ran without a disclaimer,3196
113483823851427,Stop hazardu so zdravím,Iniciatíva Stop hazardu so zdravím,3082
111165370750,Amnesty International Slovakia,Amnesty International Slovakia,3073
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,2990
