Page ID,Page Name,Disclaimer,Amount Spent (EUR)
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,19922
102146246492040,SMER - SD,SMER - SD,10489
121130481252381,Slovenská národná strana,Slovenská národná strana,10337
1680731138870391,Štefan Harabin,Vlasť,9042
1495199624026639,Andrej Danko - predseda SNS,Slovenská národná strana,8944
600235073447674,Sme rodina,Sme rodina,8368
142965026500972,Michal Truban,Progresívne Slovensko,8228
178362315106,European Parliament,European Parliament,7612
335875173768348,Dobrá voľba,Dobrá voľba,7108
312985238719495,Miroslav Beblavý,Progresívne Slovensko,5643
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,5098
162852047168915,Andrej Kiska,Za ľudí,4602
732167026967322,Robert Fico,SMER - SD,4595
312985238719495,Miroslav Beblavý,SPOLU - občianska demokracia,4287
1057020590987528,SPOLU - občianska demokracia,SPOLU - občianska demokracia,4090
403027089864701,Peter Pellegrini,SMER - SD,4047
184760561603680,Richard Sulik,Sloboda a Solidarita,3984
142965026500972,Michal Truban,SPOLU - občianska demokracia,3828
1184641245007277,Erik Baláž - SPOLU za Zelenú krajinu,SPOLU - občianska demokracia,3545
2246560835462358,Juraj Hipš SPOLU - občianska demokracia,SPOLU - občianska demokracia,2852
557862947737785,Progresívne Slovensko,Progresívne Slovensko,2826
2073898006252580,Vlasť,Vlasť,2615
403027089864701,Peter Pellegrini,Peter Pellegrini,2506
113483823851427,Stop hazardu so zdravím,Iniciatíva Stop hazardu so zdravím,2408
403027089864701,Peter Pellegrini,These ads ran without a disclaimer,2240
163449818290,KDH,KDH,2207
353195602108,Most-Híd (Híd-Most),Most-Híd (Híd-Most),2191
107898832590939,European Commission,European Commission,2037
193258414360612,Milan Uhrík • Republika,Kotleba - Ľudová strana Naše Slovensko,1544
115022806551437,Oskar Dvořák • SPOLU - občianska demokracia,SPOLU - občianska demokracia,1436
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1380
254427098315,Tipsport SK,Tipsport SK,1378
2047997592105476,Ľuboš Blaha,ĽUBOŠ BLAHA,1362
901093883409554,Budem Voliť,Mediálny Inštitút,1294
1464024763918594,Boris Kollar,Sme rodina,1288
460072524405386,Hlavný denník,Hlavný denník,1259
1293379587429941,Braňo Gigac za lepšiu Prievidzu,Gigac Branislav,1216
100996313315404,Greenpeace Slovensko,Greenpeace Slovensko,1208
517511148296579,Daňové a odvodové tipy Jozefa Mihála,SPOLU - občianska demokracia,1139
113888835378442,IKEA,IKEA,1136
260442667324007,dm drogerie markt Slovensko,dm drogerie markt Slovensko,1130
147166706140048,Martin Hojsík,Martin Hojsík • Progresívne Slovensko,1125
552717621530226,Alojz Hlina,KDH,1111
1501859650125625,Vladimír Bilčík,SPOLU - občianska demokracia,1109
2047997592105476,Ľuboš Blaha,Ľuboš Blaha,1104
732167026967322,Robert Fico,Robert Fico,1040
232491033085,Európsky parlament – Kancelária na Slovensku,Európsky parlament – Kancelária na Slovensku,1011
2259255957732716,Miroslav Kocúr • Progresívne Slovensko,Progresívne Slovensko,974
140675702940687,Demokratická strana,Demokratická strana,945
336180380183278,ÚNIA regionálnych združení vlastníkov neštátnych lesov Slovenska,Milan Ovseník,939
278345349229163,Tomáš Drucker,Tomáš Drucker,907
132353247111236,Simona Petrík,SPOLU - občianska demokracia,885
100171861388723,Branislav Becík,Branislav Becik,883
3105213332837346,Martin Borguľa,Martin Borgula,871
104943178004127,"Sčítanie obyvateľov, domov a bytov 2021","Creo advertising, s. r. o.",854
1589080011178196,Zahraničná politika sa nás týka,Zahraničná politika sa nás týka,851
100693598023866,Hlas pravice,Hlas pravice,832
1501859650125625,Vladimír Bilčík,Vladimír Bilčík,829
135805949177,FORTUNA stavte sa,These ads ran without a disclaimer,816
2114282595319489,Za ľudí,Za ľudí,806
