Page ID,Page Name,Disclaimer,Amount Spent (EUR)
150674111712306,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,20325
353195602108,Most-Híd (Híd-Most),Most-Híd (Híd-Most),15450
102146246492040,SMER - SD,SMER - SD,9808
121130481252381,Slovenská národná strana,Slovenská národná strana,9387
142965026500972,Michal Truban,Progresívne Slovensko,9245
600235073447674,Sme rodina,Sme rodina,8736
1495199624026639,Andrej Danko - predseda SNS,Slovenská národná strana,8196
178362315106,European Parliament,European Parliament,8161
1680731138870391,Štefan Harabin,Vlasť,7798
335875173768348,Dobrá voľba,Dobrá voľba,6678
109216190454517,Összefogás,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,6534
71030757230,Sloboda a Solidarita,Sloboda a Solidarita,6061
312985238719495,Miroslav Beblavý,Progresívne Slovensko,5928
162852047168915,Andrej Kiska,Za ľudí,4822
1057020590987528,SPOLU - občianska demokracia,SPOLU - občianska demokracia,4789
732167026967322,Robert Fico,SMER - SD,4459
312985238719495,Miroslav Beblavý,SPOLU - občianska demokracia,4417
403027089864701,Peter Pellegrini,SMER - SD,3958
142965026500972,Michal Truban,SPOLU - občianska demokracia,3956
1782047902030177,László Sólymos,Most-Híd (Híd-Most),3900
184760561603680,Richard Sulik,Sloboda a Solidarita,3692
1184641245007277,Erik Baláž - SPOLU za Zelenú krajinu,SPOLU - občianska demokracia,3612
557862947737785,Progresívne Slovensko,Progresívne Slovensko,3156
2246560835462358,Juraj Hipš SPOLU - občianska demokracia,SPOLU - občianska demokracia,3079
259594940734093,Magyar Közösség Pártja,Maďarská komunitná spolupatričnosť - Magyar Közösségi Összefogás,2819
259594940734093,Magyar Közösség Pártja,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,2772
945989972108826,Bugár Béla,Most-Híd (Híd-Most),2645
403027089864701,Peter Pellegrini,Peter Pellegrini,2426
107898832590939,European Commission,European Commission,2249
2073898006252580,Vlasť,Vlasť,2155
107513417390745,Kovács György,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,2137
113483823851427,Stop hazardu so zdravím,Iniciatíva Stop hazardu so zdravím,2112
128401833854581,Nagy József,Nagy József,2104
106240706496397,Spoločnými Silami Za Rozkvet Gemera,Horváth Csaba,2071
403027089864701,Peter Pellegrini,These ads ran without a disclaimer,2043
128401833854581,Nagy József,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,1917
240184916628,Bumm.sk,Bumm.sk,1896
259594940734093,Magyar Közösség Pártja,Magyar Közösség Pártja,1826
147166706140048,Martin Hojsík,Martin Hojsík • Progresívne Slovensko,1558
353195602108,Most-Híd (Híd-Most),These ads ran without a disclaimer,1533
193258414360612,Milan Uhrík • Republika,Kotleba - Ľudová strana Naše Slovensko,1508
278117815576023,EU Justice and Consumers,The European Commission's Directorate-General for Justice and Consumers,1482
124771041038345,Magyar Kereszténydemokrata Szövetség,Most-Híd (Híd-Most),1479
113888835378442,IKEA,IKEA,1427
109216190454517,Összefogás,Összefogás,1409
260442667324007,dm drogerie markt Slovensko,dm drogerie markt Slovensko,1380
254427098315,Tipsport SK,Tipsport SK,1333
106757647529429,Daniel Miklóš -MKÖ,Magyar Közösségi Összefogás - Maďarská komunitná spolupatričnosť,1311
1464024763918594,Boris Kollar,Sme rodina,1277
901093883409554,Budem Voliť,Mediálny Inštitút,1260
460072524405386,Hlavný denník,Hlavný denník,1241
