NUTS_CODE,NUTS_BN_CODE
FRY40,1
FR,1
FRY,1
FRY4,1
FRY50,2
FR,2
FRY,2
FRY5,2
FRY50,3
FR,3
FRY,3
FRY5,3
FRY50,4
FR,4
FRY,4
FRY5,4
FRY50,5
FR,5
FRY,5
FRY5,5
FRY50,6
FR,6
FRY,6
FRY5,6
FRY50,7
FR,7
FRY,7
FRY5,7
FRY30,8
FR,8
FRY,8
FRY3,8
FRY30,9
FR,9
FRY,9
FRY3,9
FRY30,10
FR,10
FRY,10
FRY3,10
FRY20,11
FR,11
FRY,11
FRY2,11
FRY20,12
FR,12
FRY,12
FRY2,12
FRY10,13
FR,13
FRY,13
FRY1,13
FRY10,14
FR,14
FRY,14
FRY1,14
FRY10,15
FR,15
FRY,15
FRY1,15
FRY10,16
FR,16
FRY,16
FRY1,16
FRY10,17
FR,17
FRY,17
FRY1,17
FRY10,18
FR,18
FRY,18
FRY1,18
FRY10,19
FR,19
FRY,19
FRY1,19
FRY10,20
FR,20
FRY,20
FRY1,20
FRY10,21
FR,21
FRY,21
FRY1,21
FRY10,22
FR,22
FRY,22
FRY1,22
FRY10,23
FR,23
FRY,23
FRY1,23
ES703,24
ES,24
ES7,24
ES70,24
ES705,25
ES,25
ES7,25
ES70,25
ES706,26
ES,26
ES7,26
ES70,26
ES709,27
ES,27
ES7,27
ES70,27
ES704,28
ES,28
ES7,28
ES70,28
ES704,29
ES,29
ES7,29
ES70,29
ES707,30
ES,30
ES7,30
ES70,30
ES708,31
ES,31
ES7,31
ES70,31
ES708,32
ES,32
ES7,32
ES70,32
ES708,33
ES,33
ES7,33
ES70,33
ES708,34
ES,34
ES7,34
ES70,34
PT300,35
PT,35
PT3,35
PT30,35
PT300,36
PT,36
PT3,36
PT30,36
PT300,37
PT,37
PT3,37
PT30,37
PT300,38
PT,38
PT3,38
PT30,38
PT300,39
PT,39
PT3,39
PT30,39
PT300,40
PT,40
PT3,40
PT30,40
PT300,41
PT,41
PT3,41
PT30,41
PT300,42
PT,42
PT3,42
PT30,42
EL434,43
EL,43
EL4,43
EL43,43
EL432,44
EL,44
EL4,44
EL43,44
EL434,45
EL,45
EL4,45
EL43,45
EL432,46
EL,46
EL4,46
