"TIME","GEO","NA_ITEM","PPP_CAT","Value"
"2009","European Union - 28 countries","Purchasing power parities (EU28=1)","Gross domestic product","1.000000"
"2009","European Union - 28 countries","Purchasing power parities (EU28=1)","Actual individual consumption","1.00000"
"2009","European Union - 28 countries","Purchasing power parities (EU28=1)","Food and non-alcoholic beverages","1.00000"
"2009","European Union - 28 countries","Purchasing power parities (EU28=1)","Food","1.000000"
"2009","European Union - 28 countries","Purchasing power parities (EU28=1)","Bread and cereals","1.00000"
"2009","European Union - 28 countries","Purchasing power parities (EU27_2019=1)","Gross domestic product","1.00747"
"2009","European Union - 28 countries","Purchasing power parities (EU27_2019=1)","Actual individual consumption","1.01307"
"2009","European Union - 28 countries","Purchasing power parities (EU27_2019=1)","Food and non-alcoholic beverages","0.995480"
"2009","European Union - 28 countries","Purchasing power parities (EU27_2019=1)","Food","0.994944"
"2009","European Union - 28 countries","Purchasing power parities (EU27_2019=1)","Bread and cereals","0.975157"
"2009","European Union - 28 countries","Purchasing power parities (EU27=1)","Gross domestic product","0.998337"
"2009","European Union - 28 countries","Purchasing power parities (EU27=1)","Actual individual consumption","0.998454"
"2009","European Union - 28 countries","Purchasing power parities (EU27=1)","Food and non-alcoholic beverages","0.999582"
"2009","European Union - 28 countries","Purchasing power parities (EU27=1)","Food","0.999476"
"2009","European Union - 28 countries","Purchasing power parities (EU27=1)","Bread and cereals","0.999633"
"2009","European Union - 28 countries","Purchasing power parities (EU15=1)","Gross domestic product","0.943348"
"2009","European Union - 28 countries","Purchasing power parities (EU15=1)","Actual individual consumption","0.940070"
"2009","European Union - 28 countries","Purchasing power parities (EU15=1)","Food and non-alcoholic beverages","0.940825"
"2009","European Union - 28 countries","Purchasing power parities (EU15=1)","Food","0.937490"
"2009","European Union - 28 countries","Purchasing power parities (EU15=1)","Bread and cereals","0.940364"
"2009","European Union - 28 countries","Price level indices (EU28=100)","Gross domestic product","100.0"
"2009","European Union - 28 countries","Price level indices (EU28=100)","Actual individual consumption","100.0"
"2009","European Union - 28 countries","Price level indices (EU28=100)","Food and non-alcoholic beverages","100.0"
"2009","European Union - 28 countries","Price level indices (EU28=100)","Food","100.0"
"2009","European Union - 28 countries","Price level indices (EU28=100)","Bread and cereals","100.0"
"2009","European Union - 28 countries","Price level indices (EU27_2019=100)","Gross domestic product","100.7"
"2009","European Union - 28 countries","Price level indices (EU27_2019=100)","Actual individual consumption","101.3"
"2009","European Union - 28 countries","Price level indices (EU27_2019=100)","Food and non-alcoholic beverages","99.5"
"2009","European Union - 28 countries","Price level indices (EU27_2019=100)","Food","99.5"
"2009","European Union - 28 countries","Price level indices (EU27_2019=100)","Bread and cereals","97.5"
"2009","European Union - 28 countries","Price level indices (EU27=100)","Gross domestic product","99.8"
