"","x"
"1","1000826743276115"
"2","100100868241799"
"3","100104295088802"
"4","100106215064496"
"5","100106785307908"
"6","100108454958399"
"7","100114721384920"
"8","100117115202167"
"9","100118448122201"
"10","100120528576717"
"11","100123231453243"
"12","100126318421866"
"13","1001341813227019"
"14","100135528047656"
"15","100144018148045"
"16","100151881923406"
"17","100152395195213"
"18","1001534519913508"
"19","100156545474794"
"20","100164175123388"
"21","100166088045356"
"22","100172684943626"
"23","100174421564428"
"24","100176588487860"
"25","100179444924565"
"26","100179878716635"
"27","100183881377742"
"28","100185022063552"
"29","100185205074090"
"30","100188308549892"
"31","100189688094147"
"32","100191158432544"
"33","100191451840909"
"34","100192175085254"
"35","100195701790183"
"36","100201375131362"
"37","100207438280760"
"38","100215810134416"
"39","100222038112307"
"40","100222184921787"
"41","1002249093149874"
"42","100228598497957"
"43","100232318360703"
"44","100236951774828"
"45","100238801487587"
"46","100241004684178"
"47","100242001821538"
"48","1002438993113445"
"49","100244101384868"
"50","100244975106092"
"51","100247478088205"
"52","100248804842392"
"53","100253021534116"
"54","100255467044528"
"55","100260205171684"
"56","100266881635663"
"57","100268288219777"
"58","100270764803117"
"59","100271051829501"
"60","100271707996221"
"61","1002763746428801"
"62","100280961555475"
"63","100282314790889"
"64","100282584826243"
"65","100282865348361"
"66","100283070150569"
"67","100286841582136"
"68","100287931468174"
"69","100291500469490"
"70","100292914869078"
"71","100300351751901"
"72","100310154874411"
"73","100310298568268"
"74","100328558137240"
"75","100329981775732"
"76","100337224681194"
"77","100343481348246"
"78","100344144672995"
"79","100345376686972"
"80","100349968014667"
"81","100353614661104"
"82","100359277990303"
"83","100361488208803"
"84","100363482093497"
"85","100370111438685"
"86","100373855128243"
"87","100374258395193"
"88","100375901377419"
"89","100389502022479"
"90","100397374873309"
"91","100398111889160"
"92","100401655203369"
"93","100402411864312"
"94","100405978669241"
"95","100411818685521"
"96","1004128343002785"
"97","100412958479454"
"98","100416131595611"
"99","100417868168278"
"100","100421205136501"
"101","100422926670762"
"102","100423195023922"
"103","100425308044764"
"104","100426014992607"
"105","100426368182809"
"106","100434704664847"
"107","100437498072104"
"108","100438995072581"
"109","100440644792389"
"110","1004413223281635"
"111","100442164760985"
"112","100444028453557"
"113","100447318371290"
"114","100451762088480"
"115","100452371679699"
"116","100455544683666"
"117","100455810115698"
"118","100456548680686"
"119","100457948245007"
"120","100462701322259"
"121","100463345320862"
"122","100465191508928"
"123","100479311368656"
"124","100483617992278"
"125","100492408083500"
"126","100499857996850"
"127","100502663646312"
"128","100509545053616"
"129","100512011379737"
"130","100512591782915"
"131","100515271405704"
"132","100519634669206"
"133","100521988454869"
"134","100531328097688"
"135","100535571937839"
"136","100537138229506"
"137","100538401615496"
"138","100551571855372"
"139","100551682051269"
"140","100556041584948"
"141","100559054640474"
"142","100559255087992"
"143","100564741725479"
"144","100571668374237"
"145","100572766657394"
"146","1005758609559650"
"147","100579721716294"
"148","100580731490026"
"149","100580925140105"
"150","100584541661473"
"151","100588985336140"
"152","100590008596220"
"153","100590243368815"
"154","100590297995376"
"155","100591571309319"
"156","100596009988354"
"157","1005960859538065"
"158","100599881350058"
"159","100600111478700"
"160","100601398463113"
"161","100612851457308"
"162","100615594833391"
"163","100622185132139"
"164","100629091734541"
"165","100631297986518"
"166","100643570087424"
"167","100652499983226"
"168","100652744354"
"169","100654128192859"
"170","100654631773257"
"171","100662968336950"
"172","100666510056063"
"173","100668651929871"
"174","100672118279496"
"175","100672268178241"
"176","100674354888466"
"177","100674998195047"
"178","100676881348497"
"179","100686145188995"
"180","100694961321172"
"181","100699901298990"
"182","1007062776128473"
"183","100709796660299"
"184","100712184856475"
"185","100713688581456"
"186","100714001787080"
"187","100715921540209"
"188","1007169335999903"
"189","100718674825134"
"190","100720555083596"
"191","100722448454439"
"192","100723311527949"
"193","100724084811017"
"194","100727121717282"
"195","100728913356"
"196","100735077981575"
"197","100737448035591"
"198","100743461669976"
"199","100745767961271"
"200","100750911503016"
"201","100752674708453"
"202","100756951993110"
"203","100760001626922"
"204","100760668674946"
"205","100761461345420"
"206","100763630048647"
"207","100764751317943"
"208","1007682439310071"
"209","100773546776136"
"210","100775232049359"
"211","1007767002590817"
"212","1007871102569854"
"213","100787838163946"
"214","100789317967106"
"215","1007925049231163"
"216","100797694863347"
"217","100798971424579"
"218","100802208090805"
"219","100806754996814"
"220","100817598288147"
"221","100818095284350"
"222","100822375082710"
"223","100824714958307"
"224","100825692030878"
"225","100826464708680"
"226","1008272836015784"
"227","100830264610117"
"228","1008410152505633"
"229","100843691389254"
"230","100849001288749"
"231","100850125249896"
"232","100854151454953"
"233","100854821274719"
"234","100855711503394"
"235","100856348087174"
"236","100861051389521"
"237","100861198031016"
"238","100869646623202"
"239","100871831743667"
"240","1008782942465372"
"241","100886237951322"
"242","100887031789135"
"243","100894147939379"
"244","100894361591796"
"245","100895198450038"
"246","100895461360885"
"247","1009001989127231"
"248","100901611358264"
"249","100901717994113"
"250","100906258388776"
"251","100909381648533"
"252","100912055089802"
"253","100913275009934"
"254","100919148170366"
